Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/20/2026 	_x86_64_	(4 CPU)

06:50:41 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:50:42 AM  all    3.53    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   94.96
06:50:43 AM  all    3.51    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.24
06:50:44 AM  all    4.76    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   94.74
06:50:45 AM  all    4.77    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   94.72
06:50:46 AM  all    4.02    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   95.48
06:50:47 AM  all    3.27    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   95.97
06:50:48 AM  all    3.79    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   95.96
06:50:49 AM  all    3.24    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   95.51
06:50:50 AM  all    3.28    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   96.21
06:50:51 AM  all    3.27    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   95.98
06:50:52 AM  all    3.03    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   96.46
06:50:53 AM  all    3.76    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   95.74
06:50:54 AM  all    3.02    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   96.47
06:50:55 AM  all    3.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.23
06:50:56 AM  all    3.26    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   95.99
06:50:57 AM  all    3.52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.48
06:50:58 AM  all    3.78    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   95.97
06:50:59 AM  all    3.25    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   96.00
06:51:00 AM  all    3.02    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00   96.48
06:51:01 AM  all    4.00    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   95.50
06:51:02 AM  all    3.52    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.23
06:51:03 AM  all    2.53    0.00    0.25    0.00    0.00    0.51    0.00    0.00    0.00   96.71
06:51:04 AM  all    4.02    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   95.23
06:51:05 AM  all    3.77    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   95.98
06:51:06 AM  all    2.76    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   96.48
06:51:07 AM  all    2.98    0.00    0.99    0.25    0.00    0.25    0.00    0.00    0.00   95.53
06:51:08 AM  all    3.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.23
06:51:09 AM  all    3.04    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.71
06:51:10 AM  all    3.77    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   95.48
06:51:11 AM  all    3.75    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   95.75
06:51:12 AM  all    4.24    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   95.51
06:51:13 AM  all    3.52    0.00    0.00    0.00    0.00    0.75    0.00    0.00    0.00   95.73
06:51:14 AM  all    3.77    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   95.48
06:51:15 AM  all    4.71    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   94.54
06:51:16 AM  all    5.28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   94.72
06:51:17 AM  all    4.49    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   94.26
06:51:18 AM  all    3.77    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   95.73
06:51:19 AM  all    3.73    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   95.27
06:51:20 AM  all    3.27    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00   96.22
06:51:21 AM  all    3.29    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   96.20
06:51:22 AM  all    3.99    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   95.26
06:51:23 AM  all    4.24    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   95.26
06:51:24 AM  all    3.02    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   96.47
06:51:25 AM  all    2.78    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.96
06:51:26 AM  all    3.27    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   96.47
06:51:27 AM  all    3.02    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   96.22
