Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/20/2026 	_x86_64_	(4 CPU)

11:14:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:14:23 AM  all   21.88    0.00   11.29    0.00    0.00   14.59    0.00    0.00    0.00   52.24
11:14:24 AM  all   24.21    0.00   11.14    0.00    0.00   10.17    0.00    0.00    0.00   54.48
11:14:25 AM  all   21.43    0.00    8.42    0.00    0.00   13.27    0.00    0.00    0.00   56.89
11:14:26 AM  all   15.52    0.00    5.85    0.00    0.00   11.20    0.00    0.00    0.00   67.43
11:14:27 AM  all   10.15    0.00    5.08    0.00    0.00    6.85    0.00    0.00    0.00   77.92
11:14:28 AM  all   17.26    0.00    8.88    0.00    0.00   14.97    0.00    0.00    0.00   58.88
11:14:29 AM  all   20.05    0.00    9.51    0.00    0.00   13.37    0.00    0.00    0.00   57.07
11:14:30 AM  all   19.60    0.00    9.55    0.00    0.00   16.83    0.00    0.00    0.00   54.02
11:14:31 AM  all   20.74    0.00    8.40    0.00    0.00   17.04    0.00    0.00    0.00   53.83
11:14:32 AM  all   14.54    0.00    7.65    0.00    0.00   10.97    0.00    0.00    0.00   66.84
11:14:33 AM  all    6.50    0.00    3.50    0.00    0.00    4.75    0.00    0.00    0.00   85.25
11:14:34 AM  all    6.85    0.00    4.06    0.00    0.00    7.87    0.00    0.00    0.00   81.22
11:14:35 AM  all   18.75    0.00    9.38    0.00    0.00   14.32    0.00    0.00    0.00   57.55
11:14:36 AM  all   20.51    0.00    9.74    0.00    0.00   16.15    0.00    0.00    0.00   53.59
11:14:37 AM  all   18.16    0.00    8.71    0.00    0.00   15.17    0.00    0.00    0.00   57.96
11:14:38 AM  all   16.11    0.00    7.42    0.00    0.00   10.49    0.00    0.00    0.00   65.98
11:14:39 AM  all   11.75    0.00    7.50    0.00    0.00   11.00    0.00    0.00    0.00   69.75
11:14:40 AM  all    9.59    0.00    7.25    0.00    0.00   10.36    0.00    0.00    0.00   72.80
11:14:41 AM  all   12.05    0.00    6.15    0.00    0.00    8.46    0.00    0.00    0.00   73.33
11:14:42 AM  all   10.18    0.00    6.87    0.00    0.00   10.69    0.00    0.00    0.00   72.26
11:14:43 AM  all    9.90    0.00    5.45    0.00    0.00    7.18    0.00    0.00    0.00   77.48
11:14:44 AM  all    6.39    0.00    4.09    0.00    0.00    6.14    0.00    0.00    0.00   83.38
11:14:45 AM  all    2.01    0.00    1.26    0.00    0.00    1.26    0.00    0.00    0.00   95.48
11:14:46 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
11:14:47 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:48 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:49 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:50 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:51 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:52 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:53 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:54 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
