Linux 6.8.0-1064-azure (csb-bench-host-azure) 	08/15/26 	_x86_64_	(4 CPU)

15:55:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:55:34     all   52.12    0.00    2.49    0.50    0.00    0.50    0.00    0.00    0.00   44.39
15:55:35     all   32.41    0.00    1.51    0.00    0.00    1.01    0.00    0.00    0.00   65.08
15:55:36     all   23.99    0.00    1.26    0.00    0.00    1.01    0.00    0.00    0.00   73.74
15:55:37     all   34.99    0.00    2.23    0.00    0.00    1.49    0.00    0.00    0.00   61.29
15:55:38     all   20.45    0.00    1.26    0.00    0.00    1.01    0.00    0.00    0.00   77.27
15:55:39     all   26.00    0.00    1.25    0.00    0.00    1.50    0.00    0.00    0.00   71.25
15:55:40     all   41.81    0.00    1.26    0.00    0.00    0.50    0.00    0.00    0.00   56.42
15:55:41     all   27.82    0.00    1.75    0.00    0.00    1.00    0.00    0.00    0.00   69.42
15:55:42     all   34.00    0.00    1.75    0.00    0.00    1.25    0.00    0.00    0.00   63.00
15:55:43     all   25.63    0.00    2.01    0.00    0.00    1.26    0.00    0.00    0.00   71.11
15:55:44     all   27.32    0.00    2.01    0.00    0.00    1.25    0.00    0.00    0.00   69.42
15:55:45     all   25.25    0.00    1.25    0.00    0.00    1.00    0.00    0.00    0.00   72.50
15:55:46     all   29.07    0.00    2.01    0.25    0.00    0.75    0.00    0.00    0.00   67.92
15:55:47     all   34.26    0.00    1.51    0.00    0.00    1.01    0.00    0.00    0.00   63.22
15:55:48     all   27.46    0.00    1.26    0.00    0.00    1.01    0.00    0.00    0.00   70.28
15:55:49     all   27.79    0.00    1.99    0.00    0.00    1.49    0.00    0.00    0.00   68.73
15:55:50     all   24.49    0.00    1.52    0.00    0.00    0.76    0.00    0.00    0.00   73.23
15:55:51     all   29.25    0.00    2.25    0.00    0.00    0.75    0.00    0.00    0.00   67.75
15:55:52     all   33.92    0.00    1.27    0.00    0.00    1.27    0.00    0.00    0.00   63.54
15:55:53     all   28.18    0.00    1.50    0.00    0.00    1.25    0.00    0.00    0.00   69.08
15:55:54     all   24.94    0.00    1.76    0.00    0.00    1.26    0.00    0.00    0.00   72.04
15:55:55     all   24.81    0.00    2.01    0.00    0.00    1.25    0.00    0.00    0.00   71.93
15:55:56     all   25.31    0.00    1.75    0.00    0.00    1.25    0.00    0.00    0.00   71.68
15:55:57     all   31.49    0.00    1.26    0.00    0.00    0.76    0.00    0.00    0.00   66.50
15:55:58     all   28.39    0.00    1.51    0.00    0.00    1.01    0.00    0.00    0.00   69.10
15:55:59     all   32.07    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   64.90
15:56:00     all   29.22    0.00    1.26    0.00    0.00    1.51    0.00    0.00    0.00   68.01
15:56:01     all   27.30    0.00    2.23    0.50    0.00    1.49    0.00    0.00    0.00   68.49
15:56:02     all   33.59    0.00    1.27    0.00    0.00    0.25    0.00    0.00    0.00   64.89
15:56:03     all   24.63    0.00    2.49    0.00    0.00    1.74    0.00    0.00    0.00   71.14
15:56:04     all   22.19    0.00    1.75    0.00    0.00    1.25    0.00    0.00    0.00   74.81
15:56:05     all   28.89    0.00    1.51    0.00    0.00    1.01    0.00    0.00    0.00   68.59
15:56:06     all   25.82    0.00    1.52    0.51    0.00    0.76    0.00    0.00    0.00   71.39
15:56:07     all   27.43    0.00    2.00    0.00    0.00    1.25    0.00    0.00    0.00   69.33
15:56:08     all   27.07    0.00    1.75    0.00    0.00    1.00    0.00    0.00    0.00   70.18
15:56:09     all   28.03    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   70.20
15:56:10     all   36.52    0.00    1.51    0.00    0.00    1.01    0.00    0.00    0.00   60.96
15:56:11     all   28.00    0.00    2.00    0.00    0.00    1.75    0.00    0.00    0.00   68.25
15:56:12     all   27.39    0.00    1.76    0.00    0.00    1.01    0.00    0.00    0.00   69.85
15:56:13     all   25.13    0.00    1.76    0.00    0.00    1.01    0.00    0.00    0.00   72.11
15:56:14     all   33.50    0.00    1.75    0.00    0.00    1.75    0.00    0.00    0.00   63.00
15:56:15     all   24.56    0.00    1.50    0.00    0.00    2.01    0.00    0.00    0.00   71.93
15:56:16     all   26.68    0.00    2.24    0.25    0.00    0.75    0.00    0.00    0.00   70.07
15:56:17     all   27.85    0.00    1.77    0.00    0.00    1.52    0.00    0.00    0.00   68.86
15:56:18     all   28.50    0.00    1.75    0.00    0.00    1.25    0.00    0.00    0.00   68.50
15:56:19     all   25.88    0.00    1.51    0.00    0.00    1.01    0.00    0.00    0.00   71.61
15:56:20     all   29.22    0.00    1.51    0.00    0.00    1.51    0.00    0.00    0.00   67.76
15:56:21     all   28.14    0.00    1.76    0.00    0.00    1.01    0.00    0.00    0.00   69.10
15:56:22     all   25.13    0.00    1.26    0.00    0.00    1.26    0.00    0.00    0.00   72.36
15:56:23     all   24.49    0.00    1.26    0.00    0.00    1.52    0.00    0.00    0.00   72.73
15:56:24     all   27.32    0.00    1.75    0.00    0.00    1.00    0.00    0.00    0.00   69.92
15:56:25     all   24.87    0.00    1.51    0.00    0.00    1.01    0.00    0.00    0.00   72.61
15:56:26     all   27.07    0.00    1.75    0.25    0.00    1.00    0.00    0.00    0.00   69.92
15:56:27     all   27.02    0.00    1.52    0.00    0.00    1.26    0.00    0.00    0.00   70.20
15:56:28     all   26.32    0.00    1.50    0.00    0.00    0.75    0.00    0.00    0.00   71.43
15:56:29     all   27.82    0.00    2.51    0.50    0.00    1.75    0.00    0.00    0.00   67.42
15:56:30     all   27.39    0.00    1.76    0.00    0.00    1.26    0.00    0.00    0.00   69.60
15:56:31     all   27.14    0.00    3.02    0.00    0.00    1.01    0.00    0.00    0.00   68.84
15:56:32     all   27.32    0.00    1.50    0.00    0.00    1.25    0.00    0.00    0.00   69.92
15:56:33     all   21.16    0.00    2.02    0.00    0.00    1.26    0.00    0.00    0.00   75.57
15:56:34     all   27.32    0.00    2.01    0.25    0.00    0.75    0.00    0.00    0.00   69.67
15:56:35     all   30.42    0.00    1.75    0.00    0.00    1.50    0.00    0.00    0.00   66.33
15:56:36     all   33.84    0.00    1.77    0.00    0.00    1.01    0.00    0.00    0.00   63.38
15:56:37     all   31.00    0.00    1.50    0.00    0.00    1.00    0.00    0.00    0.00   66.50
15:56:38     all   30.65    0.00    1.51    0.00    0.00    1.26    0.00    0.00    0.00   66.58
15:56:39     all   33.75    0.00    1.26    0.25    0.00    0.76    0.00    0.00    0.00   63.98
15:56:40     all   21.64    0.00    1.74    0.00    0.00    1.74    0.00    0.00    0.00   74.88
15:56:41     all   21.91    0.00    2.02    0.00    0.00    1.51    0.00    0.00    0.00   74.56
15:56:42     all   21.16    0.00    1.26    0.00    0.00    1.01    0.00    0.00    0.00   76.57
15:56:43     all   28.97    0.00    1.76    0.00    0.00    1.01    0.00    0.00    0.00   68.26
15:56:44     all   28.68    0.00    1.52    0.00    0.00    1.02    0.00    0.00    0.00   68.78
15:56:45     all   27.18    0.00    1.75    0.25    0.00    1.25    0.00    0.00    0.00   69.58
15:56:46     all   31.23    0.00    1.51    0.00    0.00    1.51    0.00    0.00    0.00   65.74
15:56:47     all   26.25    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   70.75
15:56:48     all   30.33    0.00    1.25    0.00    0.00    1.25    0.00    0.00    0.00   67.17
15:56:49     all   34.84    0.00    1.25    0.00    0.00    1.25    0.00    0.00    0.00   62.66
15:56:50     all    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
15:56:51     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
15:56:52     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
15:56:53     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
15:56:54     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:56:55     all   32.50    0.00    1.50    0.25    0.00    1.00    0.00    0.00    0.00   64.75
15:56:56     all   26.20    0.00    1.51    0.00    0.00    1.01    0.00    0.00    0.00   71.28
15:56:57     all   22.98    0.00    1.52    0.00    0.00    1.26    0.00    0.00    0.00   74.24
15:56:58     all   25.94    0.00    2.24    0.00    0.00    1.25    0.00    0.00    0.00   70.57
15:56:59     all   25.00    0.00    2.00    0.00    0.00    1.50    0.00    0.00    0.00   71.50
15:57:00     all   34.76    0.00    1.51    0.00    0.00    0.50    0.00    0.00    0.00   63.22
15:57:01     all   27.59    0.00    1.77    0.25    0.00    1.01    0.00    0.00    0.00   69.37
15:57:02     all   33.00    0.00    1.00    0.00    0.00    0.75    0.00    0.00    0.00   65.25
15:57:03     all   25.13    0.00    1.76    0.00    0.00    1.26    0.00    0.00    0.00   71.86
15:57:04     all   24.12    0.00    1.51    0.00    0.00    0.75    0.00    0.00    0.00   73.62
15:57:05     all   36.09    0.00    1.75    0.00    0.00    1.00    0.00    0.00    0.00   61.15
15:57:06     all   25.51    0.00    1.52    0.00    0.00    1.26    0.00    0.00    0.00   71.72
15:57:07     all   29.80    0.00    1.26    0.00    0.00    1.01    0.00    0.00    0.00   67.93
15:57:08     all   30.35    0.00    2.24    0.00    0.00    1.24    0.00    0.00    0.00   66.17
15:57:09     all   22.78    0.00    1.27    0.00    0.00    1.01    0.00    0.00    0.00   74.94
15:57:10     all   28.00    0.00    2.00    0.00    0.00    1.50    0.00    0.00    0.00   68.50
15:57:11     all   25.44    0.00    1.51    0.00    0.00    1.26    0.00    0.00    0.00   71.79
15:57:12     all   24.81    0.00    2.01    0.00    0.00    1.50    0.00    0.00    0.00   71.68
15:57:13     all   27.78    0.00    1.52    0.25    0.00    0.76    0.00    0.00    0.00   69.70
15:57:14     all   26.38    0.00    2.01    0.00    0.00    1.26    0.00    0.00    0.00   70.35
15:57:15     all   30.08    0.00    1.50    0.00    0.00    1.50    0.00    0.00    0.00   66.92
15:57:16     all   33.00    0.00    1.75    0.00    0.00    1.00    0.00    0.00    0.00   64.25
15:57:17     all   26.08    0.00    1.52    0.00    0.00    1.01    0.00    0.00    0.00   71.39
15:57:18     all   31.25    0.00    1.50    0.50    0.00    0.75    0.00    0.00    0.00   66.00
15:57:19     all   23.48    0.00    1.26    0.00    0.00    1.26    0.00    0.00    0.00   73.99
15:57:20     all   29.97    0.00    1.76    0.00    0.00    0.76    0.00    0.00    0.00   67.51
15:57:21     all   27.14    0.00    2.26    0.00    0.00    1.51    0.00    0.00    0.00   69.10
15:57:22     all   30.15    0.00    1.51    0.00    0.00    1.01    0.00    0.00    0.00   67.34
15:57:23     all   24.81    0.00    1.50    0.25    0.00    1.75    0.00    0.00    0.00   71.68
15:57:24     all   25.51    0.00    2.53    0.00    0.00    0.76    0.00    0.00    0.00   71.21
15:57:25     all   23.02    0.00    2.72    0.00    0.00    2.48    0.00    0.00    0.00   71.78
15:57:26     all   27.09    0.00    1.27    0.00    0.00    0.76    0.00    0.00    0.00   70.89
15:57:27     all   30.75    0.00    1.50    0.00    0.00    0.75    0.00    0.00    0.00   67.00
15:57:28     all   22.98    0.00    1.26    0.00    0.00    1.52    0.00    0.00    0.00   74.24
15:57:29     all   30.40    0.00    1.76    0.00    0.00    0.50    0.00    0.00    0.00   67.34
15:57:30     all   30.15    0.00    1.51    0.00    0.00    1.01    0.00    0.00    0.00   67.34
15:57:31     all   24.43    0.00    3.02    0.00    0.00    1.76    0.00    0.00    0.00   70.78
15:57:32     all   27.96    0.00    1.51    0.00    0.00    1.51    0.00    0.00    0.00   69.02
15:57:33     all   24.94    0.00    2.00    0.25    0.00    1.50    0.00    0.00    0.00   71.32
15:57:34     all   32.07    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   65.91
15:57:35     all   27.32    0.00    0.75    0.00    0.00    1.25    0.00    0.00    0.00   70.68
