Linux 6.8.0-1064-azure (csb-bench-host-azure) 	08/15/26 	_x86_64_	(4 CPU)

18:39:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:39:41     all    7.05    0.00    3.02    0.00    0.00    0.00    0.00    0.00    0.00   89.92
18:39:42     all    0.75    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   99.00
18:39:43     all    1.51    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.98
18:39:44     all    1.25    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   97.75
18:39:45     all    0.75    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   98.75
18:39:46     all    1.76    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.74
18:39:47     all    1.26    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.23
18:39:48     all    1.01    0.00    0.50    0.25    0.00    0.25    0.00    0.00    0.00   97.98
18:39:49     all    0.50    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   99.00
18:39:50     all    1.76    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   97.48
18:39:51     all    1.01    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.24
18:39:52     all    1.25    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.00
18:39:53     all    1.01    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.73
18:39:54     all    1.50    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   97.51
18:39:55     all    1.01    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   97.99
18:39:56     all    1.01    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   98.49
18:39:57     all    1.75    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   97.49
18:39:58     all    1.51    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   97.74
18:39:59     all    1.26    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.24
18:40:00     all    1.51    0.00    0.25    0.25    0.00    0.50    0.00    0.00    0.00   97.49
18:40:01     all    1.50    0.00    0.75    0.50    0.00    0.00    0.00    0.00    0.00   97.24
18:40:02     all   53.10    0.00    1.99    0.50    0.00    0.99    0.00    0.00    0.00   43.42
18:40:03     all   90.48    0.00    5.76    0.00    0.00    3.26    0.00    0.00    0.00    0.50
18:40:04     all   58.25    0.00   16.00    0.00    0.00   15.25    0.00    0.00    0.00   10.50
18:40:05     all   21.41    0.00   29.47    0.00    0.00   27.20    0.00    0.00    0.00   21.91
18:40:06     all   22.34    0.00   30.46    0.00    0.00   19.80    0.00    0.00    0.00   27.41
18:40:07     all   22.78    0.00   20.76    0.00    0.00    5.82    0.00    0.00    0.00   50.63
18:40:08     all   91.75    0.00    3.25    0.00    0.00    5.00    0.00    0.00    0.00    0.00
18:40:09     all   80.15    0.00    7.04    0.00    0.00    8.79    0.00    0.00    0.00    4.02
18:40:10     all   21.54    0.00   27.18    0.00    0.00   23.59    0.00    0.00    0.00   27.69
18:40:11     all   22.45    0.00   28.57    0.00    0.00   23.21    0.00    0.00    0.00   25.77
18:40:12     all   21.01    0.00   24.56    0.00    0.00    6.33    0.00    0.00    0.00   48.10
18:40:13     all   92.06    0.00    2.23    0.00    0.00    3.97    0.00    0.00    0.00    1.74
18:40:14     all   79.35    0.00    6.97    0.00    0.00    9.20    0.00    0.00    0.00    4.48
18:40:15     all   21.68    0.00   28.32    0.00    0.00   24.74    0.00    0.00    0.00   25.26
18:40:16     all   22.11    0.00   28.39    0.00    0.00   22.36    0.00    0.00    0.00   27.14
18:40:17     all   22.14    0.00   23.92    0.00    0.00    8.65    0.00    0.00    0.00   45.29
18:40:18     all   84.00    0.00    3.50    0.00    0.00    4.00    0.00    0.00    0.00    8.50
18:40:19     all   85.79    0.00    5.49    0.00    0.00    6.73    0.00    0.00    0.00    2.00
18:40:20     all   21.83    0.00   26.90    0.00    0.00   26.65    0.00    0.00    0.00   24.62
18:40:21     all   21.36    0.00   29.15    0.00    0.00   20.10    0.00    0.00    0.00   29.40
18:40:22     all   21.72    0.00   25.51    0.00    0.00   10.10    0.00    0.00    0.00   42.68
