paradigm,workload,concurrency,attempts,accepted,provisioning,timeout,tool_exit
block,balanced,1,22,15,4,3,0
block,balanced,4,26,15,9,2,0
block,balanced,16,26,15,10,1,0
block,balanced,64,35,15,17,3,0
block,largeobj,1,19,15,4,0,0
block,largeobj,4,15,15,0,0,0
block,largeobj,16,21,15,6,0,0
block,largeobj,64,19,15,4,0,0
file,balanced,1,42,15,16,11,0
file,balanced,4,19,15,4,0,0
file,balanced,16,19,15,4,0,0
file,balanced,64,20,15,5,0,0
file,largeobj,1,19,15,4,0,0
file,largeobj,4,21,15,6,0,0
file,largeobj,16,15,15,0,0,0
file,largeobj,64,21,15,6,0,0
object,balanced,1,27,15,0,9,3
object,balanced,4,26,15,0,8,3
object,balanced,16,35,15,0,17,3
object,balanced,64,37,15,0,14,8
object,largeobj,1,25,15,0,3,7
object,largeobj,4,24,15,0,3,6
object,largeobj,16,39,15,0,3,21
object,largeobj,64,39,15,0,2,22
