seed,draw,lr_raw,converged,method,n_warnings
42,0,3.016682,True,default,4
42,1,2.242497,True,default,2
42,2,2.883206,True,default,1
42,3,-0.077123,True,default,4
42,4,0.113651,True,default,1
42,5,0.117709,True,powell,3
42,6,1.051146,True,default,1
42,7,0.153483,True,default,2
42,8,1.971541,True,default,2
42,9,1.321271,True,default,2
42,10,-inf,True,lbfgs,6
42,11,0.076704,True,powell,2
42,12,1.011595,True,default,4
42,13,0.46889,True,default,2
42,14,inf,True,powell,101
42,15,0.064924,True,default,2
42,16,-inf,True,lbfgs,6
42,17,0.019704,True,default,1
42,18,1.818867,True,powell,3
42,19,-0.37063,True,lbfgs,4
42,20,0.703717,True,default,4
42,21,2.227187,True,default,6
42,22,0.709568,True,default,2
42,23,-inf,True,lbfgs,6
42,24,3.782477,True,default,13
42,25,1.384863,True,default,2
42,26,0.582513,True,default,4
42,27,0.478778,True,default,3
42,28,0.030732,True,default,4
42,29,0.411349,True,default,4
42,30,-0.000443,True,powell,3
42,31,-inf,True,lbfgs,7
42,32,0.320183,True,powell,3
42,33,0.633,True,powell,2
42,34,0.516809,True,default,4
42,35,10.841836,True,default,2
42,36,-7.710009,True,lbfgs,4
42,37,-inf,True,lbfgs,6
42,38,0.370772,True,default,6
42,39,1.591726,True,default,9
43,0,-0.429622,True,default,5
43,1,-inf,True,lbfgs,7
43,2,-0.211936,True,default,5
43,3,0.816643,True,default,12
43,4,0.016481,True,powell,3
43,5,0.394631,True,default,5
43,6,-inf,True,lbfgs,7
43,7,0.440748,True,default,2
43,8,0.152808,True,powell,2
43,9,-inf,True,lbfgs,7
43,10,-inf,True,lbfgs,7
43,11,-inf,True,lbfgs,7
43,12,-11.597896,True,default,4
43,13,3.357352,True,powell,3
43,14,1.094558,True,powell,2
43,15,-inf,True,lbfgs,6
43,16,1.505426,True,lbfgs,4
43,17,0.027648,True,powell,3
43,18,0.303559,True,powell,2
43,19,0.168112,True,default,4
43,20,-4.45872,True,lbfgs,4
43,21,0.517567,True,default,4
43,22,0.06357,True,default,6
43,23,0.536078,True,default,2
43,24,-inf,True,lbfgs,6
43,25,1.69717,True,powell,3
43,26,1.37325,True,default,4
43,27,-inf,True,lbfgs,7
43,28,-inf,True,lbfgs,7
43,29,1.703941,True,default,2
43,30,0.587862,True,default,1
43,31,-inf,True,lbfgs,6
