provider,paradigm,workload,concurrency,attempts,accepted,p_hat,wilson_lo,wilson_hi
alibaba,block,balanced,1,7,3,0.429,0.158,0.750
alibaba,block,balanced,4,12,3,0.250,0.089,0.532
alibaba,block,balanced,16,13,3,0.231,0.082,0.503
alibaba,block,balanced,64,19,3,0.158,0.055,0.376
alibaba,block,largeobj,1,7,3,0.429,0.158,0.750
alibaba,block,largeobj,4,3,3,1.000,0.439,1.000
alibaba,block,largeobj,16,7,3,0.429,0.158,0.750
alibaba,block,largeobj,64,7,3,0.429,0.158,0.750
alibaba,file,balanced,1,20,3,0.150,0.052,0.360
alibaba,file,balanced,4,7,3,0.429,0.158,0.750
alibaba,file,balanced,16,7,3,0.429,0.158,0.750
alibaba,file,balanced,64,8,3,0.375,0.137,0.694
alibaba,file,largeobj,1,7,3,0.429,0.158,0.750
alibaba,file,largeobj,4,7,3,0.429,0.158,0.750
alibaba,file,largeobj,16,3,3,1.000,0.439,1.000
alibaba,file,largeobj,64,7,3,0.429,0.158,0.750
alibaba,object,balanced,1,6,3,0.500,0.188,0.812
alibaba,object,balanced,4,6,3,0.500,0.188,0.812
alibaba,object,balanced,16,16,3,0.188,0.066,0.430
alibaba,object,balanced,64,14,3,0.214,0.076,0.476
alibaba,object,largeobj,1,6,3,0.500,0.188,0.812
alibaba,object,largeobj,4,6,3,0.500,0.188,0.812
alibaba,object,largeobj,16,17,3,0.176,0.062,0.410
alibaba,object,largeobj,64,15,3,0.200,0.070,0.452
aws,block,balanced,1,3,3,1.000,0.439,1.000
aws,block,balanced,4,3,3,1.000,0.439,1.000
aws,block,balanced,16,3,3,1.000,0.439,1.000
aws,block,balanced,64,3,3,1.000,0.439,1.000
aws,block,largeobj,1,3,3,1.000,0.439,1.000
aws,block,largeobj,4,3,3,1.000,0.439,1.000
aws,block,largeobj,16,3,3,1.000,0.439,1.000
aws,block,largeobj,64,3,3,1.000,0.439,1.000
aws,file,balanced,1,5,3,0.600,0.231,0.882
aws,file,balanced,4,3,3,1.000,0.439,1.000
aws,file,balanced,16,3,3,1.000,0.439,1.000
aws,file,balanced,64,3,3,1.000,0.439,1.000
aws,file,largeobj,1,3,3,1.000,0.439,1.000
aws,file,largeobj,4,3,3,1.000,0.439,1.000
aws,file,largeobj,16,3,3,1.000,0.439,1.000
aws,file,largeobj,64,3,3,1.000,0.439,1.000
aws,object,balanced,1,6,3,0.500,0.188,0.812
aws,object,balanced,4,8,3,0.375,0.137,0.694
aws,object,balanced,16,5,3,0.600,0.231,0.882
aws,object,balanced,64,3,3,1.000,0.439,1.000
aws,object,largeobj,1,4,3,0.750,0.301,0.954
aws,object,largeobj,4,3,3,1.000,0.439,1.000
aws,object,largeobj,16,3,3,1.000,0.439,1.000
aws,object,largeobj,64,3,3,1.000,0.439,1.000
azure,block,balanced,1,6,3,0.500,0.188,0.812
azure,block,balanced,4,5,3,0.600,0.231,0.882
azure,block,balanced,16,4,3,0.750,0.301,0.954
azure,block,balanced,64,6,3,0.500,0.188,0.812
azure,block,largeobj,1,3,3,1.000,0.439,1.000
azure,block,largeobj,4,3,3,1.000,0.439,1.000
azure,block,largeobj,16,4,3,0.750,0.301,0.954
azure,block,largeobj,64,3,3,1.000,0.439,1.000
azure,file,balanced,1,6,3,0.500,0.188,0.812
azure,file,balanced,4,3,3,1.000,0.439,1.000
azure,file,balanced,16,3,3,1.000,0.439,1.000
azure,file,balanced,64,3,3,1.000,0.439,1.000
azure,file,largeobj,1,3,3,1.000,0.439,1.000
azure,file,largeobj,4,4,3,0.750,0.301,0.954
azure,file,largeobj,16,3,3,1.000,0.439,1.000
azure,file,largeobj,64,4,3,0.750,0.301,0.954
azure,object,balanced,1,3,3,1.000,0.439,1.000
azure,object,balanced,4,3,3,1.000,0.439,1.000
azure,object,balanced,16,3,3,1.000,0.439,1.000
azure,object,balanced,64,8,3,0.375,0.137,0.694
azure,object,largeobj,1,6,3,0.500,0.188,0.812
azure,object,largeobj,4,6,3,0.500,0.188,0.812
azure,object,largeobj,16,10,3,0.300,0.108,0.603
azure,object,largeobj,64,12,3,0.250,0.089,0.532
gcp,block,balanced,1,3,3,1.000,0.439,1.000
gcp,block,balanced,4,3,3,1.000,0.439,1.000
gcp,block,balanced,16,3,3,1.000,0.439,1.000
gcp,block,balanced,64,3,3,1.000,0.439,1.000
gcp,block,largeobj,1,3,3,1.000,0.439,1.000
gcp,block,largeobj,4,3,3,1.000,0.439,1.000
gcp,block,largeobj,16,4,3,0.750,0.301,0.954
gcp,block,largeobj,64,3,3,1.000,0.439,1.000
gcp,file,balanced,1,3,3,1.000,0.439,1.000
gcp,file,balanced,4,3,3,1.000,0.439,1.000
gcp,file,balanced,16,3,3,1.000,0.439,1.000
gcp,file,balanced,64,3,3,1.000,0.439,1.000
gcp,file,largeobj,1,3,3,1.000,0.439,1.000
gcp,file,largeobj,4,4,3,0.750,0.301,0.954
gcp,file,largeobj,16,3,3,1.000,0.439,1.000
gcp,file,largeobj,64,4,3,0.750,0.301,0.954
gcp,object,balanced,1,6,3,0.500,0.188,0.812
gcp,object,balanced,4,6,3,0.500,0.188,0.812
gcp,object,balanced,16,8,3,0.375,0.137,0.694
gcp,object,balanced,64,9,3,0.333,0.121,0.646
gcp,object,largeobj,1,6,3,0.500,0.188,0.812
gcp,object,largeobj,4,6,3,0.500,0.188,0.812
gcp,object,largeobj,16,6,3,0.500,0.188,0.812
gcp,object,largeobj,64,6,3,0.500,0.188,0.812
huawei,block,balanced,1,3,3,1.000,0.439,1.000
huawei,block,balanced,4,3,3,1.000,0.439,1.000
huawei,block,balanced,16,3,3,1.000,0.439,1.000
huawei,block,balanced,64,4,3,0.750,0.301,0.954
huawei,block,largeobj,1,3,3,1.000,0.439,1.000
huawei,block,largeobj,4,3,3,1.000,0.439,1.000
huawei,block,largeobj,16,3,3,1.000,0.439,1.000
huawei,block,largeobj,64,3,3,1.000,0.439,1.000
huawei,file,balanced,1,8,3,0.375,0.137,0.694
huawei,file,balanced,4,3,3,1.000,0.439,1.000
huawei,file,balanced,16,3,3,1.000,0.439,1.000
huawei,file,balanced,64,3,3,1.000,0.439,1.000
huawei,file,largeobj,1,3,3,1.000,0.439,1.000
huawei,file,largeobj,4,3,3,1.000,0.439,1.000
huawei,file,largeobj,16,3,3,1.000,0.439,1.000
huawei,file,largeobj,64,3,3,1.000,0.439,1.000
huawei,object,balanced,1,6,3,0.500,0.188,0.812
huawei,object,balanced,4,3,3,1.000,0.439,1.000
huawei,object,balanced,16,3,3,1.000,0.439,1.000
huawei,object,balanced,64,3,3,1.000,0.439,1.000
huawei,object,largeobj,1,3,3,1.000,0.439,1.000
huawei,object,largeobj,4,3,3,1.000,0.439,1.000
huawei,object,largeobj,16,3,3,1.000,0.439,1.000
huawei,object,largeobj,64,3,3,1.000,0.439,1.000
