concurrency,dataset_gb_values,mixed_sizing_within_cell,paradigm,provider,timelimit_values,workload
1,1/20,True,block,alibaba,False/True,balanced
4,20/5,True,block,alibaba,False/True,balanced
16,20,False,block,alibaba,False/True,balanced
64,80,False,block,alibaba,True,balanced
1,2/40,True,block,alibaba,False/True,largeobj
4,40,False,block,alibaba,False,largeobj
16,40,False,block,alibaba,False/True,largeobj
64,40/80,True,block,alibaba,False/True,largeobj
1,1,False,file,alibaba,True,balanced
4,20/5,True,file,alibaba,False/True,balanced
16,20,False,file,alibaba,False/True,balanced
64,20/80,True,file,alibaba,False/True,balanced
1,2/40,True,file,alibaba,False/True,largeobj
4,10/40,True,file,alibaba,False/True,largeobj
16,40,False,file,alibaba,False,largeobj
64,40/80,True,file,alibaba,False/True,largeobj
1,1.0,False,object,alibaba,False,balanced
4,5.0,False,object,alibaba,False,balanced
16,20.0,False,object,alibaba,False,balanced
64,80.0,False,object,alibaba,False,balanced
1,2.0,False,object,alibaba,False,largeobj
4,10.0,False,object,alibaba,False,largeobj
16,40.0,False,object,alibaba,False,largeobj
64,80.0,False,object,alibaba,False,largeobj
1,20,False,block,aws,False,balanced
4,20,False,block,aws,False,balanced
16,20,False,block,aws,False,balanced
64,20,False,block,aws,False,balanced
1,40,False,block,aws,False,largeobj
4,40,False,block,aws,False,largeobj
16,40,False,block,aws,False,largeobj
64,40,False,block,aws,False,largeobj
1,1/20,True,file,aws,False,balanced
4,20,False,file,aws,False,balanced
16,20,False,file,aws,False,balanced
64,20,False,file,aws,False,balanced
1,40,False,file,aws,False,largeobj
4,40,False,file,aws,False,largeobj
16,40,False,file,aws,False,largeobj
64,40,False,file,aws,False,largeobj
1,1.0,False,object,aws,False,balanced
4,5.0,False,object,aws,False,balanced
16,20.0,False,object,aws,False,balanced
64,20.0,False,object,aws,False,balanced
1,2.0/40.0,True,object,aws,False,largeobj
4,40.0,False,object,aws,False,largeobj
16,40.0,False,object,aws,False,largeobj
64,40.0,False,object,aws,False,largeobj
1,1,False,block,azure,True,balanced
4,20/5,True,block,azure,False/True,balanced
16,20,False,block,azure,False/True,balanced
64,80,False,block,azure,True,balanced
1,40,False,block,azure,False,largeobj
4,40,False,block,azure,False,largeobj
16,40,False,block,azure,False,largeobj
64,40,False,block,azure,False,largeobj
1,1,False,file,azure,True,balanced
4,20,False,file,azure,False,balanced
16,20,False,file,azure,False,balanced
64,20,False,file,azure,False,balanced
1,40,False,file,azure,False,largeobj
4,40,False,file,azure,False,largeobj
16,40,False,file,azure,False,largeobj
64,40,False,file,azure,False,largeobj
1,None,False,object,azure,False,balanced
4,None,False,object,azure,False,balanced
16,None,False,object,azure,False,balanced
64,None,False,object,azure,False,balanced
1,None,False,object,azure,False,largeobj
4,None,False,object,azure,False,largeobj
16,None,False,object,azure,False,largeobj
64,None,False,object,azure,False,largeobj
1,20,False,block,gcp,False,balanced
4,20,False,block,gcp,False,balanced
16,20,False,block,gcp,False,balanced
64,20,False,block,gcp,False,balanced
1,40,False,block,gcp,False,largeobj
4,40,False,block,gcp,False,largeobj
16,40,False,block,gcp,False,largeobj
64,40,False,block,gcp,False,largeobj
1,20,False,file,gcp,False,balanced
4,20,False,file,gcp,False,balanced
16,20,False,file,gcp,False,balanced
64,20,False,file,gcp,False,balanced
1,40,False,file,gcp,False,largeobj
4,40,False,file,gcp,False,largeobj
16,40,False,file,gcp,False,largeobj
64,40,False,file,gcp,False,largeobj
1,1.0,False,object,gcp,False,balanced
4,5.0,False,object,gcp,False,balanced
16,20.0,False,object,gcp,False,balanced
64,80.0,False,object,gcp,False,balanced
1,2.0,False,object,gcp,False,largeobj
4,10.0,False,object,gcp,False,largeobj
16,40.0,False,object,gcp,False,largeobj
64,80.0,False,object,gcp,False,largeobj
1,20,False,block,huawei,False,balanced
4,20,False,block,huawei,False,balanced
16,20,False,block,huawei,False,balanced
64,20,False,block,huawei,False,balanced
1,40,False,block,huawei,False,largeobj
4,40,False,block,huawei,False,largeobj
16,40,False,block,huawei,False,largeobj
64,40,False,block,huawei,False,largeobj
1,1,False,file,huawei,True,balanced
4,20,False,file,huawei,False,balanced
16,20,False,file,huawei,False,balanced
64,20,False,file,huawei,False,balanced
1,40,False,file,huawei,False,largeobj
4,40,False,file,huawei,False,largeobj
16,40,False,file,huawei,False,largeobj
64,40,False,file,huawei,False,largeobj
1,1.0,False,object,huawei,False,balanced
4,20.0,False,object,huawei,False,balanced
16,20.0,False,object,huawei,False,balanced
64,20.0,False,object,huawei,False,balanced
1,40.0,False,object,huawei,False,largeobj
4,40.0,False,object,huawei,False,largeobj
16,40.0,False,object,huawei,False,largeobj
64,40.0,False,object,huawei,False,largeobj
