provider,paradigm,workload,operation,n,levels,df_runlevel,df_levelmeans,df_pure_error,df_lack_of_fit,beta,ci_halfwidth_runlevel,ci_halfwidth_levelmeans,resid_sd_ratio_max_min,min_level_resid_sd,near_zero_level_sd,lack_of_fit_F,lack_of_fit_p,lag1_resid_autocorr,excl0_runlevel,excl0_levelmeans
alibaba,block,balanced,combined,12,4,10,2,8,2,0.0137,0.0102,0.0349,998.48,1e-05,1,6.574,0.0205,0.368,1,0
alibaba,block,largeobj,combined,12,4,10,2,8,2,0.0015,0.0008,0.0026,76.19,1e-05,1,5.346,0.0335,0.282,1,0
alibaba,file,balanced,combined,12,4,10,2,8,2,0.4259,0.1497,0.6404,76.13,0.00041,1,210.636,0.0,0.478,1,0
alibaba,file,largeobj,combined,12,4,10,2,8,2,0.0066,0.0061,0.0035,13.18,0.00072,1,0.073,0.9298,-0.123,1,1
alibaba,object,balanced,combined,12,4,10,2,8,2,0.9739,0.0263,0.0903,6.4,0.00402,1,6.908,0.0181,0.244,1,1
alibaba,object,largeobj,combined,12,4,10,2,8,2,0.3303,0.1442,0.5385,44.08,0.00309,1,11.859,0.004,0.076,1,0
aws,block,balanced,combined,12,4,10,2,8,2,0.0513,0.0293,0.1264,2.32,0.00013,1,49964.584,0.0,0.553,1,0
aws,block,largeobj,combined,12,4,10,2,8,2,-0.0001,0.0008,0.0027,nan,0.0,1,6.2,0.0236,0.416,0,0
aws,file,balanced,combined,12,4,10,2,8,2,0.1787,0.1104,0.4524,nan,0.0,1,35.814,0.0001,0.37,1,0
aws,file,largeobj,combined,12,4,10,2,8,2,0.0336,0.3096,0.3787,1.0,0.28356,0,0.349,0.7156,-0.096,0,0
aws,object,balanced,combined,12,4,10,2,8,2,0.9948,0.0245,0.0649,10.52,0.00313,1,2.413,0.1513,-0.218,1,1
aws,object,largeobj,combined,12,4,10,2,8,2,0.5692,0.1472,0.6326,73.75,0.00036,1,429.72,0.0,0.624,1,0
azure,block,balanced,combined,8,3,6,1,5,1,0.1024,0.0659,0.7745,3.93,0.00213,1,161.869,0.0001,0.408,1,0
azure,block,largeobj,combined,12,4,10,2,8,2,-0.0061,0.0154,0.0154,3.91,0.0065,0,0.228,0.8014,0.024,0,0
azure,file,balanced,combined,12,4,10,2,8,2,0.693,0.1534,0.6438,5.34,0.01175,0,67.669,0.0,0.493,1,1
azure,file,largeobj,combined,12,4,10,2,8,2,-0.0222,0.1329,0.4546,36.5,0.00423,1,6.737,0.0193,0.068,0,0
azure,object,balanced,combined,12,4,10,2,8,2,0.3632,0.1778,0.7602,8.23,0.00568,0,195.57,0.0,0.485,1,0
azure,object,largeobj,combined,12,4,10,2,8,2,0.368,0.1682,0.7104,12.07,0.00427,1,88.929,0.0,0.495,1,0
gcp,block,balanced,combined,12,4,10,2,8,2,0.0978,0.0625,0.2657,6.39,0.00261,1,128.947,0.0,0.445,1,0
gcp,block,largeobj,combined,12,4,10,2,8,2,0.0001,0.0001,0.0002,nan,0.0,1,2.156,0.1782,-0.161,1,0
gcp,file,balanced,combined,12,4,10,2,8,2,0.2586,0.1609,0.6929,13.89,0.00129,1,690.886,0.0,0.504,1,0
gcp,file,largeobj,combined,12,4,10,2,8,2,0.0611,0.0654,0.188,112.38,0.00073,1,3.176,0.0965,-0.204,0,0
gcp,object,balanced,combined,12,4,10,2,8,2,0.9858,0.0197,0.071,15.22,0.00119,1,9.251,0.0083,0.22,1,1
gcp,object,largeobj,combined,12,4,10,2,8,2,0.3047,0.1093,0.4646,5.01,0.00642,0,126.454,0.0,0.635,1,0
huawei,block,balanced,combined,12,4,10,2,8,2,0.0907,0.0673,0.25,1.38,0.02871,0,11.301,0.0047,0.186,1,0
huawei,block,largeobj,combined,12,4,10,2,8,2,0.0001,0.0014,0.0022,7.88,0.0002,1,0.593,0.5753,-0.179,0,0
huawei,file,balanced,combined,12,4,10,2,8,2,0.3028,0.0703,0.2989,48.49,0.00036,1,122.052,0.0,0.523,1,1
huawei,file,largeobj,combined,12,4,10,2,8,2,-0.001,0.0004,0.0009,3.74,0.00013,1,1.575,0.2651,-0.211,1,1
huawei,object,balanced,combined,12,4,10,2,8,2,0.8528,0.1091,0.4695,6.0,0.00242,1,543.823,0.0,0.598,1,1
huawei,object,largeobj,combined,12,4,10,2,8,2,0.2961,0.1749,0.7484,17.52,0.00253,1,218.12,0.0,0.59,1,0
