provider,paradigm,workload,operation,n,levels,df_runlevel,df_levelmeans,df_pure_error,df_lack_of_fit,beta,ci_halfwidth_runlevel,ci_halfwidth_levelmeans,resid_sd_ratio_max_min,min_level_resid_sd,near_zero_level_sd,lack_of_fit_F,lack_of_fit_p,lag1_resid_autocorr,excl0_runlevel,excl0_levelmeans
alibaba,block,balanced,read,12,4,10,2,8,2,0.0279,0.0192,0.0691,nan,0.0,1,9.274,0.0082,0.424,1,0
alibaba,block,balanced,write,12,4,10,2,8,2,-0.0014,0.002,0.0021,nan,0.0,1,0.259,0.7782,-0.113,0,0
alibaba,block,largeobj,read,12,4,10,2,8,2,0.0015,0.0008,0.0026,76.19,1e-05,1,5.346,0.0335,0.282,1,0
alibaba,file,balanced,read,12,4,10,2,8,2,0.3626,0.1452,0.6183,41.8,0.00089,1,139.02,0.0,0.443,1,0
alibaba,file,balanced,write,12,4,10,2,8,2,0.4777,0.1535,0.6585,372.67,7e-05,1,292.23,0.0,0.5,1,0
alibaba,file,largeobj,read,12,4,10,2,8,2,0.0066,0.0061,0.0035,13.18,0.00072,1,0.073,0.9298,-0.123,1,1
alibaba,object,balanced,read,12,4,10,2,8,2,0.9664,0.0663,0.2246,46.72,0.00165,1,6.399,0.0219,0.237,1,1
alibaba,object,balanced,write,12,4,10,2,8,2,0.9772,0.0146,0.0116,10.07,0.00175,1,0.14,0.8718,-0.23,1,1
alibaba,object,largeobj,read,12,4,10,2,8,2,0.3303,0.1442,0.5385,44.08,0.00309,1,11.859,0.004,0.076,1,0
aws,block,balanced,read,12,4,10,2,8,2,0.0981,0.0564,0.2437,nan,0.0,1,1067178.159,0.0,0.556,1,0
aws,block,balanced,write,12,4,10,2,8,2,0.0294,0.0165,0.0714,5.72,8e-05,1,8532.384,0.0,0.548,1,0
aws,block,largeobj,read,12,4,10,2,8,2,-0.0001,0.0008,0.0027,nan,0.0,1,6.2,0.0236,0.416,0,0
aws,file,balanced,read,12,4,10,2,8,2,0.1184,0.1299,0.3799,11175.0,2e-05,1,3.385,0.0861,-0.069,0,0
aws,file,balanced,write,12,4,10,2,8,2,0.225,0.1295,0.559,385.94,2e-05,1,6112.479,0.0,0.563,1,0
aws,file,largeobj,read,12,4,10,2,8,2,0.0336,0.3096,0.3787,1.0,0.28356,0,0.349,0.7156,-0.096,0,0
aws,object,balanced,read,12,4,10,2,8,2,1.0035,0.0554,0.1708,20.96,0.00314,1,4.17,0.0575,-0.105,1,1
aws,object,balanced,write,12,4,10,2,8,2,0.9863,0.0139,0.0546,2.14,0.00353,1,19.962,0.0008,0.206,1,1
aws,object,largeobj,read,12,4,10,2,8,2,0.5692,0.1472,0.6326,73.75,0.00036,1,429.72,0.0,0.624,1,0
azure,block,balanced,read,8,3,6,1,5,1,0.1635,0.0918,1.0933,nan,0.0,1,1226.055,0.0,0.401,1,0
azure,block,balanced,write,12,4,10,2,8,2,-0.0113,0.0317,0.12,7.63,0.00341,1,13.228,0.0029,0.596,0,0
azure,block,largeobj,read,12,4,10,2,8,2,-0.0061,0.0154,0.0154,3.91,0.0065,0,0.228,0.8014,0.024,0,0
azure,file,balanced,read,12,4,10,2,8,2,0.6969,0.1416,0.5954,16.87,0.00327,1,72.512,0.0,0.373,1,1
azure,file,balanced,write,12,4,10,2,8,2,0.6858,0.1803,0.7584,16.11,0.00429,1,73.419,0.0,0.586,1,0
azure,file,largeobj,read,12,4,10,2,8,2,-0.0222,0.1329,0.4546,36.5,0.00423,1,6.737,0.0193,0.068,0,0
azure,object,balanced,read,12,4,10,2,8,2,0.4006,0.1786,0.7625,7.1,0.00697,0,171.306,0.0,0.477,1,0
azure,object,balanced,write,12,4,10,2,8,2,0.3099,0.1786,0.7642,45.07,0.00099,1,213.963,0.0,0.491,1,0
azure,object,largeobj,read,12,4,10,2,8,2,0.368,0.1682,0.7104,12.07,0.00427,1,88.929,0.0,0.495,1,0
gcp,block,balanced,read,12,4,10,2,8,2,0.173,0.0995,0.4286,1538.14,1e-05,1,837.031,0.0,0.524,1,0
gcp,block,balanced,write,12,4,10,2,8,2,0.0548,0.042,0.1703,6.4,0.00381,1,29.818,0.0002,0.296,1,0
gcp,block,largeobj,read,12,4,10,2,8,2,0.0001,0.0001,0.0002,nan,0.0,1,2.156,0.1782,-0.161,1,0
gcp,file,balanced,read,12,4,10,2,8,2,0.3651,0.1171,0.5021,4.81,0.00472,1,279.222,0.0,0.431,1,0
gcp,file,balanced,write,12,4,10,2,8,2,0.2446,0.1674,0.7207,53.55,0.00037,1,639.515,0.0,0.51,1,0
gcp,file,largeobj,read,12,4,10,2,8,2,0.0611,0.0654,0.188,112.38,0.00073,1,3.176,0.0965,-0.204,0,0
gcp,object,balanced,read,12,4,10,2,8,2,1.03,0.0241,0.037,16.45,0.00245,1,0.576,0.5838,-0.108,1,1
gcp,object,balanced,write,12,4,10,2,8,2,0.9485,0.0243,0.1003,2.27,0.00377,1,42.361,0.0001,0.388,1,1
gcp,object,largeobj,read,12,4,10,2,8,2,0.3047,0.1093,0.4646,5.01,0.00642,0,126.454,0.0,0.635,1,0
huawei,block,balanced,read,12,4,10,2,8,2,0.2808,0.1545,0.6632,18.28,0.00178,1,317.793,0.0,0.573,1,0
huawei,block,balanced,write,12,4,10,2,8,2,0.0029,0.0464,0.0473,1.41,0.0353,0,0.237,0.7947,-0.634,0,0
huawei,block,largeobj,read,12,4,10,2,8,2,0.0001,0.0014,0.0022,7.88,0.0002,1,0.593,0.5753,-0.179,0,0
huawei,file,balanced,read,12,4,10,2,8,2,0.0343,0.0224,0.0795,41.63,0.00059,1,8.297,0.0112,0.547,1,0
huawei,file,balanced,write,12,4,10,2,8,2,0.4321,0.0894,0.3807,80.85,0.0003,1,142.123,0.0,0.484,1,1
huawei,file,largeobj,read,12,4,10,2,8,2,-0.001,0.0004,0.0009,3.74,0.00013,1,1.575,0.2651,-0.211,1,1
huawei,object,balanced,read,12,4,10,2,8,2,0.8597,0.0733,0.3148,5.01,0.00214,1,371.386,0.0,0.522,1,1
huawei,object,balanced,write,12,4,10,2,8,2,0.8475,0.1344,0.5784,8.97,0.0022,1,559.387,0.0,0.593,1,1
huawei,object,largeobj,read,12,4,10,2,8,2,0.2961,0.1749,0.7484,17.52,0.00253,1,218.12,0.0,0.59,1,0
