operation,paradigm,provider,workload,beta,beta_gated_excl,ci_hi,ci_lo,gated_excluded,levels,n_runs,r2,se
write,block,alibaba,balanced,-0.00143,-0.00136,0.00056,-0.00342,False,4,12,0.205,0.00089
read,block,alibaba,balanced,0.02785,0.02653,0.04701,0.0087,False,4,12,0.512,0.0086
combined,block,alibaba,balanced,0.01375,0.0131,0.02398,0.00351,False,4,12,0.472,0.00459
read,block,alibaba,largeobj,0.00155,,0.00233,0.00076,False,4,12,0.659,0.00035
combined,block,alibaba,largeobj,0.00155,,0.00233,0.00076,False,4,12,0.659,0.00035
write,file,alibaba,balanced,0.47771,0.47771,0.63123,0.32419,False,4,12,0.828,0.06891
read,file,alibaba,balanced,0.36255,0.36255,0.50777,0.21733,False,4,12,0.756,0.06518
combined,file,alibaba,balanced,0.42586,0.42586,0.57554,0.27617,False,4,12,0.801,0.06718
read,file,alibaba,largeobj,0.00664,0.00664,0.01271,0.00057,False,4,12,0.372,0.00273
combined,file,alibaba,largeobj,0.00664,0.00664,0.01271,0.00057,False,4,12,0.372,0.00273
write,object,alibaba,balanced,0.97716,0.97739,0.99174,0.96258,False,4,12,1.0,0.00654
read,object,alibaba,balanced,0.96643,1.05293,1.03271,0.90014,False,4,12,0.991,0.02975
combined,object,alibaba,balanced,0.97389,1.00921,1.00015,0.94762,False,4,12,0.999,0.01179
read,object,alibaba,largeobj,0.33026,0.33026,0.47447,0.18606,False,4,12,0.723,0.06472
combined,object,alibaba,largeobj,0.33026,0.33026,0.47447,0.18606,False,4,12,0.723,0.06472
write,block,aws,balanced,0.0294,0.0294,0.04594,0.01285,False,4,12,0.61,0.00743
read,block,aws,balanced,0.09811,0.09811,0.15455,0.04167,False,4,12,0.6,0.02533
combined,block,aws,balanced,0.05135,0.05135,0.08062,0.02208,False,4,12,0.604,0.01314
read,block,aws,largeobj,-9e-05,,0.00071,-0.0009,False,4,12,0.007,0.00036
combined,block,aws,largeobj,-9e-05,,0.00071,-0.0009,False,4,12,0.007,0.00036
write,file,aws,balanced,0.22498,0.46156,0.35446,0.09551,False,4,12,0.6,0.05811
read,file,aws,balanced,0.11836,0.44364,0.2483,-0.01159,False,4,12,0.292,0.05832
combined,file,aws,balanced,0.17867,0.44424,0.28911,0.06822,False,4,12,0.565,0.04957
read,file,aws,largeobj,0.03356,0.25821,0.34315,-0.27603,False,4,12,0.006,0.13895
combined,file,aws,largeobj,0.03356,0.25821,0.34315,-0.27603,False,4,12,0.006,0.13895
write,object,aws,balanced,0.9863,0.9863,1.00016,0.97245,False,4,12,1.0,0.00622
read,object,aws,balanced,1.0035,1.0035,1.05886,0.94814,False,4,12,0.994,0.02485
combined,object,aws,balanced,0.99483,0.99483,1.01932,0.97033,False,4,12,0.999,0.01099
read,object,aws,largeobj,0.56919,0.83404,0.71634,0.42204,False,4,12,0.881,0.06605
combined,object,aws,largeobj,0.56919,0.83404,0.71634,0.42204,False,4,12,0.881,0.06605
write,block,azure,balanced,-0.01133,-0.01133,0.02037,-0.04304,False,4,12,0.06,0.01423
read,block,azure,balanced,0.16347,0.16347,0.25528,0.07166,False,3,8,0.76,0.03752
combined,block,azure,balanced,0.10237,0.10237,0.16827,0.03647,False,3,8,0.707,0.02693
read,block,azure,largeobj,-0.00614,,0.00927,-0.02155,False,4,12,0.073,0.00692
combined,block,azure,largeobj,-0.00614,,0.00927,-0.02155,False,4,12,0.073,0.00692
write,file,azure,balanced,0.68583,0.68583,0.86617,0.5055,False,4,12,0.878,0.08094
read,file,azure,balanced,0.69687,0.69687,0.83849,0.55525,False,4,12,0.923,0.06356
combined,file,azure,balanced,0.69296,0.69296,0.84637,0.53956,False,4,12,0.91,0.06885
read,file,azure,largeobj,-0.02222,-0.02222,0.11069,-0.15512,False,4,12,0.014,0.05965
combined,file,azure,largeobj,-0.02222,-0.02222,0.11069,-0.15512,False,4,12,0.014,0.05965
write,object,azure,balanced,0.30988,,0.48848,0.13128,False,4,12,0.599,0.08016
read,object,azure,balanced,0.40062,,0.57924,0.222,False,4,12,0.714,0.08017
combined,object,azure,balanced,0.36323,,0.54104,0.18542,False,4,12,0.674,0.07981
read,object,azure,largeobj,0.36798,0.36798,0.53614,0.19983,False,4,12,0.704,0.07547
combined,object,azure,largeobj,0.36798,0.36798,0.53614,0.19983,False,4,12,0.704,0.07547
write,block,gcp,balanced,0.0548,0.0548,0.09679,0.0128,False,4,12,0.458,0.01885
read,block,gcp,balanced,0.17301,0.17301,0.27251,0.07352,False,4,12,0.6,0.04466
combined,block,gcp,balanced,0.09782,0.09782,0.16029,0.03534,False,4,12,0.549,0.02804
read,block,gcp,largeobj,0.00011,,0.00018,4e-05,False,4,12,0.53,3e-05
combined,block,gcp,largeobj,0.00011,,0.00018,4e-05,False,4,12,0.53,3e-05
write,file,gcp,balanced,0.2446,0.2446,0.41201,0.0772,False,4,12,0.515,0.07514
read,file,gcp,balanced,0.36509,0.36509,0.48219,0.24799,False,4,12,0.828,0.05256
combined,file,gcp,balanced,0.2586,0.2586,0.4195,0.0977,False,4,12,0.562,0.07222
read,file,gcp,largeobj,0.06113,0.06113,0.12657,-0.00432,False,4,12,0.302,0.02937
combined,file,gcp,largeobj,0.06113,0.06113,0.12657,-0.00432,False,4,12,0.302,0.02937
write,object,gcp,balanced,0.94849,0.94849,0.97278,0.9242,False,4,12,0.999,0.0109
read,object,gcp,balanced,1.02997,1.02997,1.0541,1.00585,False,4,12,0.999,0.01083
combined,object,gcp,balanced,0.98581,0.98581,1.0055,0.96613,False,4,12,0.999,0.00883
read,object,gcp,largeobj,0.30472,,0.41398,0.19546,False,4,12,0.794,0.04904
combined,object,gcp,largeobj,0.30472,,0.41398,0.19546,False,4,12,0.794,0.04904
write,block,huawei,balanced,0.00291,0.00291,0.04931,-0.04349,False,4,12,0.002,0.02083
read,block,huawei,balanced,0.28082,0.28082,0.43534,0.1263,False,4,12,0.621,0.06935
combined,block,huawei,balanced,0.09068,0.09068,0.15803,0.02333,False,4,12,0.474,0.03023
read,block,huawei,largeobj,7e-05,,0.00148,-0.00134,False,4,12,0.001,0.00063
combined,block,huawei,largeobj,7e-05,,0.00148,-0.00134,False,4,12,0.001,0.00063
write,file,huawei,balanced,0.43206,0.43206,0.52145,0.34266,False,4,12,0.921,0.04012
read,file,huawei,balanced,0.03429,0.03429,0.05671,0.01187,False,4,12,0.537,0.01006
combined,file,huawei,balanced,0.30283,0.30283,0.37316,0.23251,False,4,12,0.902,0.03157
read,file,huawei,largeobj,-0.00095,-0.00095,-0.00054,-0.00137,False,4,12,0.725,0.00019
combined,file,huawei,largeobj,-0.00095,-0.00095,-0.00054,-0.00137,False,4,12,0.725,0.00019
write,object,huawei,balanced,0.84752,0.84752,0.98194,0.7131,False,4,12,0.952,0.06033
read,object,huawei,balanced,0.85965,0.85965,0.93294,0.78636,False,4,12,0.986,0.0329
combined,object,huawei,balanced,0.85281,0.85281,0.96193,0.74369,False,4,12,0.968,0.04898
read,object,huawei,largeobj,0.29615,0.29615,0.47102,0.12128,False,4,12,0.587,0.07849
combined,object,huawei,largeobj,0.29615,0.29615,0.47102,0.12128,False,4,12,0.587,0.07849
