run_id,concurrency,cpu_util_pct,dataset_gb_executed,elapsed_s,endpoint_internal,lat_avg_ms,lat_p99_ms,mib,op,paradigm,provider,rep,timelimit,tput_mib_s,workload,write_p99_ms,write_tput_mib_s
aws-block-balanced-c01-r1,1,24.5,20,465.9,,1.421,1.722,20480.0,WRITE,block,aws,1,False,43.96,balanced,,
aws-block-balanced-c01-r1,1,24.5,20,255.8,,0.779,1.024,20480.0,READ,block,aws,1,False,80.06,balanced,1.722,43.96
aws-block-balanced-c01-r2,1,24.5,20,466.0,,1.421,1.722,20480.0,WRITE,block,aws,2,False,43.95,balanced,,
aws-block-balanced-c01-r2,1,24.5,20,256.0,,0.78,1.024,20480.0,READ,block,aws,2,False,80.0,balanced,1.722,43.95
aws-block-balanced-c01-r3,1,24.5,20,465.8,,1.42,1.722,20480.0,WRITE,block,aws,3,False,43.97,balanced,,
aws-block-balanced-c01-r3,1,24.5,20,255.7,,0.779,1.024,20480.0,READ,block,aws,3,False,80.09,balanced,1.722,43.97
aws-block-balanced-c04-r1,4,39.8,20,406.9,,4.922,9.742,20480.0,WRITE,block,aws,1,False,50.33,balanced,,
aws-block-balanced-c04-r1,4,39.8,20,162.6,,1.983,3.444,20480.0,READ,block,aws,1,False,125.97,balanced,9.742,50.33
aws-block-balanced-c04-r2,4,39.5,20,407.5,,4.899,11.585,20480.0,WRITE,block,aws,2,False,50.26,balanced,,
aws-block-balanced-c04-r2,4,39.5,20,162.6,,1.983,2.435,20480.0,READ,block,aws,2,False,125.97,balanced,11.585,50.26
aws-block-balanced-c04-r3,4,37.8,20,407.8,,4.921,9.742,20480.0,WRITE,block,aws,3,False,50.22,balanced,,
aws-block-balanced-c04-r3,4,37.8,20,162.6,,1.983,2.435,20480.0,READ,block,aws,3,False,125.97,balanced,9.742,50.22
aws-block-balanced-c16-r1,16,49.4,20,407.8,,19.625,38.968,20480.0,WRITE,block,aws,1,False,50.23,balanced,,
aws-block-balanced-c16-r1,16,49.4,20,162.6,,7.884,11.585,20480.0,READ,block,aws,1,False,125.94,balanced,38.968,50.23
aws-block-balanced-c16-r2,16,49.2,20,407.7,,19.694,38.968,20480.0,WRITE,block,aws,2,False,50.24,balanced,,
aws-block-balanced-c16-r2,16,49.2,20,162.6,,7.822,13.777,20480.0,READ,block,aws,2,False,125.97,balanced,38.968,50.24
aws-block-balanced-c16-r3,16,49.5,20,407.1,,19.664,38.968,20480.0,WRITE,block,aws,3,False,50.31,balanced,,
aws-block-balanced-c16-r3,16,49.5,20,162.6,,7.891,11.585,20480.0,READ,block,aws,3,False,125.97,balanced,38.968,50.31
aws-block-balanced-c64-r1,64,49.9,20,406.1,,79.077,131.072,20480.0,WRITE,block,aws,1,False,50.43,balanced,,
aws-block-balanced-c64-r1,64,49.9,20,162.6,,31.569,65.536,20480.0,READ,block,aws,1,False,125.97,balanced,131.072,50.43
aws-block-balanced-c64-r2,64,49.8,20,406.7,,79.284,131.072,20480.0,WRITE,block,aws,2,False,50.35,balanced,,
aws-block-balanced-c64-r2,64,49.8,20,162.6,,31.61,77.936,20480.0,READ,block,aws,2,False,125.97,balanced,131.072,50.35
aws-block-balanced-c64-r3,64,49.8,20,407.1,,79.372,131.072,20480.0,WRITE,block,aws,3,False,50.3,balanced,,
aws-block-balanced-c64-r3,64,49.8,20,162.6,,31.634,65.536,20480.0,READ,block,aws,3,False,125.97,balanced,131.072,50.3
aws-block-largeobj-c01-r1,1,24.3,40,327.1,,127.785,131.072,40960.0,READ,block,aws,1,False,125.21,largeobj,,
aws-block-largeobj-c01-r2,1,24.3,40,327.1,,127.785,131.072,40960.0,READ,block,aws,2,False,125.21,largeobj,,
aws-block-largeobj-c01-r3,1,24.2,40,327.1,,127.785,131.072,40960.0,READ,block,aws,3,False,125.21,largeobj,,
aws-block-largeobj-c04-r1,4,95.2,40,327.1,,502.666,741.455,40960.0,READ,block,aws,1,False,125.21,largeobj,,
aws-block-largeobj-c04-r2,4,90.4,40,327.1,,496.259,741.455,40960.0,READ,block,aws,2,False,125.21,largeobj,,
aws-block-largeobj-c04-r3,4,91.4,40,327.1,,507.393,741.455,40960.0,READ,block,aws,3,False,125.21,largeobj,,
aws-block-largeobj-c16-r1,16,97.0,40,328.6,,2032.486,3526.975,40960.0,READ,block,aws,1,False,124.64,largeobj,,
aws-block-largeobj-c16-r2,16,96.9,40,328.6,,2028.342,3526.975,40960.0,READ,block,aws,2,False,124.64,largeobj,,
aws-block-largeobj-c16-r3,16,96.9,40,327.1,,2020.962,3526.975,40960.0,READ,block,aws,3,False,125.23,largeobj,,
aws-block-largeobj-c64-r1,64,97.0,40,327.0,,8056.296,11863.283,40960.0,READ,block,aws,1,False,125.28,largeobj,,
aws-block-largeobj-c64-r2,64,97.0,40,326.9,,8036.078,14107.901,40960.0,READ,block,aws,2,False,125.28,largeobj,,
aws-block-largeobj-c64-r3,64,97.0,40,327.0,,8021.313,14107.901,40960.0,READ,block,aws,3,False,125.28,largeobj,,
aws-file-balanced-c01-r1,1,19.5,1,23.3,,1.418,1.722,1024.0,WRITE,file,aws,1,False,44.03,balanced,,
aws-file-balanced-c01-r1,1,19.5,1,12.8,,0.781,1.448,1024.0,READ,file,aws,1,False,79.94,balanced,1.722,44.03
aws-file-balanced-c01-r2,1,19.5,1,23.2,,1.417,1.722,1024.0,WRITE,file,aws,2,False,44.07,balanced,,
aws-file-balanced-c01-r2,1,19.5,1,12.8,,0.778,1.448,1024.0,READ,file,aws,2,False,80.17,balanced,1.722,44.07
aws-file-balanced-c01-r3,1,24.5,20,464.0,,1.415,1.722,20480.0,WRITE,file,aws,3,False,44.14,balanced,,
aws-file-balanced-c01-r3,1,24.5,20,255.6,,0.779,1.448,20480.0,READ,file,aws,3,False,80.13,balanced,1.722,44.14
aws-file-balanced-c04-r1,4,53.0,20,163.6,,1.996,2.435,20480.0,WRITE,file,aws,1,False,125.2,balanced,,
