run_id,combined_tput_mib_s,concurrency,cpu_util_pct,dataset_gb_executed,endpoint_internal,paradigm,phases_present,provider,read_p99_ms,read_tput_mib_s,rep,timelimit,workload,write_p99_ms,write_tput_mib_s
aws-block-balanced-c01-r1,56.76,1,24.5,20,,block,WRITE+READ,aws,1.024,80.06,1,False,balanced,1.722,43.96
aws-block-balanced-c01-r2,56.73,1,24.5,20,,block,WRITE+READ,aws,1.024,80.0,2,False,balanced,1.722,43.95
aws-block-balanced-c01-r3,56.77,1,24.5,20,,block,WRITE+READ,aws,1.024,80.09,3,False,balanced,1.722,43.97
aws-block-balanced-c04-r1,71.93,4,39.8,20,,block,WRITE+READ,aws,3.444,125.97,1,False,balanced,9.742,50.33
aws-block-balanced-c04-r2,71.85,4,39.5,20,,block,WRITE+READ,aws,2.435,125.97,2,False,balanced,11.585,50.26
aws-block-balanced-c04-r3,71.81,4,37.8,20,,block,WRITE+READ,aws,2.435,125.97,3,False,balanced,9.742,50.22
aws-block-balanced-c16-r1,71.81,16,49.4,20,,block,WRITE+READ,aws,11.585,125.94,1,False,balanced,38.968,50.23
aws-block-balanced-c16-r2,71.83,16,49.2,20,,block,WRITE+READ,aws,13.777,125.97,2,False,balanced,38.968,50.24
aws-block-balanced-c16-r3,71.9,16,49.5,20,,block,WRITE+READ,aws,11.585,125.97,3,False,balanced,38.968,50.31
aws-block-balanced-c64-r1,72.02,64,49.9,20,,block,WRITE+READ,aws,65.536,125.97,1,False,balanced,131.072,50.43
aws-block-balanced-c64-r2,71.95,64,49.8,20,,block,WRITE+READ,aws,77.936,125.97,2,False,balanced,131.072,50.35
aws-block-balanced-c64-r3,71.9,64,49.8,20,,block,WRITE+READ,aws,65.536,125.97,3,False,balanced,131.072,50.3
aws-block-largeobj-c01-r1,125.21,1,24.3,40,,block,READ,aws,131.072,125.21,1,False,largeobj,,
aws-block-largeobj-c01-r2,125.21,1,24.3,40,,block,READ,aws,131.072,125.21,2,False,largeobj,,
aws-block-largeobj-c01-r3,125.21,1,24.2,40,,block,READ,aws,131.072,125.21,3,False,largeobj,,
aws-block-largeobj-c04-r1,125.21,4,95.2,40,,block,READ,aws,741.455,125.21,1,False,largeobj,,
aws-block-largeobj-c04-r2,125.21,4,90.4,40,,block,READ,aws,741.455,125.21,2,False,largeobj,,
