stratum,provider,paradigm,workload,operation,beta,ci_lo,ci_hi,n_runs,n_levels
fixed,alibaba,block,balanced,write,0.0,-0.0,0.0,6,3
fixed,alibaba,block,balanced,read,0.053,0.012,0.094,6,3
fixed,alibaba,block,largeobj,read,0.002,0.001,0.003,10,4
fixed,alibaba,file,balanced,write,0.24,0.059,0.42,7,3
fixed,alibaba,file,balanced,read,0.133,0.032,0.234,7,3
fixed,alibaba,file,largeobj,read,0.002,-0.003,0.006,9,4
fixed,aws,block,balanced,write,0.029,0.013,0.046,12,4
fixed,aws,block,balanced,read,0.098,0.042,0.155,12,4
fixed,aws,block,largeobj,read,-0.0,-0.001,0.001,12,4
fixed,aws,file,balanced,write,0.14,-0.007,0.288,10,4
fixed,aws,file,balanced,read,0.074,-0.104,0.252,10,4
fixed,aws,file,largeobj,read,0.034,-0.276,0.343,12,4
fixed,aws,object,largeobj,read,0.54,0.377,0.704,11,4
fixed,azure,block,largeobj,read,-0.006,-0.022,0.009,12,4
fixed,azure,file,balanced,write,0.491,0.217,0.765,9,3
fixed,azure,file,balanced,read,0.69,0.412,0.968,9,3
fixed,azure,file,largeobj,read,-0.022,-0.155,0.111,12,4
fixed,gcp,block,balanced,write,0.055,0.013,0.097,12,4
fixed,gcp,block,balanced,read,0.173,0.074,0.273,12,4
fixed,gcp,block,largeobj,read,0.0,0.0,0.0,12,4
fixed,gcp,file,balanced,write,0.245,0.077,0.412,12,4
fixed,gcp,file,balanced,read,0.365,0.248,0.482,12,4
fixed,gcp,file,largeobj,read,0.061,-0.004,0.127,12,4
fixed,huawei,block,balanced,write,0.003,-0.043,0.049,12,4
fixed,huawei,block,balanced,read,0.281,0.126,0.435,12,4
fixed,huawei,block,largeobj,read,0.0,-0.001,0.001,12,4
fixed,huawei,file,balanced,write,0.339,0.196,0.482,9,3
fixed,huawei,file,balanced,read,0.002,-0.0,0.005,9,3
fixed,huawei,file,largeobj,read,-0.001,-0.001,-0.001,12,4
fixed,huawei,object,balanced,write,0.618,0.574,0.661,9,3
fixed,huawei,object,balanced,read,0.777,0.665,0.888,9,3
fixed,huawei,object,largeobj,read,0.296,0.121,0.471,12,4
weak,alibaba,block,balanced,write,-0.003,-0.005,-0.001,9,4
weak,alibaba,block,balanced,read,0.013,0.0,0.025,9,4
weak,alibaba,block,largeobj,read,0.001,0.001,0.001,5,3
weak,alibaba,file,balanced,write,0.582,0.382,0.782,8,4
weak,alibaba,file,balanced,read,0.454,0.263,0.644,8,4
weak,alibaba,file,largeobj,read,0.016,0.009,0.023,6,4
weak,alibaba,object,balanced,write,0.977,0.963,0.992,12,4
weak,alibaba,object,balanced,read,0.966,0.9,1.033,12,4
weak,alibaba,object,largeobj,read,0.33,0.186,0.474,12,4
weak,aws,object,balanced,write,1.004,0.987,1.022,9,3
weak,aws,object,balanced,read,0.954,0.859,1.049,9,3
weak,azure,block,balanced,write,-0.009,-0.04,0.022,11,4
weak,azure,block,balanced,read,0.161,0.069,0.253,7,3
weak,gcp,object,balanced,write,0.948,0.924,0.973,12,4
weak,gcp,object,balanced,read,1.03,1.006,1.054,12,4
weak,gcp,object,largeobj,read,0.305,0.195,0.414,12,4
