stratum,provider,paradigm,workload,operation,beta_inclusive,beta_exclusive,status
fixed,alibaba,block,balanced,read,0.0527,,lost
fixed,alibaba,block,balanced,write,0.0000,,lost
fixed,alibaba,block,largeobj,read,0.0018,0.0017,kept
fixed,alibaba,file,balanced,read,0.1328,,lost
fixed,alibaba,file,balanced,write,0.2396,,lost
fixed,alibaba,file,largeobj,read,0.0017,0.0010,kept
fixed,aws,block,balanced,read,0.0981,0.0934,kept
fixed,aws,block,balanced,write,0.0294,0.0281,kept
fixed,aws,block,largeobj,read,-0.0001,0.0001,kept
fixed,aws,file,balanced,read,0.0739,0.0585,kept
fixed,aws,file,balanced,write,0.1404,0.1368,kept
fixed,aws,file,largeobj,read,0.0336,0.0003,kept
fixed,aws,object,largeobj,read,0.5402,0.5093,kept
fixed,azure,block,largeobj,read,-0.0061,-0.0072,kept
fixed,azure,file,balanced,read,0.6902,,lost
fixed,azure,file,balanced,write,0.4909,,lost
fixed,azure,file,largeobj,read,-0.0222,-0.0458,kept
fixed,gcp,block,balanced,read,0.1730,0.1648,kept
fixed,gcp,block,balanced,write,0.0548,0.0495,kept
fixed,gcp,block,largeobj,read,0.0001,0.0001,kept
fixed,gcp,file,balanced,read,0.3651,0.3668,kept
fixed,gcp,file,balanced,write,0.2446,0.2468,kept
fixed,gcp,file,largeobj,read,0.0611,0.0510,kept
fixed,huawei,block,balanced,read,0.2808,0.2669,kept
fixed,huawei,block,balanced,write,0.0029,0.0019,kept
fixed,huawei,block,largeobj,read,0.0001,0.0002,kept
fixed,huawei,file,balanced,read,0.0023,,lost
fixed,huawei,file,balanced,write,0.3390,,lost
fixed,huawei,file,largeobj,read,-0.0010,-0.0009,kept
fixed,huawei,object,balanced,read,0.7767,,lost
fixed,huawei,object,balanced,write,0.6177,,lost
fixed,huawei,object,largeobj,read,0.2961,0.2813,kept
weak,alibaba,block,balanced,read,0.0127,0.0125,kept
weak,alibaba,block,balanced,write,-0.0031,-0.0030,kept
weak,alibaba,block,largeobj,read,0.0010,,lost
weak,alibaba,file,balanced,read,0.4538,0.4052,kept
weak,alibaba,file,balanced,write,0.5819,0.5064,kept
weak,alibaba,file,largeobj,read,0.0162,0.0175,kept
weak,alibaba,object,balanced,read,0.9664,0.9527,kept
weak,alibaba,object,balanced,write,0.9772,0.9766,kept
weak,alibaba,object,largeobj,read,0.3303,0.3117,kept
weak,aws,object,balanced,read,0.9538,,lost
weak,aws,object,balanced,write,1.0045,,lost
weak,azure,block,balanced,read,0.1607,,lost
weak,azure,block,balanced,write,-0.0088,-0.0125,kept
weak,gcp,object,balanced,read,1.0300,1.0298,kept
weak,gcp,object,balanced,write,0.9485,0.9456,kept
weak,gcp,object,largeobj,read,0.3047,0.2836,kept
