run_id,op,mib,target_mib,completion_ratio,elapsed_s,hit_limit,in_workload_level_rate
azure-block-balanced-c01-r1,WRITE,1024.0,1024.0,1.0,36.0,0,1
azure-block-balanced-c01-r1,READ,1024.0,1024.0,1.0,41.1,0,1
azure-block-balanced-c01-r2,WRITE,1024.0,1024.0,1.0,34.8,0,1
azure-block-balanced-c01-r2,READ,1024.0,1024.0,1.0,41.0,0,1
azure-block-balanced-c01-r3,WRITE,1024.0,1024.0,1.0,34.7,0,1
azure-block-balanced-c01-r3,READ,1024.0,1024.0,1.0,40.3,0,1
azure-block-balanced-c04-r1,WRITE,5120.0,5120.0,1.0,153.6,0,1
azure-block-balanced-c04-r1,READ,5120.0,5120.0,1.0,135.4,0,1
azure-block-balanced-c04-r2,WRITE,5120.0,5120.0,1.0,154.9,0,1
azure-block-balanced-c04-r2,READ,5120.0,5120.0,1.0,133.9,0,1
azure-block-balanced-c16-r3,WRITE,17344.0,20480.0,0.8469,600.1,1,0
azure-block-balanced-c64-r1,WRITE,17513.0,81920.0,0.2138,600.2,1,0
azure-block-balanced-c64-r2,WRITE,16519.0,81920.0,0.2016,600.2,1,0
azure-block-balanced-c64-r3,WRITE,16908.0,81920.0,0.2064,600.2,1,0
azure-file-balanced-c01-r1,WRITE,1024.0,1024.0,1.0,84.5,0,1
azure-file-balanced-c01-r1,READ,1024.0,1024.0,1.0,68.5,0,1
azure-file-balanced-c01-r2,WRITE,1024.0,1024.0,1.0,81.9,0,1
azure-file-balanced-c01-r2,READ,1024.0,1024.0,1.0,64.9,0,1
azure-file-balanced-c01-r3,WRITE,1024.0,1024.0,1.0,59.4,0,1
azure-file-balanced-c01-r3,READ,1024.0,1024.0,1.0,51.1,0,1
huawei-file-balanced-c01-r1,WRITE,1024.0,1024.0,1.0,32.3,0,1
huawei-file-balanced-c01-r1,READ,1024.0,1024.0,1.0,6.7,0,1
huawei-file-balanced-c01-r2,WRITE,1024.0,1024.0,1.0,31.1,0,1
huawei-file-balanced-c01-r2,READ,1024.0,1024.0,1.0,6.5,0,1
huawei-file-balanced-c01-r3,WRITE,1024.0,1024.0,1.0,29.7,0,1
huawei-file-balanced-c01-r3,READ,1024.0,1024.0,1.0,5.9,0,1
alibaba-block-balanced-c01-r3,WRITE,1024.0,1024.0,1.0,5.9,0,1
alibaba-block-balanced-c01-r3,READ,1024.0,1024.0,1.0,6.5,0,1
alibaba-block-balanced-c04-r1,WRITE,5120.0,5120.0,1.0,30.0,0,1
alibaba-block-balanced-c04-r1,READ,5120.0,5120.0,1.0,30.1,0,1
alibaba-block-balanced-c04-r2,WRITE,5120.0,5120.0,1.0,30.1,0,1
alibaba-block-balanced-c04-r2,READ,5120.0,5120.0,1.0,30.1,0,1
alibaba-block-balanced-c16-r1,WRITE,20480.0,20480.0,1.0,120.5,0,1
alibaba-block-balanced-c16-r1,READ,20480.0,20480.0,1.0,120.5,0,1
alibaba-block-balanced-c16-r2,WRITE,20480.0,20480.0,1.0,120.5,0,1
alibaba-block-balanced-c16-r2,READ,20480.0,20480.0,1.0,120.5,0,1
alibaba-block-balanced-c64-r1,WRITE,81920.0,81920.0,1.0,482.0,0,1
alibaba-block-balanced-c64-r1,READ,81920.0,81920.0,1.0,481.9,0,1
alibaba-block-balanced-c64-r2,WRITE,81920.0,81920.0,1.0,482.0,0,1
alibaba-block-balanced-c64-r2,READ,81920.0,81920.0,1.0,481.9,0,1
alibaba-block-balanced-c64-r3,WRITE,81920.0,81920.0,1.0,482.0,0,1
alibaba-block-balanced-c64-r3,READ,81920.0,81920.0,1.0,481.9,0,1
alibaba-block-largeobj-c01-r1,READ,2048.0,2048.0,1.0,12.1,0,1
alibaba-block-largeobj-c16-r1,READ,40960.0,40960.0,1.0,241.0,0,1
alibaba-block-largeobj-c64-r3,READ,81920.0,81920.0,1.0,481.7,0,1
alibaba-file-balanced-c01-r1,WRITE,1024.0,1024.0,1.0,49.3,0,1
alibaba-file-balanced-c01-r1,READ,1024.0,1024.0,1.0,33.0,0,1
alibaba-file-balanced-c01-r2,WRITE,1024.0,1024.0,1.0,45.9,0,1
alibaba-file-balanced-c01-r2,READ,1024.0,1024.0,1.0,29.3,0,1
alibaba-file-balanced-c01-r3,WRITE,1024.0,1024.0,1.0,50.7,0,1
alibaba-file-balanced-c01-r3,READ,1024.0,1024.0,1.0,33.2,0,1
alibaba-file-balanced-c04-r1,WRITE,5120.0,5120.0,1.0,57.3,0,1
alibaba-file-balanced-c04-r1,READ,5120.0,5120.0,1.0,40.5,0,1
alibaba-file-balanced-c16-r3,WRITE,20480.0,20480.0,1.0,134.1,0,1
alibaba-file-balanced-c16-r3,READ,20480.0,20480.0,1.0,134.0,0,1
alibaba-file-balanced-c64-r3,WRITE,81920.0,81920.0,1.0,506.3,0,1
alibaba-file-balanced-c64-r3,READ,81920.0,81920.0,1.0,507.0,0,1
alibaba-file-largeobj-c01-r1,READ,2048.0,2048.0,1.0,13.6,0,1
alibaba-file-largeobj-c04-r1,READ,10240.0,10240.0,1.0,67.5,0,1
alibaba-file-largeobj-c64-r3,READ,81920.0,81920.0,1.0,507.8,0,1
