run_id,timestamp_utc,provider,region,paradigm,workload,rep,concurrency,tool,block_size,dataset_size_gb,warmup_s,duration_s,read_throughput_mbps,write_throughput_mbps,total_throughput_mbps,read_iops,write_iops,total_iops,lat_mean_ms,lat_p95_ms,lat_p99_ms,metadata_ops_per_s,cpu_util_pct,raw_artifact_path,raw_sha256,capacity_cost_usd_per_basis,egress_cost_usd_per_basis,total_cost_usd_per_basis,cost_basis_gb
alibaba-file-write-c16-r1,2026-08-03T22:38:29.161678+00:00,alibaba,,file,write,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
alibaba-file-balanced-c16-r1,2026-08-03T22:38:33.611797+00:00,alibaba,,file,balanced,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
alibaba-object-balanced-c16-r1,2026-08-03T22:38:38.047273+00:00,alibaba,,object,balanced,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
alibaba-block-metadata-c16-r2,2026-08-03T22:38:42.467174+00:00,alibaba,,block,metadata,2,16,,4k,2,,,,,,,,,,,,,,,,,,,
alibaba-file-balanced-c16-r3,2026-08-03T22:38:46.928323+00:00,alibaba,,file,balanced,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
alibaba-block-metadata-c16-r1,2026-08-03T22:38:51.375755+00:00,alibaba,,block,metadata,1,16,,4k,2,,,,,,,,,,,,,,,,,,,
alibaba-file-largeobj-c16-r2,2026-08-03T22:38:55.811439+00:00,alibaba,,file,largeobj,2,16,,16m,40,,,,,,,,,,,,,,,,,,,
alibaba-object-read-c16-r3,2026-08-03T22:39:00.325571+00:00,alibaba,,object,read,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
alibaba-block-largeobj-c16-r1,2026-08-03T22:39:04.750457+00:00,alibaba,,block,largeobj,1,16,,16m,40,,,,,,,,,,,,,,,,,,,
alibaba-block-write-c16-r1,2026-08-03T22:39:09.181506+00:00,alibaba,,block,write,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
alibaba-object-write-c16-r1,2026-08-03T22:39:13.633149+00:00,alibaba,,object,write,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
alibaba-block-write-c16-r2,2026-08-03T22:39:18.075510+00:00,alibaba,,block,write,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
alibaba-object-largeobj-c16-r3,2026-08-03T22:39:22.663552+00:00,alibaba,,object,largeobj,3,16,,16m,40,,,,,,,,,,,,,,,,,,,
alibaba-file-metadata-c16-r1,2026-08-03T22:39:27.304025+00:00,alibaba,,file,metadata,1,16,,4k,2,,,,,,,,,,,,,,,,,,,
alibaba-file-write-c16-r1,2026-08-03T22:42:38.648394+00:00,alibaba,,file,write,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
alibaba-file-balanced-c16-r1,2026-08-03T22:42:46.461894+00:00,alibaba,,file,balanced,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
alibaba-object-balanced-c16-r1,2026-08-03T22:43:17.842007+00:00,alibaba,me-central-1,object,balanced,1,16,elbencho,64k,20,60,900,,,,,,,,,,,,,,2.04,,2.04,100.0
alibaba-block-metadata-c16-r2,2026-08-03T22:44:41.303665+00:00,alibaba,me-central-1,block,metadata,2,16,elbencho,4k,2,60,900,,,,,,,0.054,,18.572,265240.4,61.5,results/raw/alibaba-block-metadata-c16-r2.elbencho.csv,9412d44787bdd3637bcbf22890be04222bf46408f7793d8f65f4826479780aa0,27.9035,,27.9035,100.0
alibaba-file-balanced-c16-r3,2026-08-03T22:44:49.241668+00:00,alibaba,,file,balanced,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
alibaba-file-write-c16-r1,2026-08-03T22:54:31.678963+00:00,alibaba,me-central-1,file,write,1,16,elbencho,64k,20,60,900,,152.0,152.0,,2445.0,2445.0,6.537,,16.384,,5.7,results/raw/alibaba-file-write-c16-r1.elbencho.csv,dc09f22df642a20cc8451a3a49fe31e9d8d617d638d1fe96558516b404a861b9,10.8,,10.8,100.0
alibaba-file-balanced-c16-r1,2026-08-03T23:04:01.322630+00:00,alibaba,me-central-1,file,balanced,1,16,elbencho,64k,20,60,900,153.0,152.0,305.0,2449.0,2445.0,4894.0,6.512,,24.576,,6.3,results/raw/alibaba-file-balanced-c16-r1.elbencho.csv,e3dd1bf18ec1781c9fbdff413a7b7a70ce9f5f040b6ca506d74ddf2fc1e7afa2,10.8,,10.8,100.0
alibaba-object-balanced-c16-r1,2026-08-03T23:04:42.236180+00:00,alibaba,me-central-1,object,balanced,1,16,elbencho,64k,20,60,900,,,,,,,,,,,,,,2.04,,2.04,100.0
alibaba-file-balanced-c16-r3,2026-08-03T23:11:50.866589+00:00,alibaba,me-central-1,file,balanced,3,16,elbencho,64k,20,60,900,153.0,152.0,305.0,2448.0,2445.0,4893.0,6.511,,24.576,,6.5,results/raw/alibaba-file-balanced-c16-r3.elbencho.csv,89349c83e9862badf10711333d8c7c5bbb4f9fe26f613bb33d816dcbe23ffb3a,10.8,,10.8,100.0
alibaba-block-metadata-c16-r1,2026-08-03T23:13:13.612635+00:00,alibaba,me-central-1,block,metadata,1,16,elbencho,4k,2,60,900,,,,,,,0.055,,26.243,265776.4,61.5,results/raw/alibaba-block-metadata-c16-r1.elbencho.csv,1862a0aea378f0838111fb86afa2b29661c0f6f240fe562fe631963faf000bf7,27.9035,,27.9035,100.0
alibaba-file-largeobj-c16-r2,2026-08-03T23:24:58.080358+00:00,alibaba,me-central-1,file,largeobj,2,16,elbencho,16m,40,60,900,154.0,,154.0,9.0,,9.0,1535.69,,14107.901,,5.8,results/raw/alibaba-file-largeobj-c16-r2.elbencho.csv,3b79ba16700d430725503de90c9bd3ca18b9cc42702eac5c2ec107a81f5d9412,10.8,,10.8,100.0
alibaba-object-read-c16-r3,2026-08-03T23:25:29.037718+00:00,alibaba,me-central-1,object,read,3,16,elbencho,64k,20,60,900,,,,,,,,,,,,,,2.04,,2.04,100.0
alibaba-block-largeobj-c16-r1,2026-08-03T23:35:50.399052+00:00,alibaba,me-central-1,block,largeobj,1,16,elbencho,16m,40,60,900,169.0,,169.0,10.0,,10.0,1501.735,,1763.488,,96.0,results/raw/alibaba-block-largeobj-c16-r1.elbencho.csv,13c693abc1bbc65001dd24d801468bec763fdb38e9e241358a1ebafcd926cd1c,27.9035,,27.9035,100.0
alibaba-block-write-c16-r1,2026-08-03T23:40:07.546320+00:00,alibaba,me-central-1,block,write,1,16,elbencho,64k,20,60,900,,170.0,170.0,,2720.0,2720.0,5.862,,11.585,,70.2,results/raw/alibaba-block-write-c16-r1.elbencho.csv,10e30fd9ddacb6aa41612f2b0abbcc33b5cdf4737c6b8104eb5b11c74f535bde,27.9035,,27.9035,100.0
alibaba-object-write-c16-r1,2026-08-03T23:40:38.998709+00:00,alibaba,me-central-1,object,write,1,16,elbencho,64k,20,60,900,,,,,,,,,,,,,,2.04,,2.04,100.0
