Linux 5.15.0-186-generic (iZl4v62o0lx0evsjrew1p2Z) 	08/04/2026 	_x86_64_	(4 CPU)

10:17:18 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:17:19 AM  all    1.02    0.00    0.00   97.97    0.00    0.00    0.00    0.00    0.00    1.02
10:17:20 AM  all    0.00    0.00    0.00   97.70    0.00    0.00    0.00    0.00    0.00    2.30
10:17:21 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
10:17:22 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
10:17:23 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
10:17:24 AM  all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
10:17:25 AM  all    1.27    0.00    0.25   98.48    0.00    0.00    0.00    0.00    0.00    0.00
10:17:26 AM  all    2.21    0.00    1.47   96.08    0.00    0.25    0.00    0.00    0.00    0.00
10:17:27 AM  all    4.14    0.00    0.49   95.13    0.00    0.24    0.00    0.00    0.00    0.00
10:17:28 AM  all    2.72    0.00    0.50   96.53    0.00    0.25    0.00    0.00    0.00    0.00
10:17:29 AM  all    2.46    0.00    0.49   96.56    0.00    0.49    0.00    0.00    0.00    0.00
10:17:30 AM  all    3.19    0.00    0.25   96.07    0.00    0.49    0.00    0.00    0.00    0.00
10:17:31 AM  all    2.48    0.00    0.50   97.02    0.00    0.00    0.00    0.00    0.00    0.00
10:17:32 AM  all    2.71    0.00    0.49   96.31    0.00    0.49    0.00    0.00    0.00    0.00
10:17:33 AM  all    3.19    0.00    0.25   96.31    0.00    0.25    0.00    0.00    0.00    0.00
10:17:34 AM  all    3.19    0.00    0.98   95.82    0.00    0.00    0.00    0.00    0.00    0.00
10:17:35 AM  all    1.74    0.00    0.25   97.26    0.00    0.75    0.00    0.00    0.00    0.00
10:17:36 AM  all    2.69    0.00    0.49   96.09    0.00    0.73    0.00    0.00    0.00    0.00
10:17:37 AM  all    2.46    0.00    0.74   96.07    0.00    0.74    0.00    0.00    0.00    0.00
10:17:38 AM  all    2.93    0.00    1.22   95.37    0.00    0.49    0.00    0.00    0.00    0.00
10:17:39 AM  all    1.75    0.00    0.25   97.74    0.00    0.25    0.00    0.00    0.00    0.00
10:17:40 AM  all    1.99    0.00    0.50   97.27    0.00    0.25    0.00    0.00    0.00    0.00
10:17:41 AM  all    0.76    0.00    0.00   99.24    0.00    0.00    0.00    0.00    0.00    0.00
10:17:42 AM  all    1.01    0.00    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00
10:17:43 AM  all    0.00    0.00    0.00   99.74    0.00    0.00    0.00    0.00    0.00    0.26
10:17:44 AM  all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
10:17:45 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
10:17:46 AM  all    1.50    0.00    0.75   97.51    0.00    0.25    0.00    0.00    0.00    0.00
10:17:47 AM  all    3.19    0.00    0.25   96.07    0.00    0.49    0.00    0.00    0.00    0.00
10:17:48 AM  all    2.48    0.00    0.50   96.78    0.00    0.25    0.00    0.00    0.00    0.00
10:17:49 AM  all    2.46    0.00    0.49   95.32    0.00    0.49    0.00    0.00    0.00    1.23
10:17:50 AM  all    1.76    0.00    0.25   97.98    0.00    0.00    0.00    0.00    0.00    0.00
