ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2026-08-04T06:43:43.591+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,MKDIRS,1,4,8730,39800,,,,,0,0,13,160,,,10,13,24,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/alibaba-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T06:43:43.595+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,WRITE,7633,9475,170470,168855,,,,,99,99,1301223,1600000,,,6,85,67845,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/alibaba-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T06:43:53.071+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,STAT,446,1086,1460786,1473255,,,,,100,99,651667,1600000,,,1,6,73607,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/alibaba-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T06:43:54.157+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMFILES,5731,6453,254319,247917,,,,,88,86,1457559,1600000,,,5,59,287197,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/alibaba-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T06:44:00.611+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMDIRS,138,364,374,439,,,,,100,98,52,160,,,2282,29717,104514,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/alibaba-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T06:44:01.026+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,MKDIRS,1,3,29310,47044,,,,,0,100,34,160,,,12,29,1284,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/alibaba-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T06:44:01.029+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,WRITE,9393,9994,160032,160080,,,,,93,93,1503268,1600000,,,9,94,311854,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/alibaba-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T06:44:11.025+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,STAT,968,1086,1475960,1473186,,,,,100,99,1429766,1600000,,,1,7,55608,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/alibaba-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T06:44:12.112+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMFILES,6718,7360,217155,217365,,,,,76,76,1458983,1600000,,,5,69,1217036,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/alibaba-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-04T06:44:19.473+0800,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMDIRS,89,371,344,430,,,,,100,98,31,160,,,2434,29545,91607,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/alibaba-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
