Linux 5.15.0-186-generic (iZl4v62o0lx0evsjrew1p2Z) 	08/04/2026 	_x86_64_	(4 CPU)

08:08:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:08:21 AM  all    8.52    0.00   90.73    0.00    0.00    0.00    0.00    0.00    0.00    0.75
08:08:22 AM  all    7.79    0.00   92.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:23 AM  all    7.44    0.00   72.21    7.69    0.00    0.25    0.00    0.00    0.00   12.41
08:08:24 AM  all    7.73    0.00   92.27    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:25 AM  all    8.73    0.00   91.27    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:26 AM  all    5.79    0.00   72.29    8.31    0.00    0.25    0.00    0.00    0.00   13.35
08:08:27 AM  all    8.77    0.00   91.23    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:28 AM  all    7.25    0.00   92.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:29 AM  all    6.05    0.00   70.78    9.07    0.00    0.25    0.00    0.00    0.00   13.85
08:08:30 AM  all    7.21    0.00   92.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:31 AM  all   42.00    0.00   57.25    0.00    0.00    0.00    0.00    0.00    0.00    0.75
08:08:32 AM  all   12.53    0.00   74.19    2.26    0.00    0.25    0.00    0.00    0.00   10.78
08:08:33 AM  all    9.05    0.00   76.63    8.29    0.00    0.25    0.00    0.00    0.00    5.78
08:08:34 AM  all    5.76    0.00   69.67    9.77    0.00    2.01    0.00    0.00    0.00   12.78
08:08:35 AM  all    2.76    0.00   22.81   18.80    0.00    0.50    0.00    0.00    0.00   55.14
08:08:36 AM  all    7.52    0.00   90.48    0.00    0.00    0.00    0.00    0.00    0.00    2.01
08:08:37 AM  all    7.27    0.00   77.44    2.01    0.00    0.50    0.00    0.00    0.00   12.78
08:08:38 AM  all    7.36    0.00   90.86    0.00    0.00    0.00    0.00    0.00    0.00    1.78
08:08:39 AM  all    2.97    0.00   50.00    2.23    0.00    1.98    0.00    0.00    0.00   42.82
08:08:40 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:08:41 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:08:42 AM  all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
08:08:43 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:08:44 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
08:08:45 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:08:46 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:08:47 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:08:48 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
