Linux 5.15.0-186-generic (iZl4v62o0lx0evsjrew1p2Z) 	08/04/2026 	_x86_64_	(4 CPU)

09:36:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:36:01 AM  all    0.50    0.00    0.50   97.99    0.00    0.25    0.00    0.00    0.00    0.75
09:36:02 AM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
09:36:03 AM  all    0.00    0.00    0.75   99.25    0.00    0.00    0.00    0.00    0.00    0.00
09:36:04 AM  all    0.00    0.00    0.50   99.00    0.00    0.50    0.00    0.00    0.00    0.00
09:36:05 AM  all    0.00    0.00    0.50   99.25    0.00    0.25    0.00    0.00    0.00    0.00
09:36:06 AM  all    0.00    0.00    0.75   99.00    0.00    0.25    0.00    0.00    0.00    0.00
09:36:07 AM  all    0.25    0.00    0.25   99.00    0.00    0.50    0.00    0.00    0.00    0.00
09:36:08 AM  all    0.00    0.00    0.25   99.25    0.00    0.50    0.00    0.00    0.00    0.00
09:36:09 AM  all    0.25    0.00    0.50   99.00    0.00    0.25    0.00    0.00    0.00    0.00
09:36:10 AM  all    0.25    0.00    0.00   96.98    0.00    0.00    0.00    0.00    0.00    2.76
09:36:11 AM  all    0.00    0.00    0.00   99.24    0.00    0.00    0.00    0.00    0.00    0.76
09:36:12 AM  all    0.00    0.00    0.25   99.50    0.00    0.25    0.00    0.00    0.00    0.00
09:36:13 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
09:36:14 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
09:36:15 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
09:36:16 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
09:36:17 AM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
09:36:18 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
09:36:19 AM  all    0.25    0.00    0.50   99.00    0.00    0.25    0.00    0.00    0.00    0.00
09:36:20 AM  all    0.00    0.00    0.25   99.00    0.00    0.75    0.00    0.00    0.00    0.00
09:36:21 AM  all    0.00    0.00    0.25   99.50    0.00    0.00    0.00    0.00    0.00    0.25
09:36:22 AM  all    0.00    0.00    0.25   99.50    0.00    0.25    0.00    0.00    0.00    0.00
09:36:23 AM  all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
09:36:24 AM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
09:36:25 AM  all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
09:36:26 AM  all    0.25    0.00    0.25   99.50    0.00    0.00    0.00    0.00    0.00    0.00
09:36:27 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
09:36:28 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
09:36:29 AM  all    0.25    0.00    0.00   99.50    0.00    0.25    0.00    0.00    0.00    0.00
09:36:30 AM  all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
09:36:31 AM  all    0.50    0.00    1.24   98.01    0.00    0.25    0.00    0.00    0.00    0.00
09:36:32 AM  all    0.50    0.00    0.50   98.51    0.00    0.50    0.00    0.00    0.00    0.00
09:36:33 AM  all    0.25    0.00    0.75   98.75    0.00    0.25    0.00    0.00    0.00    0.00
09:36:34 AM  all    0.25    0.00    0.99   98.02    0.00    0.74    0.00    0.00    0.00    0.00
09:36:35 AM  all    0.00    0.00    1.49   98.01    0.00    0.50    0.00    0.00    0.00    0.00
09:36:36 AM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
09:36:37 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
09:36:38 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
09:36:39 AM  all    0.00    0.00    0.50   99.00    0.00    0.50    0.00    0.00    0.00    0.00
09:36:40 AM  all    0.50    0.00    0.50   87.28    0.00    0.50    0.00    0.00    0.00   11.22
