Linux 5.15.0-186-generic (iZl4v62o0lx0evsjrew1p2Z) 	08/04/2026 	_x86_64_	(4 CPU)

07:42:34 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:42:35 AM  all    1.74    0.00    1.24   95.77    0.00    0.25    0.00    0.00    0.00    1.00
07:42:36 AM  all    2.44    0.00    1.71   95.60    0.00    0.24    0.00    0.00    0.00    0.00
07:42:37 AM  all    2.21    0.00    1.23   96.31    0.00    0.25    0.00    0.00    0.00    0.00
07:42:38 AM  all    2.48    0.00    0.25   97.02    0.00    0.25    0.00    0.00    0.00    0.00
07:42:39 AM  all    2.24    0.00    0.25   97.26    0.00    0.25    0.00    0.00    0.00    0.00
07:42:40 AM  all    2.45    0.00    0.49   95.83    0.00    0.98    0.00    0.00    0.00    0.25
07:42:41 AM  all    2.47    0.00    0.49   95.31    0.00    0.25    0.00    0.00    0.00    1.48
07:42:42 AM  all    2.48    0.00    0.25   96.78    0.00    0.50    0.00    0.00    0.00    0.00
07:42:43 AM  all    2.22    0.00    0.99   96.55    0.00    0.25    0.00    0.00    0.00    0.00
07:42:44 AM  all    2.97    0.00    0.25   96.78    0.00    0.00    0.00    0.00    0.00    0.00
07:42:45 AM  all    2.96    0.00    0.49   96.31    0.00    0.25    0.00    0.00    0.00    0.00
07:42:46 AM  all    2.71    0.00    0.74   96.31    0.00    0.25    0.00    0.00    0.00    0.00
07:42:47 AM  all    2.21    0.00    1.23   96.31    0.00    0.25    0.00    0.00    0.00    0.00
07:42:48 AM  all    1.75    0.00    0.00   98.00    0.00    0.25    0.00    0.00    0.00    0.00
07:42:49 AM  all    2.01    0.00    0.00   97.99    0.00    0.00    0.00    0.00    0.00    0.00
07:42:50 AM  all    0.25    0.00    0.25   99.24    0.00    0.25    0.00    0.00    0.00    0.00
07:42:51 AM  all    0.26    0.00    0.00   99.74    0.00    0.00    0.00    0.00    0.00    0.00
07:42:52 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:42:53 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:42:54 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:42:55 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:42:56 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:42:57 AM  all    0.00    0.00    0.51   99.49    0.00    0.00    0.00    0.00    0.00    0.00
07:42:58 AM  all    0.26    0.00    0.00   99.74    0.00    0.00    0.00    0.00    0.00    0.00
07:42:59 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:43:00 AM  all    0.00    0.00    0.00   99.74    0.00    0.00    0.00    0.00    0.00    0.26
07:43:01 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:43:02 AM  all    2.00    0.00    0.50   97.01    0.00    0.25    0.00    0.00    0.00    0.25
07:43:03 AM  all    2.70    0.00    0.74   96.56    0.00    0.00    0.00    0.00    0.00    0.00
07:43:04 AM  all    2.72    0.00    0.25   96.53    0.00    0.50    0.00    0.00    0.00    0.00
07:43:05 AM  all    2.96    0.00    0.25   96.55    0.00    0.25    0.00    0.00    0.00    0.00
07:43:06 AM  all    2.00    0.00    0.50   97.26    0.00    0.25    0.00    0.00    0.00    0.00
07:43:07 AM  all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
07:43:08 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:43:09 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:43:10 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:43:11 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:43:12 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:43:13 AM  all    0.26    0.00    0.00   99.74    0.00    0.00    0.00    0.00    0.00    0.00
07:43:14 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:43:15 AM  all    0.26    0.00    0.00   99.74    0.00    0.00    0.00    0.00    0.00    0.00
07:43:16 AM  all    2.46    0.00    0.49   96.55    0.00    0.49    0.00    0.00    0.00    0.00
07:43:17 AM  all    2.93    0.00    1.22   95.37    0.00    0.49    0.00    0.00    0.00    0.00
07:43:18 AM  all    3.41    0.00    0.73   95.61    0.00    0.24    0.00    0.00    0.00    0.00
07:43:19 AM  all    3.19    0.00    0.49   96.08    0.00    0.25    0.00    0.00    0.00    0.00
07:43:20 AM  all    2.24    0.00    0.25   97.26    0.00    0.25    0.00    0.00    0.00    0.00
07:43:21 AM  all    2.46    0.00    0.99   96.31    0.00    0.25    0.00    0.00    0.00    0.00
07:43:22 AM  all    1.24    0.00    0.25   92.29    0.00    0.75    0.00    0.00    0.00    5.47
07:43:23 AM  all    2.96    0.00    0.49   96.30    0.00    0.25    0.00    0.00    0.00    0.00
07:43:24 AM  all    2.47    0.00    0.74   96.54    0.00    0.25    0.00    0.00    0.00    0.00
07:43:25 AM  all    2.70    0.00    0.25   96.31    0.00    0.74    0.00    0.00    0.00    0.00
07:43:26 AM  all    2.23    0.00    0.50   95.79    0.00    0.50    0.00    0.00    0.00    0.99
07:43:27 AM  all    2.21    0.00    0.98   95.83    0.00    0.98    0.00    0.00    0.00    0.00
07:43:28 AM  all    1.50    0.00    0.50   97.51    0.00    0.50    0.00    0.00    0.00    0.00
07:43:29 AM  all    1.98    0.00    1.23   96.79    0.00    0.00    0.00    0.00    0.00    0.00
07:43:30 AM  all    1.26    0.00    0.25   98.24    0.00    0.25    0.00    0.00    0.00    0.00
07:43:31 AM  all    1.25    0.00    0.50   97.99    0.00    0.25    0.00    0.00    0.00    0.00
07:43:32 AM  all    0.26    0.00    0.00   98.47    0.00    0.00    0.00    0.00    0.00    1.28
07:43:33 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:43:34 AM  all    1.51    0.00    0.25   98.24    0.00    0.00    0.00    0.00    0.00    0.00
07:43:35 AM  all    2.23    0.00    0.50   97.02    0.00    0.25    0.00    0.00    0.00    0.00
07:43:36 AM  all    2.47    0.00    0.74   96.30    0.00    0.49    0.00    0.00    0.00    0.00
07:43:37 AM  all    3.18    0.00    0.49   96.09    0.00    0.24    0.00    0.00    0.00    0.00
07:43:38 AM  all    2.74    0.00    0.25   96.77    0.00    0.25    0.00    0.00    0.00    0.00
07:43:39 AM  all    1.98    0.00    0.74   96.78    0.00    0.50    0.00    0.00    0.00    0.00
07:43:40 AM  all    2.46    0.00    0.25   96.56    0.00    0.74    0.00    0.00    0.00    0.00
07:43:41 AM  all    3.19    0.00    0.49   91.40    0.00    0.49    0.00    0.00    0.00    4.42
07:43:42 AM  all    2.70    0.00    0.74   96.07    0.00    0.49    0.00    0.00    0.00    0.00
07:43:43 AM  all    2.70    0.00    0.98   96.07    0.00    0.25    0.00    0.00    0.00    0.00
07:43:44 AM  all    1.50    0.00    0.00   98.25    0.00    0.25    0.00    0.00    0.00    0.00
07:43:45 AM  all    0.76    0.00    0.25   98.98    0.00    0.00    0.00    0.00    0.00    0.00
07:43:46 AM  all    0.25    0.00    0.25   99.49    0.00    0.00    0.00    0.00    0.00    0.00
07:43:47 AM  all    0.00    0.00    0.26   98.98    0.00    0.00    0.00    0.00    0.00    0.77
07:43:48 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:43:49 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:43:50 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:43:51 AM  all    0.00    0.00    0.00   99.23    0.00    0.00    0.00    0.00    0.00    0.77
07:43:52 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:43:53 AM  all    0.26    0.00    0.00   99.74    0.00    0.00    0.00    0.00    0.00    0.00
07:43:54 AM  all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
07:43:55 AM  all    0.26    0.00    0.51   83.42    0.00    0.00    0.00    0.00    0.00   15.82
07:43:56 AM  all    1.98    0.00    1.73   24.75    0.00    0.50    0.00    0.00    0.00   71.04
07:43:57 AM  all    2.45    0.00    2.70   23.28    0.00    0.00    0.00    0.00    0.00   71.57
07:43:58 AM  all    0.51    0.00    1.02   23.86    0.00    0.25    0.00    0.00    0.00   74.37
07:43:59 AM  all    1.02    0.00    0.51   24.43    0.00    0.25    0.00    0.00    0.00   73.79
07:44:00 AM  all    1.96    0.00    3.19   23.04    0.00    0.00    0.00    0.00    0.00   71.81
07:44:01 AM  all    2.00    0.00    1.50   23.94    0.00    0.00    0.00    0.00    0.00   72.57
07:44:02 AM  all    1.50    0.00    1.50   24.06    0.00    0.00    0.00    0.00    0.00   72.93
07:44:03 AM  all    1.01    0.00    1.51   23.87    0.00    0.50    0.00    0.00    0.00   73.12
07:44:04 AM  all    1.26    0.00    1.01   23.48    0.00    0.00    0.00    0.00    0.00   74.24
07:44:05 AM  all    1.02    0.00    0.51   24.49    0.00    0.00    0.00    0.00    0.00   73.98
07:44:06 AM  all    0.76    0.00    1.27   23.92    0.00    0.00    0.00    0.00    0.00   74.05
07:44:07 AM  all    1.75    0.00    1.00   23.81    0.00    0.00    0.00    0.00    0.00   73.43
07:44:08 AM  all    1.25    0.00    1.75   23.94    0.00    0.25    0.00    0.00    0.00   72.82
07:44:09 AM  all    0.76    0.00    1.27   23.86    0.00    0.25    0.00    0.00    0.00   73.86
07:44:10 AM  all    1.01    0.00    1.26   23.74    0.00    0.25    0.00    0.00    0.00   73.74
07:44:11 AM  all    1.26    0.00    1.01   24.12    0.00    0.00    0.00    0.00    0.00   73.62
07:44:12 AM  all    2.22    0.00    2.22   23.46    0.00    0.25    0.00    0.00    0.00   71.85
07:44:13 AM  all    0.51    0.00    0.26   24.10    0.00    0.26    0.00    0.00    0.00   74.87
07:44:14 AM  all    1.01    0.00    1.01   23.99    0.00    0.25    0.00    0.00    0.00   73.74
07:44:15 AM  all    1.50    0.00    1.25   23.75    0.00    0.50    0.00    0.00    0.00   73.00
07:44:16 AM  all    0.76    0.00    0.76   24.17    0.00    0.25    0.00    0.00    0.00   74.05
07:44:17 AM  all    1.25    0.00    1.50   23.81    0.00    0.25    0.00    0.00    0.00   73.18
07:44:18 AM  all    1.75    0.00    1.50   23.56    0.00    0.00    0.00    0.00    0.00   73.18
07:44:19 AM  all    1.25    0.00    1.50   23.81    0.00    0.25    0.00    0.00    0.00   73.18
07:44:20 AM  all    1.51    0.00    1.01   23.93    0.00    0.25    0.00    0.00    0.00   73.30
07:44:21 AM  all    1.00    0.00    1.75   23.81    0.00    0.00    0.00    0.00    0.00   73.43
07:44:22 AM  all    0.76    0.00    1.27   24.05    0.00    0.25    0.00    0.00    0.00   73.67
07:44:23 AM  all    1.26    0.00    0.76   23.99    0.00    0.25    0.00    0.00    0.00   73.74
07:44:24 AM  all    1.50    0.00    1.75   23.56    0.00    0.25    0.00    0.00    0.00   72.93
07:44:25 AM  all    1.50    0.00    1.25   23.81    0.00    0.50    0.00    0.00    0.00   72.93
07:44:26 AM  all    1.26    0.00    1.01   24.12    0.00    0.25    0.00    0.00    0.00   73.37
07:44:27 AM  all    1.50    0.00    1.50   23.56    0.00    0.00    0.00    0.00    0.00   73.43
07:44:28 AM  all    1.51    0.00    1.01   23.68    0.00    0.50    0.00    0.00    0.00   73.30
07:44:29 AM  all    1.01    0.00    0.76   24.30    0.00    0.00    0.00    0.00    0.00   73.92
07:44:30 AM  all    0.76    0.00    1.27   23.86    0.00    0.25    0.00    0.00    0.00   73.86
07:44:31 AM  all    1.26    0.00    1.51   23.87    0.00    0.00    0.00    0.00    0.00   73.37
07:44:32 AM  all    1.50    0.00    1.00   24.00    0.00    0.25    0.00    0.00    0.00   73.25
07:44:33 AM  all    1.27    0.00    0.76   23.92    0.00    0.00    0.00    0.00    0.00   74.05
07:44:34 AM  all    1.74    0.00    1.99   23.38    0.00    0.50    0.00    0.00    0.00   72.39
07:44:35 AM  all    0.76    0.00    0.25   11.59    0.00    0.00    0.00    0.00    0.00   87.41
07:44:36 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:44:37 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:44:38 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:44:39 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:44:40 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:44:41 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:44:42 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
07:44:43 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:44:44 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
