Linux 5.15.0-186-generic (iZl4v62o0lx0evsjrew1p2Z) 	08/04/2026 	_x86_64_	(4 CPU)

09:25:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:25:41 AM  all    1.51    0.00    4.28    0.00    0.00    1.01    0.00    0.00    0.00   93.20
09:25:42 AM  all    0.26    0.00    2.55    0.00    0.00    1.79    0.00    0.00    0.00   95.41
09:25:43 AM  all    1.51    0.00    3.02    0.00    0.00    1.26    0.00    0.00    0.00   94.21
09:25:44 AM  all    0.76    0.00    3.80    0.00    0.00    1.01    0.00    0.00    0.00   94.43
09:25:45 AM  all    1.25    0.00    4.50    0.00    0.00    1.00    0.00    0.00    0.00   93.25
09:25:46 AM  all    1.97    0.00    4.42    0.00    0.00    1.47    0.00    0.00    0.00   92.14
09:25:47 AM  all    1.27    0.00    2.79    0.00    0.00    1.02    0.00    0.00    0.00   94.92
09:25:48 AM  all    1.25    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00   93.75
09:25:49 AM  all    0.77    0.00    3.09    0.00    0.00    0.52    0.00    0.00    0.00   95.62
09:25:50 AM  all    2.00    0.00    3.25    0.00    0.00    1.25    0.00    0.00    0.00   93.50
09:25:51 AM  all    1.00    0.00    4.51    0.00    0.00    1.00    0.00    0.00    0.00   93.48
09:25:52 AM  all    1.01    0.00    2.51    0.00    0.00    2.76    0.00    0.00    0.00   93.72
09:25:53 AM  all    1.75    0.00    3.26    0.00    0.00    1.75    0.00    0.00    0.00   93.23
09:25:54 AM  all    2.23    0.00    3.71    0.00    0.00    1.73    0.00    0.00    0.00   92.33
09:25:55 AM  all    0.51    0.00    2.56    0.00    0.00    1.53    0.00    0.00    0.00   95.40
09:25:56 AM  all    1.76    0.00    3.77    0.00    0.00    1.01    0.00    0.00    0.00   93.47
09:25:57 AM  all    1.25    0.00    3.26    0.00    0.00    2.01    0.00    0.00    0.00   93.48
09:25:58 AM  all    1.76    0.00    3.02    0.00    0.00    1.51    0.00    0.00    0.00   93.72
09:25:59 AM  all    0.51    0.00    4.05    0.00    0.00    1.52    0.00    0.00    0.00   93.92
09:26:00 AM  all    1.98    0.00    2.72    0.00    0.00    2.97    0.00    0.00    0.00   92.33
09:26:01 AM  all    1.01    0.00    3.53    0.00    0.00    1.51    0.00    0.00    0.00   93.95
09:26:02 AM  all    1.96    0.00    4.90    0.00    0.00    1.72    0.00    0.00    0.00   91.42
09:26:03 AM  all    1.01    0.00    3.54    0.00    0.00    1.01    0.00    0.00    0.00   94.44
09:26:04 AM  all    1.50    0.00    4.24    0.00    0.00    1.75    0.00    0.00    0.00   92.52
09:26:05 AM  all    1.75    0.00    3.01    0.00    0.00    1.50    0.00    0.00    0.00   93.73
09:26:06 AM  all    1.27    0.00    3.29    0.00    0.00    1.52    0.00    0.00    0.00   93.92
09:26:07 AM  all    0.77    0.00    2.30    0.00    0.00    1.28    0.00    0.00    0.00   95.66
09:26:08 AM  all    0.76    0.00    3.80    0.00    0.00    1.27    0.00    0.00    0.00   94.18
09:26:09 AM  all    0.77    0.00    1.80    0.00    0.00    1.29    0.00    0.00    0.00   96.14
09:26:10 AM  all    1.00    0.00    4.51    0.00    0.00    1.50    0.00    0.00    0.00   92.98
09:26:11 AM  all    1.50    0.00    3.26    0.00    0.00    1.50    0.00    0.00    0.00   93.73
09:26:12 AM  all    1.50    0.00    2.76    0.00    0.00    2.51    0.00    0.00    0.00   93.23
09:26:13 AM  all    1.50    0.00    3.99    0.00    0.00    1.50    0.00    0.00    0.00   93.02
09:26:14 AM  all    1.72    0.00    5.42    0.00    0.00    0.99    0.00    0.00    0.00   91.87
09:26:15 AM  all    1.26    0.00    2.27    0.00    0.00    2.78    0.00    0.00    0.00   93.69
09:26:16 AM  all    1.24    0.00    4.46    0.00    0.00    1.73    0.00    0.00    0.00   92.57
09:26:17 AM  all    2.46    0.00    4.19    0.00    0.00    1.48    0.00    0.00    0.00   91.87
09:26:18 AM  all    0.51    0.00    1.29    0.00    0.00    2.06    0.00    0.00    0.00   96.14
09:26:19 AM  all    1.50    0.00    3.26    0.00    0.00    2.01    0.00    0.00    0.00   93.23
09:26:20 AM  all    0.76    0.00    3.28    0.00    0.00    2.02    0.00    0.00    0.00   93.94
09:26:21 AM  all    2.26    0.00    3.02    0.00    0.00    0.75    0.00    0.00    0.00   93.97
09:26:22 AM  all    1.02    0.00    2.81    0.00    0.00    1.53    0.00    0.00    0.00   94.64
09:26:23 AM  all    1.24    0.00    4.47    0.00    0.00    1.74    0.00    0.00    0.00   92.56
09:26:24 AM  all    1.02    0.00    2.29    0.00    0.00    1.53    0.00    0.00    0.00   95.17
09:26:25 AM  all    0.77    0.00    2.56    0.00    0.00    1.03    0.00    0.00    0.00   95.64
09:26:26 AM  all    1.52    0.00    3.54    0.00    0.00    1.01    0.00    0.00    0.00   93.92
09:26:27 AM  all    1.50    0.00    3.74    0.00    0.00    1.75    0.00    0.00    0.00   93.02
09:26:28 AM  all    1.25    0.00    3.01    0.00    0.00    1.75    0.00    0.00    0.00   93.98
09:26:29 AM  all    1.25    0.00    4.01    0.00    0.00    1.50    0.00    0.00    0.00   93.23
09:26:30 AM  all    1.01    0.00    3.28    0.00    0.00    1.77    0.00    0.00    0.00   93.94
09:26:31 AM  all    1.25    0.00    3.75    0.00    0.00    1.75    0.00    0.00    0.00   93.25
09:26:32 AM  all    1.50    0.00    3.99    0.00    0.00    1.50    0.00    0.00    0.00   93.02
09:26:33 AM  all    2.00    0.00    3.50    0.00    0.00    1.50    0.00    0.00    0.00   93.00
09:26:34 AM  all    1.50    0.00    3.24    0.00    0.00    2.00    0.00    0.00    0.00   93.27
09:26:35 AM  all    1.00    0.00    4.51    0.00    0.00    1.25    0.00    0.00    0.00   93.23
09:26:36 AM  all    1.26    0.00    2.77    0.00    0.00    2.02    0.00    0.00    0.00   93.95
09:26:37 AM  all    1.50    0.00    3.49    0.00    0.00    2.00    0.00    0.00    0.00   93.02
09:26:38 AM  all    1.75    0.00    3.75    0.00    0.00    1.25    0.00    0.00    0.00   93.25
09:26:39 AM  all    0.77    0.00    1.79    0.00    0.00    2.05    0.00    0.00    0.00   95.38
09:26:40 AM  all    1.50    0.00    3.24    0.00    0.00    2.00    0.00    0.00    0.00   93.27
09:26:41 AM  all    0.51    0.00    3.57    0.00    0.00    1.02    0.00    0.00    0.00   94.90
09:26:42 AM  all    1.00    0.00    3.99    0.00    0.00    1.75    0.00    0.00    0.00   93.27
09:26:43 AM  all    1.75    0.00    3.50    0.00    0.00    1.75    0.00    0.00    0.00   93.00
09:26:44 AM  all    0.51    0.00    2.55    0.00    0.00    1.53    0.00    0.00    0.00   95.41
09:26:45 AM  all    1.01    0.00    3.28    0.00    0.00    2.02    0.00    0.00    0.00   93.69
09:26:46 AM  all    1.25    0.00    4.01    0.00    0.00    1.00    0.00    0.00    0.00   93.73
09:26:47 AM  all    0.76    0.00    4.03    0.00    0.00    1.51    0.00    0.00    0.00   93.70
09:26:48 AM  all    1.02    0.00    2.30    0.00    0.00    1.53    0.00    0.00    0.00   95.14
09:26:49 AM  all    0.76    0.00    2.53    0.25    0.00    1.77    0.00    0.00    0.00   94.70
09:26:50 AM  all    1.26    0.00    4.02    0.00    0.00    1.51    0.00    0.00    0.00   93.22
09:26:51 AM  all    1.99    0.00    3.47    0.00    0.00    2.23    0.00    0.00    0.00   92.31
09:26:52 AM  all    1.26    0.00    2.77    0.00    0.00    1.51    0.00    0.00    0.00   94.46
09:26:53 AM  all    1.02    0.00    3.05    0.00    0.00    1.52    0.00    0.00    0.00   94.42
09:26:54 AM  all    1.23    0.00    4.44    0.00    0.00    2.22    0.00    0.00    0.00   92.10
09:26:55 AM  all    1.02    0.00    2.30    0.00    0.00    1.53    0.00    0.00    0.00   95.15
09:26:56 AM  all    3.17    0.00    4.88    0.00    0.00    0.98    0.00    0.00    0.00   90.98
09:26:57 AM  all    0.76    0.00    2.79    0.00    0.00    1.52    0.00    0.00    0.00   94.92
09:26:58 AM  all    0.75    0.00    3.02    0.00    0.00    2.76    0.00    0.00    0.00   93.47
09:26:59 AM  all    2.64    0.00    5.77    0.00    0.00    1.44    0.00    0.00    0.00   90.14
09:27:00 AM  all    1.26    0.00    3.54    0.00    0.00    1.26    0.00    0.00    0.00   93.94
09:27:01 AM  all    1.00    0.00    3.51    0.00    0.00    1.75    0.00    0.00    0.00   93.73
09:27:02 AM  all    0.51    0.00    3.29    0.00    0.00    2.03    0.00    0.00    0.00   94.18
09:27:03 AM  all    0.76    0.00    2.78    0.00    0.00    2.28    0.00    0.00    0.00   94.18
09:27:04 AM  all    1.52    0.00    2.28    0.00    0.00    1.02    0.00    0.00    0.00   95.18
09:27:05 AM  all    1.50    0.00    3.74    0.00    0.00    1.75    0.00    0.00    0.00   93.02
09:27:06 AM  all    1.02    0.00    3.05    0.00    0.00    0.76    0.00    0.00    0.00   95.17
09:27:07 AM  all    0.76    0.00    2.78    0.00    0.00    2.03    0.00    0.00    0.00   94.43
09:27:08 AM  all    0.76    0.00    3.78    0.00    0.00    1.51    0.00    0.00    0.00   93.95
09:27:09 AM  all    1.95    0.00    4.88    0.00    0.00    1.95    0.00    0.00    0.00   91.22
09:27:10 AM  all    2.00    0.00    3.99    0.00    0.00    1.25    0.00    0.00    0.00   92.77
09:27:11 AM  all    1.01    0.00    2.53    0.00    0.00    1.77    0.00    0.00    0.00   94.68
09:27:12 AM  all    1.50    0.00    3.50    0.00    0.00    1.50    0.00    0.00    0.00   93.50
09:27:13 AM  all    0.77    0.00    2.06    0.00    0.00    1.29    0.00    0.00    0.00   95.89
09:27:14 AM  all    1.01    0.00    4.02    0.00    0.00    1.26    0.00    0.00    0.00   93.72
09:27:15 AM  all    2.00    0.00    2.75    0.00    0.00    2.00    0.00    0.00    0.00   93.25
09:27:16 AM  all    1.02    0.00    2.80    0.00    0.00    1.02    0.00    0.00    0.00   95.17
09:27:17 AM  all    1.51    0.00    3.02    0.00    0.00    1.51    0.00    0.00    0.00   93.95
09:27:18 AM  all    1.25    0.00    3.25    0.00    0.00    2.00    0.00    0.00    0.00   93.50
09:27:19 AM  all    1.26    0.00    3.53    0.00    0.00    1.51    0.00    0.00    0.00   93.70
09:27:20 AM  all    0.51    0.00    3.30    0.00    0.00    1.27    0.00    0.00    0.00   94.92
09:27:21 AM  all    1.01    0.00    3.28    0.00    0.00    1.77    0.00    0.00    0.00   93.94
09:27:22 AM  all    1.50    0.00    3.50    0.00    0.00    1.25    0.00    0.00    0.00   93.75
09:27:23 AM  all    1.24    0.00    4.96    0.00    0.00    1.49    0.00    0.00    0.00   92.31
09:27:24 AM  all    1.01    0.00    2.78    0.00    0.00    1.77    0.00    0.00    0.00   94.44
09:27:25 AM  all    2.23    0.00    4.46    0.00    0.00    1.24    0.00    0.00    0.00   92.08
09:27:26 AM  all    2.46    0.00    4.91    0.00    0.00    0.74    0.00    0.00    0.00   91.89
09:27:27 AM  all    2.02    0.00    2.27    0.00    0.00    1.51    0.00    0.00    0.00   94.21
09:27:28 AM  all    1.25    0.00    3.75    0.00    0.00    1.75    0.00    0.00    0.00   93.25
09:27:29 AM  all    1.51    0.00    2.77    0.00    0.00    1.76    0.00    0.00    0.00   93.95
09:27:30 AM  all    1.27    0.00    3.29    0.00    0.00    1.01    0.00    0.00    0.00   94.43
09:27:31 AM  all    0.77    0.00    2.05    0.00    0.00    1.79    0.00    0.00    0.00   95.40
