Linux 5.15.0-186-generic (iZl4v62o0lx0evsjrew1p2Z) 	08/04/2026 	_x86_64_	(4 CPU)

07:20:06 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:20:07 AM  all    1.27    0.00    5.34    0.00    0.00    2.80    0.00    0.00    0.00   90.59
07:20:08 AM  all    0.00    0.00    2.77    0.00    0.00    1.51    0.00    0.00    0.00   95.72
07:20:09 AM  all    0.00    0.00    2.51    0.00    0.00    3.52    0.00    0.00    0.00   93.97
07:20:10 AM  all    0.00    0.00    3.27    0.00    0.00    2.27    0.00    0.00    0.00   94.46
07:20:11 AM  all    0.00    0.00    2.51    0.00    0.00    3.76    0.00    0.00    0.00   93.73
07:20:12 AM  all    0.00    0.00    3.25    0.00    0.00    3.25    0.00    0.00    0.00   93.50
07:20:13 AM  all    0.00    0.00    3.26    0.00    0.00    2.51    0.00    0.00    0.00   94.24
07:20:14 AM  all    0.00    0.00    2.04    0.00    0.00    3.05    0.00    0.00    0.00   94.91
07:20:15 AM  all    0.00    0.00    1.75    0.00    0.00    4.26    0.00    0.00    0.00   93.98
07:20:16 AM  all    0.00    0.00    2.99    0.00    0.00    3.48    0.00    0.00    0.00   93.53
07:20:17 AM  all    0.25    0.00    3.25    0.00    0.00    3.25    0.00    0.00    0.00   93.25
07:20:18 AM  all    0.00    0.00    2.49    0.00    0.00    3.99    0.00    0.00    0.00   93.52
07:20:19 AM  all    0.00    0.00    2.99    0.00    0.00    3.74    0.00    0.00    0.00   93.27
07:20:20 AM  all    0.00    0.00    3.00    0.00    0.00    3.50    0.00    0.00    0.00   93.50
07:20:21 AM  all    0.00    0.00    2.51    0.00    0.00    3.77    0.00    0.00    0.00   93.72
07:20:22 AM  all    0.00    0.00    2.76    0.00    0.00    3.27    0.00    0.00    0.00   93.97
07:20:23 AM  all    0.25    0.00    3.25    0.00    0.00    2.75    0.00    0.00    0.00   93.75
07:20:24 AM  all    0.00    0.00    2.76    0.00    0.00    3.27    0.00    0.00    0.00   93.97
07:20:25 AM  all    0.00    0.00    2.01    0.00    0.00    4.01    0.00    0.00    0.00   93.98
07:20:26 AM  all    0.25    0.00    2.28    0.00    0.00    2.28    0.00    0.00    0.00   95.18
07:20:27 AM  all    0.00    0.00    2.76    0.00    0.00    3.76    0.00    0.00    0.00   93.48
07:20:28 AM  all    0.00    0.00    2.78    0.00    0.00    2.78    0.00    0.00    0.00   94.44
07:20:29 AM  all    0.25    0.00    2.52    0.00    0.00    3.27    0.00    0.00    0.00   93.95
07:20:30 AM  all    0.00    0.00    2.04    0.00    0.00    2.54    0.00    0.00    0.00   95.42
07:20:31 AM  all    0.00    0.00    3.01    0.00    0.00    3.01    0.00    0.00    0.00   93.98
07:20:32 AM  all    0.00    0.00    2.76    0.00    0.00    3.51    0.00    0.00    0.00   93.73
07:20:33 AM  all    0.00    0.00    3.24    0.00    0.00    3.49    0.00    0.00    0.00   93.27
07:20:34 AM  all    0.25    0.00    2.28    0.00    0.00    2.78    0.00    0.00    0.00   94.68
07:20:35 AM  all    0.25    0.00    2.75    0.00    0.00    3.25    0.00    0.00    0.00   93.75
07:20:36 AM  all    0.00    0.00    2.28    0.25    0.00    3.05    0.00    0.00    0.00   94.42
07:20:37 AM  all    0.00    0.00    2.26    0.00    0.00    3.77    0.00    0.00    0.00   93.97
07:20:38 AM  all    0.00    0.00    2.99    0.00    0.00    3.49    0.00    0.00    0.00   93.52
07:20:39 AM  all    0.00    0.00    2.53    0.00    0.00    2.78    0.00    0.00    0.00   94.70
07:20:40 AM  all    0.00    0.00    2.74    0.00    0.00    3.99    0.00    0.00    0.00   93.27
07:20:41 AM  all    0.00    0.00    2.02    0.25    0.00    3.27    0.00    0.00    0.00   94.46
07:20:42 AM  all    0.00    0.00    2.78    0.00    0.00    3.04    0.00    0.00    0.00   94.18
07:20:43 AM  all    0.00    0.00    2.76    0.00    0.00    2.76    0.00    0.00    0.00   94.47
07:20:44 AM  all    0.00    0.00    2.50    0.00    0.00    3.50    0.00    0.00    0.00   94.00
07:20:45 AM  all    0.25    0.00    3.02    0.00    0.00    2.77    0.00    0.00    0.00   93.95
07:20:46 AM  all    0.00    0.00    3.01    0.00    0.00    3.01    0.00    0.00    0.00   93.98
07:20:47 AM  all    0.00    0.00    2.76    0.00    0.00    3.51    0.00    0.00    0.00   93.73
07:20:48 AM  all    0.00    0.00    2.53    0.00    0.00    3.03    0.00    0.00    0.00   94.44
07:20:49 AM  all    0.25    0.00    2.28    0.00    0.00    2.28    0.00    0.00    0.00   95.18
