Linux 5.15.0-186-generic (iZl4v62o0lx0evsjrew1p2Z) 	08/04/2026 	_x86_64_	(4 CPU)

10:49:42 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:49:43 AM  all    0.25    0.00    3.79    0.00    0.00    3.28    0.00    0.00    0.00   92.68
10:49:44 AM  all    0.00    0.00    3.53    0.00    0.00    3.78    0.00    0.00    0.00   92.70
10:49:45 AM  all    0.25    0.00    3.30    0.00    0.00    3.05    0.00    0.00    0.00   93.40
10:49:46 AM  all    0.50    0.00    3.76    0.00    0.00    3.51    0.00    0.00    0.00   92.23
10:49:47 AM  all    0.00    0.00    3.75    0.00    0.00    4.50    0.00    0.00    0.00   91.75
10:49:48 AM  all    0.00    0.00    3.54    0.00    0.00    3.29    0.00    0.00    0.00   93.16
10:49:49 AM  all    0.25    0.00    3.05    0.00    0.00    3.30    0.00    0.00    0.00   93.40
10:49:50 AM  all    0.25    0.00    3.01    0.00    0.00    4.76    0.00    0.00    0.00   91.98
10:49:51 AM  all    0.00    0.00    3.80    0.00    0.00    2.78    0.00    0.00    0.00   93.42
10:49:52 AM  all    0.25    0.00    4.25    0.00    0.00    4.00    0.00    0.00    0.00   91.50
10:49:53 AM  all    0.00    0.00    3.79    0.00    0.00    3.54    0.00    0.00    0.00   92.68
10:49:54 AM  all    0.00    0.00    4.03    0.00    0.00    3.02    0.00    0.00    0.00   92.95
10:49:55 AM  all    0.00    0.00    4.23    0.00    0.00    4.23    0.00    0.00    0.00   91.54
10:49:56 AM  all    0.00    0.00    3.28    0.00    0.00    4.04    0.00    0.00    0.00   92.68
10:49:57 AM  all    0.00    0.00    3.28    0.00    0.00    4.04    0.00    0.00    0.00   92.68
10:49:58 AM  all    0.00    0.00    3.50    0.00    0.00    4.50    0.00    0.00    0.00   92.00
10:49:59 AM  all    0.25    0.00    3.28    0.00    0.00    3.54    0.00    0.00    0.00   92.93
10:50:00 AM  all    0.00    0.00    4.01    0.00    0.00    3.76    0.00    0.00    0.00   92.23
10:50:01 AM  all    0.25    0.00    3.79    0.00    0.00    3.03    0.00    0.00    0.00   92.93
10:50:02 AM  all    0.25    0.00    4.00    0.00    0.00    4.00    0.00    0.00    0.00   91.75
10:50:03 AM  all    0.25    0.00    3.04    0.00    0.00    4.05    0.00    0.00    0.00   92.66
10:50:04 AM  all    0.25    0.00    3.47    0.00    0.00    4.47    0.00    0.00    0.00   91.81
10:50:05 AM  all    0.00    0.00    3.76    0.00    0.00    4.01    0.00    0.00    0.00   92.23
10:50:06 AM  all    0.25    0.00    3.51    0.00    0.00    3.76    0.00    0.00    0.00   92.48
10:50:07 AM  all    0.25    0.00    3.54    0.00    0.00    3.54    0.00    0.00    0.00   92.66
10:50:08 AM  all    0.25    0.00    4.04    0.00    0.00    3.03    0.00    0.00    0.00   92.68
10:50:09 AM  all    0.00    0.00    2.51    0.00    0.00    5.03    0.00    0.00    0.00   92.46
10:50:10 AM  all    0.00    0.00    5.00    0.00    0.00    3.25    0.00    0.00    0.00   91.75
10:50:11 AM  all    0.00    0.00    4.02    0.00    0.00    3.27    0.00    0.00    0.00   92.71
10:50:12 AM  all    0.00    0.00    3.27    0.00    0.00    4.52    0.00    0.00    0.00   92.21
10:50:13 AM  all    0.00    0.00    3.01    0.00    0.00    4.76    0.00    0.00    0.00   92.23
10:50:14 AM  all    0.00    0.00    4.00    0.00    0.00    4.00    0.00    0.00    0.00   92.00
10:50:15 AM  all    0.25    0.00    3.30    0.00    0.00    3.05    0.00    0.00    0.00   93.40
10:50:16 AM  all    0.00    0.00    4.28    0.00    0.00    3.27    0.00    0.00    0.00   92.44
10:50:17 AM  all    0.00    0.00    2.30    0.00    0.00    4.09    0.00    0.00    0.00   93.61
10:50:18 AM  all    0.98    0.00    4.91    0.00    0.00    3.93    0.00    0.00    0.00   90.17
10:50:19 AM  all    0.00    0.00    4.01    0.00    0.00    4.01    0.00    0.00    0.00   91.98
10:50:20 AM  all    0.25    0.00    3.53    0.00    0.00    3.78    0.00    0.00    0.00   92.44
10:50:21 AM  all    0.00    0.00    4.00    0.00    0.00    3.75    0.00    0.00    0.00   92.25
10:50:22 AM  all    0.26    0.00    2.56    0.00    0.00    2.81    0.00    0.00    0.00   94.37
10:50:23 AM  all    0.51    0.00    3.29    0.00    0.00    3.04    0.00    0.00    0.00   93.16
10:50:24 AM  all    0.00    0.00    4.76    0.00    0.00    3.26    0.00    0.00    0.00   91.98
10:50:25 AM  all    0.00    0.00    3.81    0.00    0.00    3.05    0.00    0.00    0.00   93.15
10:50:26 AM  all    0.25    0.00    3.75    0.00    0.00    3.75    0.00    0.00    0.00   92.25
10:50:27 AM  all    0.00    0.00    3.79    0.00    0.00    3.28    0.00    0.00    0.00   92.93
10:50:28 AM  all    0.25    0.00    4.02    0.00    0.00    3.52    0.00    0.00    0.00   92.21
10:50:29 AM  all    0.25    0.00    3.53    0.00    0.00    3.78    0.00    0.00    0.00   92.44
10:50:30 AM  all    0.00    0.00    3.28    0.00    0.00    3.79    0.00    0.00    0.00   92.93
10:50:31 AM  all    0.00    0.00    2.05    0.00    0.00    3.59    0.00    0.00    0.00   94.36
10:50:32 AM  all    0.00    0.00    2.57    0.00    0.00    2.57    0.00    0.00    0.00   94.86
10:50:33 AM  all    0.00    0.00    3.08    0.00    0.00    3.08    0.00    0.00    0.00   93.85
10:50:34 AM  all    0.00    0.00    3.79    0.00    0.00    3.54    0.00    0.00    0.00   92.68
10:50:35 AM  all    0.25    0.00    3.56    0.00    0.00    2.54    0.00    0.00    0.00   93.64
10:50:36 AM  all    0.00    0.00    3.29    0.00    0.00    3.29    0.00    0.00    0.00   93.42
10:50:37 AM  all    0.00    0.00    4.28    0.00    0.00    3.27    0.00    0.00    0.00   92.44
10:50:38 AM  all    0.25    0.00    3.54    0.00    0.00    3.04    0.00    0.00    0.00   93.16
10:50:39 AM  all    0.00    0.00    4.46    0.00    0.00    4.46    0.00    0.00    0.00   91.09
10:50:40 AM  all    0.25    0.00    3.54    0.00    0.00    3.28    0.00    0.00    0.00   92.93
10:50:41 AM  all    0.00    0.00    4.28    0.00    0.00    3.27    0.00    0.00    0.00   92.44
10:50:42 AM  all    0.00    0.00    3.77    0.00    0.00    3.77    0.00    0.00    0.00   92.46
10:50:43 AM  all    0.00    0.00    4.02    0.00    0.00    3.52    0.00    0.00    0.00   92.46
10:50:44 AM  all    0.25    0.00    4.46    0.00    0.00    4.46    0.00    0.00    0.00   90.84
10:50:45 AM  all    0.25    0.00    3.55    0.00    0.00    2.79    0.00    0.00    0.00   93.40
10:50:46 AM  all    0.00    0.00    2.79    0.00    0.00    3.55    0.00    0.00    0.00   93.65
10:50:47 AM  all    0.25    0.00    4.02    0.00    0.00    3.52    0.00    0.00    0.00   92.21
10:50:48 AM  all    0.00    0.00    3.31    0.00    0.00    3.05    0.00    0.00    0.00   93.64
10:50:49 AM  all    0.00    0.00    3.78    0.00    0.00    3.78    0.00    0.00    0.00   92.44
10:50:50 AM  all    0.25    0.00    2.79    0.00    0.00    3.30    0.00    0.00    0.00   93.65
10:50:51 AM  all    0.26    0.00    2.82    0.00    0.00    3.33    0.00    0.00    0.00   93.59
10:50:52 AM  all    0.25    0.00    2.79    0.00    0.00    3.30    0.00    0.00    0.00   93.65
10:50:53 AM  all    0.00    0.00    3.82    0.00    0.00    2.80    0.00    0.00    0.00   93.38
10:50:54 AM  all    0.00    0.00    4.26    0.00    0.00    3.51    0.00    0.00    0.00   92.23
10:50:55 AM  all    0.00    0.00    3.06    0.00    0.00    3.06    0.00    0.00    0.00   93.88
10:50:56 AM  all    0.00    0.00    2.57    0.00    0.00    3.08    0.00    0.00    0.00   94.34
10:50:57 AM  all    0.00    0.00    3.05    0.00    0.00    3.31    0.00    0.00    0.00   93.64
10:50:58 AM  all    0.00    0.00    3.54    0.00    0.00    3.54    0.00    0.00    0.00   92.93
10:50:59 AM  all    0.25    0.00    3.03    0.00    0.00    4.04    0.00    0.00    0.00   92.68
10:51:00 AM  all    0.00    0.00    3.08    0.00    0.00    2.56    0.00    0.00    0.00   94.36
10:51:01 AM  all    0.25    0.00    4.01    0.00    0.00    3.51    0.00    0.00    0.00   92.23
10:51:02 AM  all    0.00    0.00    2.81    0.00    0.00    3.32    0.00    0.00    0.00   93.86
10:51:03 AM  all    0.00    0.00    3.50    0.00    0.00    4.50    0.00    0.00    0.00   92.00
10:51:04 AM  all    0.00    0.00    3.28    0.00    0.00    4.04    0.00    0.00    0.00   92.68
10:51:05 AM  all    0.25    0.00    4.91    0.00    0.00    4.18    0.00    0.00    0.00   90.66
10:51:06 AM  all    0.00    0.00    3.30    0.00    0.00    3.05    0.00    0.00    0.00   93.65
10:51:07 AM  all    0.00    0.00    4.00    0.00    0.00    4.25    0.00    0.00    0.00   91.75
10:51:08 AM  all    0.25    0.00    3.75    0.00    0.00    4.00    0.00    0.00    0.00   92.00
10:51:09 AM  all    0.00    0.00    3.78    0.00    0.00    3.78    0.00    0.00    0.00   92.44
10:51:10 AM  all    0.25    0.00    3.47    0.00    0.00    5.20    0.00    0.00    0.00   91.09
10:51:11 AM  all    0.25    0.00    4.04    0.00    0.00    3.03    0.00    0.00    0.00   92.68
10:51:12 AM  all    0.00    0.00    3.52    0.00    0.00    3.77    0.00    0.00    0.00   92.71
10:51:13 AM  all    0.00    0.00    3.51    0.00    0.00    4.51    0.00    0.00    0.00   91.98
10:51:14 AM  all    0.25    0.00    3.81    0.00    0.00    2.79    0.00    0.00    0.00   93.15
10:51:15 AM  all    0.00    0.00    2.80    0.00    0.00    3.56    0.00    0.00    0.00   93.64
10:51:16 AM  all    0.00    0.00    4.46    0.00    0.00    4.46    0.00    0.00    0.00   91.09
10:51:17 AM  all    0.25    0.00    3.31    0.00    0.00    3.05    0.00    0.00    0.00   93.38
10:51:18 AM  all    0.25    0.00    4.28    0.00    0.00    2.77    0.00    0.00    0.00   92.70
10:51:19 AM  all    0.00    0.00    3.53    0.00    0.00    3.78    0.00    0.00    0.00   92.70
10:51:20 AM  all    0.00    0.00    3.30    0.00    0.00    3.30    0.00    0.00    0.00   93.40
10:51:21 AM  all    0.00    0.00    4.08    0.00    0.00    2.30    0.00    0.00    0.00   93.62
10:51:22 AM  all    0.25    0.00    3.79    0.00    0.00    3.28    0.00    0.00    0.00   92.68
10:51:23 AM  all    0.25    0.00    3.54    0.00    0.00    3.28    0.00    0.00    0.00   92.93
10:51:24 AM  all    0.00    0.00    5.26    0.00    0.00    2.76    0.00    0.00    0.00   91.98
10:51:25 AM  all    0.25    0.00    3.79    0.00    0.00    2.78    0.00    0.00    0.00   93.18
10:51:26 AM  all    0.00    0.00    4.30    0.00    0.00    2.78    0.00    0.00    0.00   92.91
10:51:27 AM  all    0.00    0.00    4.52    0.00    0.00    3.02    0.00    0.00    0.00   92.46
10:51:28 AM  all    0.25    0.00    3.55    0.00    0.00    2.79    0.00    0.00    0.00   93.40
10:51:29 AM  all    0.00    0.00    3.04    0.00    0.00    3.54    0.00    0.00    0.00   93.42
10:51:30 AM  all    0.00    0.00    3.56    0.00    0.00    2.80    0.00    0.00    0.00   93.64
10:51:31 AM  all    0.25    0.00    3.79    0.00    0.00    3.03    0.00    0.00    0.00   92.93
10:51:32 AM  all    0.25    0.00    4.76    0.00    0.00    3.01    0.00    0.00    0.00   91.98
10:51:33 AM  all    0.00    0.00    4.50    0.00    0.00    3.50    0.00    0.00    0.00   92.00
10:51:34 AM  all    0.26    0.00    3.08    0.00    0.00    2.56    0.00    0.00    0.00   94.10
10:51:35 AM  all    0.00    0.00    5.04    0.00    0.00    2.27    0.00    0.00    0.00   92.70
10:51:36 AM  all    0.00    0.00    2.82    0.00    0.00    2.82    0.00    0.00    0.00   94.36
10:51:37 AM  all    0.25    0.00    3.52    0.00    0.00    3.52    0.00    0.00    0.00   92.71
10:51:38 AM  all    0.00    0.00    4.59    0.00    0.00    1.79    0.00    0.00    0.00   93.62
10:51:39 AM  all    0.00    0.00    4.28    0.00    0.00    3.27    0.00    0.00    0.00   92.44
10:51:40 AM  all    0.26    0.00    3.08    0.00    0.00    2.56    0.00    0.00    0.00   94.10
10:51:41 AM  all    0.00    0.00    3.79    0.00    0.00    3.28    0.00    0.00    0.00   92.93
10:51:42 AM  all    0.00    0.00    2.85    0.00    0.00    2.07    0.00    0.00    0.00   95.08
10:51:43 AM  all    0.76    0.00    3.27    0.00    0.00    3.27    0.00    0.00    0.00   92.70
10:51:44 AM  all    0.00    0.00    4.26    0.00    0.00    3.51    0.00    0.00    0.00   92.23
10:51:45 AM  all    0.25    0.00    4.26    0.00    0.00    3.26    0.00    0.00    0.00   92.23
10:51:46 AM  all    0.25    0.00    4.29    0.00    0.00    2.78    0.00    0.00    0.00   92.68
10:51:47 AM  all    0.00    0.00    3.31    0.00    0.00    3.05    0.00    0.00    0.00   93.64
10:51:48 AM  all    0.25    0.00    4.98    0.00    0.00    3.23    0.00    0.00    0.00   91.54
10:51:49 AM  all    0.00    0.00    4.06    0.00    0.00    2.79    0.00    0.00    0.00   93.15
10:51:50 AM  all    0.00    0.00    3.06    0.00    0.00    3.06    0.00    0.00    0.00   93.88
10:51:51 AM  all    0.00    0.00    3.54    0.00    0.00    3.29    0.00    0.00    0.00   93.16
10:51:52 AM  all    0.00    0.00    5.03    0.00    0.00    2.51    0.00    0.00    0.00   92.46
10:51:53 AM  all    0.25    0.00    3.80    0.00    0.00    3.04    0.00    0.00    0.00   92.91
10:51:54 AM  all    0.00    0.00    2.84    0.00    0.00    2.33    0.00    0.00    0.00   94.83
10:51:55 AM  all    0.00    0.00    3.06    0.00    0.00    3.06    0.00    0.00    0.00   93.88
10:51:56 AM  all    0.00    0.00    3.27    0.00    0.00    2.77    0.00    0.00    0.00   93.95
10:51:57 AM  all    0.25    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   99.50
10:51:58 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:51:59 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
10:52:00 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:52:01 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:52:02 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:52:03 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:52:04 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:52:05 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:52:06 AM  all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
