Linux 5.15.0-186-generic (iZl4v62o0lx0evsjrew1p2Z) 	08/04/2026 	_x86_64_	(4 CPU)

09:40:34 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:40:35 AM  all    1.52    0.00    3.28    0.00    0.00    1.26    0.00    0.00    0.00   93.94
09:40:36 AM  all    2.02    0.00    2.52    0.00    0.00    1.26    0.00    0.00    0.00   94.21
09:40:37 AM  all    2.02    0.00    3.02    0.00    0.00    1.26    0.00    0.00    0.00   93.70
09:40:38 AM  all    0.76    0.00    2.78    0.00    0.00    1.77    0.00    0.00    0.00   94.68
09:40:39 AM  all    0.51    0.00    3.29    0.00    0.00    1.52    0.00    0.00    0.00   94.68
09:40:40 AM  all    1.01    0.00    3.52    0.00    0.00    1.51    0.00    0.00    0.00   93.97
09:40:41 AM  all    1.27    0.00    2.28    0.00    0.00    1.77    0.00    0.00    0.00   94.68
09:40:42 AM  all    1.50    0.00    3.25    0.00    0.00    2.25    0.00    0.00    0.00   93.00
09:40:43 AM  all    0.77    0.00    2.56    0.00    0.00    1.03    0.00    0.00    0.00   95.64
09:40:44 AM  all    1.48    0.00    3.70    0.00    0.00    2.47    0.00    0.00    0.00   92.35
09:40:45 AM  all    0.75    0.00    3.50    0.00    0.00    2.00    0.00    0.00    0.00   93.75
09:40:46 AM  all    1.01    0.00    4.02    0.00    0.00    1.76    0.00    0.00    0.00   93.22
09:40:47 AM  all    1.27    0.00    2.78    0.00    0.00    1.27    0.00    0.00    0.00   94.68
09:40:48 AM  all    1.01    0.00    3.04    0.00    0.00    1.52    0.00    0.00    0.00   94.43
09:40:49 AM  all    1.26    0.00    3.78    0.00    0.00    0.76    0.00    0.00    0.00   94.21
09:40:50 AM  all    1.51    0.00    3.27    0.00    0.00    1.01    0.00    0.00    0.00   94.21
09:40:51 AM  all    1.26    0.00    3.52    0.00    0.00    1.26    0.00    0.00    0.00   93.97
09:40:52 AM  all    1.26    0.00    2.77    0.00    0.00    2.02    0.00    0.00    0.00   93.95
09:40:53 AM  all    1.26    0.00    3.02    0.00    0.00    1.76    0.00    0.00    0.00   93.95
09:40:54 AM  all    1.99    0.00    3.72    0.00    0.00    1.74    0.00    0.00    0.00   92.56
09:40:55 AM  all    1.02    0.00    2.79    0.00    0.00    1.52    0.00    0.00    0.00   94.67
09:40:56 AM  all    1.50    0.00    3.50    0.00    0.00    1.25    0.00    0.00    0.00   93.75
09:40:57 AM  all    1.53    0.00    2.29    0.00    0.00    1.53    0.00    0.00    0.00   94.66
09:40:58 AM  all    0.76    0.00    3.05    0.00    0.00    0.76    0.00    0.00    0.00   95.42
09:40:59 AM  all    1.52    0.00    3.03    0.00    0.00    1.26    0.00    0.00    0.00   94.19
09:41:00 AM  all    1.26    0.00    3.52    0.00    0.00    1.26    0.00    0.00    0.00   93.97
09:41:01 AM  all    1.99    0.00    3.97    0.00    0.00    1.24    0.00    0.00    0.00   92.80
09:41:02 AM  all    0.51    0.00    3.05    0.00    0.00    1.27    0.00    0.00    0.00   95.17
09:41:03 AM  all    1.00    0.00    4.25    0.00    0.00    1.75    0.00    0.00    0.00   93.00
09:41:04 AM  all    1.74    0.00    3.97    0.00    0.00    1.24    0.00    0.00    0.00   93.05
09:41:05 AM  all    0.51    0.00    3.05    0.00    0.00    1.27    0.00    0.00    0.00   95.18
09:41:06 AM  all    1.52    0.00    3.04    0.00    0.00    0.76    0.00    0.00    0.00   94.68
09:41:07 AM  all    0.75    0.00    3.77    0.00    0.00    2.26    0.00    0.00    0.00   93.22
09:41:08 AM  all    1.75    0.00    3.24    0.00    0.00    1.50    0.00    0.00    0.00   93.52
09:41:09 AM  all    1.98    0.00    3.96    0.00    0.00    1.49    0.00    0.00    0.00   92.57
09:41:10 AM  all    1.48    0.00    5.43    0.00    0.00    0.99    0.00    0.00    0.00   92.10
09:41:11 AM  all    2.23    0.00    3.71    0.00    0.00    1.49    0.00    0.00    0.00   92.57
09:41:12 AM  all    0.99    0.00    5.93    0.00    0.00    0.99    0.00    0.00    0.00   92.10
09:41:13 AM  all    1.50    0.00    3.25    0.00    0.00    1.50    0.00    0.00    0.00   93.75
09:41:14 AM  all    1.51    0.00    3.27    0.00    0.00    1.26    0.00    0.00    0.00   93.95
09:41:15 AM  all    2.24    0.00    2.99    0.00    0.00    1.50    0.00    0.00    0.00   93.27
09:41:16 AM  all    1.49    0.00    3.97    0.00    0.00    1.49    0.00    0.00    0.00   93.05
09:41:17 AM  all    1.52    0.00    2.79    0.00    0.00    1.02    0.00    0.00    0.00   94.67
09:41:18 AM  all    0.51    0.00    2.55    0.00    0.00    1.53    0.00    0.00    0.00   95.41
09:41:19 AM  all    1.52    0.00    2.53    0.00    0.00    1.77    0.00    0.00    0.00   94.19
09:41:20 AM  all    1.26    0.00    2.76    0.00    0.00    2.01    0.00    0.00    0.00   93.97
09:41:21 AM  all    1.25    0.00    3.75    0.00    0.00    1.50    0.00    0.00    0.00   93.50
09:41:22 AM  all    0.76    0.00    3.05    0.00    0.00    1.78    0.00    0.00    0.00   94.42
09:41:23 AM  all    1.75    0.00    2.75    0.00    0.00    1.75    0.00    0.00    0.00   93.75
09:41:24 AM  all    1.47    0.00    5.13    0.00    0.00    2.20    0.00    0.00    0.00   91.20
09:41:25 AM  all    1.01    0.00    2.78    0.00    0.00    2.02    0.00    0.00    0.00   94.19
09:41:26 AM  all    1.02    0.00    2.30    0.00    0.00    1.53    0.00    0.00    0.00   95.14
09:41:27 AM  all    2.00    0.00    3.24    0.00    0.00    1.25    0.00    0.00    0.00   93.52
09:41:28 AM  all    1.25    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   93.75
09:41:29 AM  all    1.01    0.00    4.02    0.00    0.00    1.51    0.00    0.00    0.00   93.47
09:41:30 AM  all    1.75    0.00    2.76    0.00    0.00    1.50    0.00    0.00    0.00   93.98
09:41:31 AM  all    1.74    0.00    2.98    0.00    0.00    2.48    0.00    0.00    0.00   92.80
09:41:32 AM  all    1.77    0.00    2.78    0.00    0.00    1.27    0.00    0.00    0.00   94.18
09:41:33 AM  all    1.25    0.00    3.25    0.00    0.00    2.00    0.00    0.00    0.00   93.50
09:41:34 AM  all    1.72    0.00    4.19    0.00    0.00    1.97    0.00    0.00    0.00   92.12
09:41:35 AM  all    1.76    0.00    3.02    0.00    0.00    1.51    0.00    0.00    0.00   93.70
09:41:36 AM  all    0.99    0.00    4.22    0.00    0.00    1.74    0.00    0.00    0.00   93.05
09:41:37 AM  all    1.53    0.00    2.54    0.00    0.00    0.76    0.00    0.00    0.00   95.17
09:41:38 AM  all    1.01    0.00    3.27    0.00    0.00    1.51    0.00    0.00    0.00   94.22
09:41:39 AM  all    1.26    0.00    3.77    0.00    0.00    1.51    0.00    0.00    0.00   93.47
09:41:40 AM  all    0.76    0.00    3.05    0.25    0.00    1.02    0.00    0.00    0.00   94.91
09:41:41 AM  all    0.52    0.00    1.81    0.00    0.00    0.78    0.00    0.00    0.00   96.89
09:41:42 AM  all    1.75    0.00    3.25    0.00    0.00    1.50    0.00    0.00    0.00   93.50
09:41:43 AM  all    0.51    0.00    3.30    0.00    0.00    1.27    0.00    0.00    0.00   94.92
09:41:44 AM  all    1.52    0.00    2.79    0.00    0.00    1.02    0.00    0.00    0.00   94.67
09:41:45 AM  all    0.50    0.00    4.28    0.00    0.00    1.51    0.00    0.00    0.00   93.70
09:41:46 AM  all    1.48    0.00    4.44    0.00    0.00    1.48    0.00    0.00    0.00   92.59
09:41:47 AM  all    1.00    0.00    4.01    0.00    0.00    1.50    0.00    0.00    0.00   93.48
09:41:48 AM  all    1.24    0.00    4.21    0.00    0.00    1.98    0.00    0.00    0.00   92.57
09:41:49 AM  all    1.51    0.00    2.76    0.00    0.00    2.01    0.00    0.00    0.00   93.72
09:41:50 AM  all    0.76    0.00    3.28    0.00    0.00    1.52    0.00    0.00    0.00   94.44
09:41:51 AM  all    1.26    0.00    2.78    0.00    0.00    1.52    0.00    0.00    0.00   94.44
09:41:52 AM  all    1.00    0.00    4.01    0.00    0.00    1.25    0.00    0.00    0.00   93.73
09:41:53 AM  all    0.74    0.00    4.93    0.00    0.00    2.46    0.00    0.00    0.00   91.87
09:41:54 AM  all    1.26    0.00    3.54    0.00    0.00    1.01    0.00    0.00    0.00   94.19
09:41:55 AM  all    1.00    0.00    3.50    0.00    0.00    2.00    0.00    0.00    0.00   93.50
09:41:56 AM  all    2.25    0.00    2.50    0.00    0.00    2.00    0.00    0.00    0.00   93.25
09:41:57 AM  all    1.51    0.00    2.77    0.00    0.00    1.26    0.00    0.00    0.00   94.46
09:41:58 AM  all    1.25    0.00    3.51    0.00    0.00    1.75    0.00    0.00    0.00   93.48
09:41:59 AM  all    2.23    0.00    3.96    0.00    0.00    1.49    0.00    0.00    0.00   92.33
09:42:00 AM  all    1.00    0.00    3.25    0.00    0.00    2.00    0.00    0.00    0.00   93.75
09:42:01 AM  all    1.26    0.00    2.27    0.00    0.00    2.27    0.00    0.00    0.00   94.19
09:42:02 AM  all    2.01    0.00    3.02    0.00    0.00    1.01    0.00    0.00    0.00   93.97
09:42:03 AM  all    0.77    0.00    2.30    0.00    0.00    1.53    0.00    0.00    0.00   95.41
09:42:04 AM  all    1.53    0.00    2.29    0.00    0.00    1.27    0.00    0.00    0.00   94.91
09:42:05 AM  all    0.76    0.00    3.31    0.00    0.00    1.02    0.00    0.00    0.00   94.91
09:42:06 AM  all    1.01    0.00    2.53    0.00    0.00    1.77    0.00    0.00    0.00   94.68
09:42:07 AM  all    1.02    0.00    2.54    0.00    0.00    1.02    0.00    0.00    0.00   95.42
09:42:08 AM  all    1.01    0.00    2.78    0.00    0.00    2.02    0.00    0.00    0.00   94.19
09:42:09 AM  all    0.52    0.00    2.06    0.00    0.00    1.29    0.00    0.00    0.00   96.13
09:42:10 AM  all    1.49    0.00    3.48    0.00    0.00    1.74    0.00    0.00    0.00   93.28
09:42:11 AM  all    1.01    0.00    3.54    0.00    0.00    1.52    0.00    0.00    0.00   93.94
09:42:12 AM  all    1.01    0.00    3.03    0.00    0.00    1.52    0.00    0.00    0.00   94.44
09:42:13 AM  all    0.51    0.00    2.55    0.00    0.00    1.53    0.00    0.00    0.00   95.41
09:42:14 AM  all    1.98    0.00    3.95    0.00    0.00    1.98    0.00    0.00    0.00   92.10
09:42:15 AM  all    1.00    0.00    3.75    0.00    0.00    1.50    0.00    0.00    0.00   93.75
09:42:16 AM  all    0.76    0.00    3.29    0.00    0.00    1.52    0.00    0.00    0.00   94.43
09:42:17 AM  all    1.49    0.00    4.21    0.00    0.00    1.73    0.00    0.00    0.00   92.57
09:42:18 AM  all    1.99    0.00    3.98    0.00    0.00    1.00    0.00    0.00    0.00   93.03
09:42:19 AM  all    1.75    0.00    2.99    0.00    0.00    2.00    0.00    0.00    0.00   93.27
09:42:20 AM  all    1.78    0.00    1.78    0.00    0.00    1.27    0.00    0.00    0.00   95.18
09:42:21 AM  all    2.70    0.00    4.42    0.00    0.00    1.23    0.00    0.00    0.00   91.65
09:42:22 AM  all    2.48    0.00    3.47    0.00    0.00    1.24    0.00    0.00    0.00   92.80
09:42:23 AM  all    0.50    0.00    3.53    0.00    0.00    2.02    0.00    0.00    0.00   93.95
09:42:24 AM  all    1.28    0.00    2.55    0.00    0.00    1.02    0.00    0.00    0.00   95.15
09:42:25 AM  all    1.75    0.00    3.74    0.00    0.00    1.50    0.00    0.00    0.00   93.02
09:42:26 AM  all    2.70    0.00    3.69    0.00    0.00    1.47    0.00    0.00    0.00   92.14
09:42:27 AM  all    1.26    0.00    3.79    0.00    0.00    0.76    0.00    0.00    0.00   94.19
09:42:28 AM  all    1.02    0.00    2.04    0.00    0.00    1.28    0.00    0.00    0.00   95.66
09:42:29 AM  all    1.26    0.00    3.52    0.00    0.00    1.51    0.00    0.00    0.00   93.72
09:42:30 AM  all    1.01    0.00    3.27    0.00    0.00    2.01    0.00    0.00    0.00   93.72
09:42:31 AM  all    1.01    0.00    2.53    0.00    0.00    1.52    0.00    0.00    0.00   94.94
09:42:32 AM  all    1.02    0.00    2.80    0.00    0.00    1.53    0.00    0.00    0.00   94.66
09:42:33 AM  all    1.01    0.00    3.29    0.00    0.00    1.27    0.00    0.00    0.00   94.43
09:42:34 AM  all    1.49    0.00    3.47    0.00    0.00    2.23    0.00    0.00    0.00   92.82
09:42:35 AM  all    1.74    0.00    3.23    0.00    0.00    1.99    0.00    0.00    0.00   93.03
09:42:36 AM  all    1.27    0.00    2.80    0.00    0.00    1.27    0.00    0.00    0.00   94.66
