Linux 5.15.0-186-generic (iZl4v62o0lx0evsjrew1p2Z) 	08/05/2026 	_x86_64_	(4 CPU)

04:30:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:30:30 AM  all   17.91    0.00    3.23    0.00    0.00    1.24    0.00    0.00    0.00   77.61
04:30:31 AM  all   14.94    0.00    0.25    0.00    0.00    1.52    0.00    0.00    0.00   83.29
04:30:32 AM  all   13.85    0.00    1.28    0.00    0.00    0.51    0.00    0.00    0.00   84.36
04:30:33 AM  all   13.97    0.00    1.25    0.00    0.00    1.25    0.00    0.00    0.00   83.54
04:30:34 AM  all   12.14    0.00    0.78    0.00    0.00    0.78    0.00    0.00    0.00   86.30
04:30:35 AM  all   13.32    0.00    1.26    0.00    0.00    0.75    0.00    0.00    0.00   84.67
04:30:36 AM  all   14.43    0.00    1.24    0.25    0.00    1.00    0.00    0.00    0.00   83.08
04:30:37 AM  all   12.59    0.00    1.26    0.00    0.00    1.51    0.00    0.00    0.00   84.63
04:30:38 AM  all   14.43    0.00    0.76    0.00    0.00    1.01    0.00    0.00    0.00   83.80
04:30:39 AM  all   13.10    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   84.89
04:30:40 AM  all   14.62    0.00    0.00    0.00    0.00    0.51    0.00    0.00    0.00   84.87
04:30:41 AM  all   17.32    0.00    1.46    0.00    0.00    1.46    0.00    0.00    0.00   79.76
04:30:42 AM  all   14.82    0.00    1.01    0.00    0.00    1.51    0.00    0.00    0.00   82.66
04:30:43 AM  all   13.42    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   84.81
04:30:44 AM  all   15.63    0.00    0.99    0.00    0.00    1.49    0.00    0.00    0.00   81.89
04:30:45 AM  all   16.75    0.00    0.75    0.00    0.00    1.00    0.00    0.00    0.00   81.50
04:30:46 AM  all   15.42    0.00    1.24    0.00    0.00    0.50    0.00    0.00    0.00   82.84
04:30:47 AM  all   13.82    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   84.67
04:30:48 AM  all   14.90    0.00    1.01    0.00    0.00    1.26    0.00    0.00    0.00   82.83
