Linux 5.15.0-186-generic (iZl4v62o0lx0evsjrew1p2Z) 	08/05/2026 	_x86_64_	(4 CPU)

04:22:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:22:27 AM  all   25.77    0.00   14.43    0.00    0.00   16.75    0.00    0.00    0.00   43.04
04:22:28 AM  all   22.37    0.00    8.48    0.00    0.00   18.77    0.00    0.00    0.00   50.39
04:22:29 AM  all   21.41    0.00   13.10    0.00    0.00   19.65    0.00    0.00    0.00   45.84
04:22:30 AM  all   23.54    0.00   13.42    0.00    0.00   19.24    0.00    0.00    0.00   43.80
04:22:31 AM  all   21.33    0.00   10.67    0.00    0.00   19.73    0.00    0.00    0.00   48.27
04:22:32 AM  all   21.36    0.00   12.31    0.00    0.00   19.10    0.00    0.00    0.00   47.24
04:22:33 AM  all   23.10    0.00   12.29    0.00    0.00   19.90    0.00    0.00    0.00   44.72
04:22:34 AM  all   21.07    0.00   13.45    0.00    0.00   17.51    0.00    0.00    0.00   47.97
04:22:35 AM  all   21.58    0.00   12.37    0.00    0.00   20.53    0.00    0.00    0.00   45.53
04:22:36 AM  all   20.87    0.00   15.01    0.00    0.00   20.87    0.00    0.00    0.00   43.26
04:22:37 AM  all   22.96    0.00   13.01    0.00    0.00   19.39    0.00    0.00    0.00   44.64
04:22:38 AM  all   19.70    0.00   12.72    0.00    0.00   24.94    0.00    0.00    0.00   42.64
04:22:39 AM  all   18.84    0.00   13.29    0.00    0.00   25.36    0.00    0.00    0.00   42.51
04:22:40 AM  all   24.88    0.00   14.01    0.00    0.00   18.84    0.00    0.00    0.00   42.27
04:22:41 AM  all   22.65    0.00   14.50    0.00    0.00   17.81    0.00    0.00    0.00   45.04
04:22:42 AM  all   23.35    0.00   12.18    0.25    0.00   21.07    0.00    0.00    0.00   43.15
04:22:43 AM  all   24.04    0.00   13.04    0.00    0.00   19.95    0.00    0.00    0.00   42.97
04:22:44 AM  all   22.08    0.00   13.96    0.00    0.00   19.29    0.00    0.00    0.00   44.67
04:22:45 AM  all   22.66    0.00   13.80    0.00    0.00   17.45    0.00    0.00    0.00   46.09
04:22:46 AM  all   20.79    0.00   13.68    0.00    0.00   20.53    0.00    0.00    0.00   45.00
04:22:47 AM  all   22.73    0.00   13.13    0.00    0.00   19.44    0.00    0.00    0.00   44.70
04:22:48 AM  all   23.23    0.00   12.37    0.00    0.00   20.71    0.00    0.00    0.00   43.69
04:22:49 AM  all   22.37    0.00   13.11    0.00    0.00   20.31    0.00    0.00    0.00   44.22
04:22:50 AM  all   20.45    0.00   14.90    0.00    0.00   19.95    0.00    0.00    0.00   44.70
04:22:51 AM  all   21.93    0.00   12.01    0.00    0.00   19.32    0.00    0.00    0.00   46.74
04:22:52 AM  all   21.97    0.00   14.14    0.00    0.00   19.19    0.00    0.00    0.00   44.70
04:22:53 AM  all   23.72    0.00   12.76    0.00    0.00   20.41    0.00    0.00    0.00   43.11
04:22:54 AM  all   21.37    0.00   13.74    0.00    0.00   22.14    0.00    0.00    0.00   42.75
04:22:55 AM  all   20.10    0.00   15.98    0.00    0.00   18.04    0.00    0.00    0.00   45.88
04:22:56 AM  all   22.70    0.00   12.76    0.00    0.00   18.62    0.00    0.00    0.00   45.92
04:22:57 AM  all   21.21    0.00   12.88    0.00    0.00   22.22    0.00    0.00    0.00   43.69
04:22:58 AM  all   25.25    0.00   11.75    0.00    0.00   19.50    0.00    0.00    0.00   43.50
04:22:59 AM  all   21.07    0.00   13.71    0.00    0.00   21.07    0.00    0.00    0.00   44.16
04:23:00 AM  all   22.02    0.00   12.44    0.00    0.00   19.69    0.00    0.00    0.00   45.85
04:23:01 AM  all   21.97    0.00   13.38    0.00    0.00   18.69    0.00    0.00    0.00   45.96
04:23:02 AM  all   22.25    0.00   13.09    0.00    0.00   20.42    0.00    0.00    0.00   44.24
04:23:03 AM  all   22.14    0.00   14.50    0.00    0.00   20.36    0.00    0.00    0.00   43.00
04:23:04 AM  all   18.49    0.00   12.76    0.00    0.00   18.49    0.00    0.00    0.00   50.26
04:23:05 AM  all   13.92    0.00   10.82    0.00    0.00   14.95    0.00    0.00    0.00   60.31
04:23:06 AM  all   18.85    0.00   12.57    0.00    0.00   19.63    0.00    0.00    0.00   48.95
04:23:07 AM  all   21.24    0.00   14.51    0.00    0.00   19.69    0.00    0.00    0.00   44.56
04:23:08 AM  all   22.74    0.00   12.92    0.00    0.00   17.05    0.00    0.00    0.00   47.29
04:23:09 AM  all   22.19    0.00   11.99    0.00    0.00   18.88    0.00    0.00    0.00   46.94
04:23:10 AM  all   22.80    0.00   12.69    0.00    0.00   18.39    0.00    0.00    0.00   46.11
04:23:11 AM  all   17.71    0.00   11.44    0.00    0.00   16.35    0.00    0.00    0.00   54.50
04:23:12 AM  all   17.98    0.00   14.04    0.00    0.00   19.95    0.00    0.00    0.00   48.03
04:23:13 AM  all   19.95    0.00   11.02    0.00    0.00   18.11    0.00    0.00    0.00   50.92
04:23:14 AM  all   21.08    0.00   11.83    0.00    0.00   15.68    0.00    0.00    0.00   51.41
04:23:15 AM  all   19.19    0.00   12.88    0.00    0.00   18.94    0.00    0.00    0.00   48.99
04:23:16 AM  all   19.28    0.00   11.83    0.00    0.00   19.79    0.00    0.00    0.00   49.10
04:23:17 AM  all   19.95    0.00   11.40    0.00    0.00   18.13    0.00    0.00    0.00   50.52
04:23:18 AM  all   19.48    0.00   11.69    0.00    0.00   19.22    0.00    0.00    0.00   49.61
04:23:19 AM  all   21.08    0.00   10.54    0.00    0.00   18.77    0.00    0.00    0.00   49.61
04:23:20 AM  all   19.42    0.00   12.60    0.00    0.00   18.64    0.00    0.00    0.00   49.34
