Linux 5.15.0-186-generic (iZl4v62o0lx0evsjrew1p2Z) 	08/05/2026 	_x86_64_	(4 CPU)

03:08:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:08:31 AM  all   11.45    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   86.77
03:08:32 AM  all    8.12    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   90.86
03:08:33 AM  all    8.65    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   90.33
03:08:34 AM  all   11.28    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   87.72
03:08:35 AM  all   10.15    0.00    1.24    0.00    0.00    0.25    0.00    0.00    0.00   88.37
03:08:36 AM  all    9.02    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   89.72
03:08:37 AM  all    8.40    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   90.84
03:08:38 AM  all    9.18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.82
03:08:39 AM  all   11.69    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   86.82
03:08:40 AM  all    8.91    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   89.31
03:08:41 AM  all    9.90    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   89.09
03:08:42 AM  all    8.72    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   90.26
03:08:43 AM  all    9.37    0.00    0.00    0.00    0.00    0.76    0.00    0.00    0.00   89.87
03:08:44 AM  all    9.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.84
03:08:45 AM  all   10.57    0.00    1.23    0.00    0.00    0.74    0.00    0.00    0.00   87.47
03:08:46 AM  all   10.05    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   88.69
03:08:47 AM  all    9.44    0.00    0.77    0.00    0.00    0.26    0.00    0.00    0.00   89.54
03:08:48 AM  all    9.64    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   90.10
03:08:49 AM  all    8.14    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   91.09
03:08:50 AM  all    9.95    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   89.30
03:08:51 AM  all   10.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   89.00
03:08:52 AM  all    9.90    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   89.34
03:08:53 AM  all   10.20    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   88.56
03:08:54 AM  all    9.73    0.00    0.50    0.00    0.00    0.75    0.00    0.00    0.00   89.03
03:08:55 AM  all   11.44    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   87.56
03:08:56 AM  all   10.40    0.00    1.24    0.00    0.00    0.50    0.00    0.00    0.00   87.87
03:08:57 AM  all   10.00    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   88.75
03:08:58 AM  all   10.25    0.00    1.00    0.00    0.00    0.50    0.00    0.00    0.00   88.25
03:08:59 AM  all    8.77    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   90.23
03:09:00 AM  all    8.63    0.00    0.25    0.00    0.00    0.51    0.00    0.00    0.00   90.61
