Linux 5.15.0-186-generic (iZl4v62o0lx0evsjrew1p2Z) 	08/05/2026 	_x86_64_	(4 CPU)

01:59:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:59:26 AM  all   21.61    0.00    5.28    0.00    0.00    6.03    0.00    0.00    0.00   67.09
01:59:27 AM  all   22.89    0.00    3.23    0.00    0.00    7.46    0.00    0.00    0.00   66.42
01:59:28 AM  all   26.87    0.00    3.98    0.00    0.00    5.22    0.00    0.00    0.00   63.93
01:59:29 AM  all   23.86    0.00    3.55    0.00    0.00    6.09    0.00    0.00    0.00   66.50
01:59:30 AM  all   22.42    0.00    5.29    0.00    0.00    5.29    0.00    0.00    0.00   67.00
01:59:31 AM  all   21.34    0.00    2.31    0.00    0.00    5.91    0.00    0.00    0.00   70.44
01:59:32 AM  all   24.94    0.00    3.21    0.00    0.00    5.19    0.00    0.00    0.00   66.67
01:59:33 AM  all   25.32    0.00    3.32    0.00    0.00    5.37    0.00    0.00    0.00   65.98
01:59:34 AM  all   23.39    0.00    3.34    0.00    0.00    4.88    0.00    0.00    0.00   68.38
01:59:35 AM  all   25.06    0.00    3.51    0.00    0.00    4.51    0.00    0.00    0.00   66.92
01:59:36 AM  all   22.47    0.00    3.70    0.00    0.00    6.17    0.00    0.00    0.00   67.65
01:59:37 AM  all   24.30    0.00    3.29    0.00    0.00    4.05    0.00    0.00    0.00   68.35
01:59:38 AM  all   22.22    0.00    4.80    0.00    0.00    4.29    0.00    0.00    0.00   68.69
01:59:39 AM  all   21.04    0.00    3.12    0.00    0.00    5.19    0.00    0.00    0.00   70.65
01:59:40 AM  all   22.28    0.00    4.40    0.00    0.00    4.66    0.00    0.00    0.00   68.65
01:59:41 AM  all   22.45    0.00    3.57    0.00    0.00    5.10    0.00    0.00    0.00   68.88
01:59:42 AM  all   22.02    0.00    3.89    0.00    0.00    4.92    0.00    0.00    0.00   69.17
01:59:43 AM  all   24.69    0.00    3.74    0.00    0.00    5.99    0.00    0.00    0.00   65.59
01:59:44 AM  all   22.25    0.00    3.07    0.00    0.00    5.12    0.00    0.00    0.00   69.57
01:59:45 AM  all   25.06    0.00    4.42    0.00    0.00    5.90    0.00    0.00    0.00   64.62
01:59:46 AM  all   22.48    0.00    2.84    0.00    0.00    4.13    0.00    0.00    0.00   70.54
01:59:47 AM  all   20.88    0.00    3.61    0.00    0.00    4.38    0.00    0.00    0.00   71.13
01:59:48 AM  all   20.92    0.00    5.36    0.00    0.00    4.85    0.00    0.00    0.00   68.88
01:59:49 AM  all   24.09    0.00    4.15    0.00    0.00    4.15    0.00    0.00    0.00   67.62
01:59:50 AM  all   24.43    0.00    3.82    0.00    0.00    6.11    0.00    0.00    0.00   65.65
01:59:51 AM  all   21.45    0.00    3.62    0.00    0.00    4.91    0.00    0.00    0.00   70.03
01:59:52 AM  all   24.25    0.00    4.00    0.00    0.00    5.50    0.00    0.00    0.00   66.25
01:59:53 AM  all   23.94    0.00    4.74    0.00    0.00    3.99    0.00    0.00    0.00   67.33
01:59:54 AM  all   20.31    0.00    4.63    0.00    0.00    4.11    0.00    0.00    0.00   70.95
01:59:55 AM  all   22.30    0.00    3.43    0.00    0.00    5.15    0.00    0.00    0.00   69.12
01:59:56 AM  all   25.45    0.00    3.60    0.00    0.00    4.11    0.00    0.00    0.00   66.84
01:59:57 AM  all   26.37    0.00    4.48    0.00    0.00    5.47    0.00    0.00    0.00   63.68
01:59:58 AM  all   20.59    0.00    3.68    0.00    0.00    7.84    0.00    0.00    0.00   67.89
01:59:59 AM  all   26.87    0.00    3.73    0.00    0.00    5.22    0.00    0.00    0.00   64.18
