Linux 5.15.0-186-generic (iZl4v62o0lx0evsjrew1p2Z) 	08/05/2026 	_x86_64_	(4 CPU)

04:45:09 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:45:10 AM  all   15.50    0.00    3.00    0.00    0.00    0.75    0.00    0.00    0.00   80.75
04:45:11 AM  all   13.60    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   84.38
04:45:12 AM  all   14.80    0.00    0.77    0.00    0.00    1.02    0.00    0.00    0.00   83.42
04:45:13 AM  all   14.18    0.00    0.76    0.00    0.00    1.01    0.00    0.00    0.00   84.05
04:45:14 AM  all   14.82    0.00    0.75    0.00    0.00    1.01    0.00    0.00    0.00   83.42
04:45:15 AM  all   14.40    0.00    0.77    0.00    0.00    0.26    0.00    0.00    0.00   84.58
04:45:16 AM  all   14.32    0.00    2.01    0.00    0.00    1.01    0.00    0.00    0.00   82.66
04:45:17 AM  all   17.12    0.00    0.74    0.00    0.00    0.74    0.00    0.00    0.00   81.39
04:45:18 AM  all   14.90    0.00    1.01    0.00    0.00    1.52    0.00    0.00    0.00   82.58
04:45:19 AM  all   19.12    0.00    1.23    0.00    0.00    0.98    0.00    0.00    0.00   78.68
04:45:20 AM  all   17.46    0.00    1.25    0.00    0.00    1.00    0.00    0.00    0.00   80.30
04:45:21 AM  all   14.29    0.00    1.50    0.00    0.00    1.25    0.00    0.00    0.00   82.96
04:45:22 AM  all   12.44    0.00    1.02    0.00    0.00    0.51    0.00    0.00    0.00   86.04
04:45:23 AM  all   16.42    0.00    0.50    0.00    0.00    1.24    0.00    0.00    0.00   81.84
04:45:24 AM  all   16.75    0.00    0.99    0.00    0.00    0.74    0.00    0.00    0.00   81.53
04:45:25 AM  all   16.42    0.00    1.00    0.00    0.00    1.49    0.00    0.00    0.00   81.09
04:45:26 AM  all   15.50    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   83.00
04:45:27 AM  all   15.14    0.00    0.74    0.00    0.00    0.74    0.00    0.00    0.00   83.37
04:45:28 AM  all   14.50    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   83.97
04:45:29 AM  all   14.29    0.00    1.75    0.00    0.00    1.25    0.00    0.00    0.00   82.71
04:45:30 AM  all   17.08    0.00    0.00    0.00    0.00    0.74    0.00    0.00    0.00   82.18
04:45:31 AM  all   14.68    0.00    1.01    0.00    0.00    1.52    0.00    0.00    0.00   82.78
04:45:32 AM  all   15.17    0.00    0.51    0.00    0.00    0.77    0.00    0.00    0.00   83.55
04:45:33 AM  all   15.75    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   82.25
04:45:34 AM  all   13.03    0.00    1.25    0.00    0.00    1.50    0.00    0.00    0.00   84.21
04:45:35 AM  all   14.79    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   83.96
04:45:36 AM  all   13.72    0.00    1.50    0.00    0.00    0.75    0.00    0.00    0.00   84.04
04:45:37 AM  all   13.72    0.00    1.25    0.00    0.00    1.00    0.00    0.00    0.00   84.04
04:45:38 AM  all   15.83    0.00    0.25    0.00    0.00    1.26    0.00    0.00    0.00   82.66
04:45:39 AM  all   15.54    0.00    1.00    0.00    0.00    1.25    0.00    0.00    0.00   82.21
04:45:40 AM  all   16.09    0.00    0.74    0.00    0.00    0.74    0.00    0.00    0.00   82.43
04:45:41 AM  all   14.57    0.00    0.99    0.00    0.00    1.23    0.00    0.00    0.00   83.21
04:45:42 AM  all   13.60    0.00    0.76    0.00    0.00    0.50    0.00    0.00    0.00   85.14
04:45:43 AM  all   14.64    0.00    0.99    0.00    0.00    1.99    0.00    0.00    0.00   82.38
04:45:44 AM  all   14.75    0.00    1.00    0.00    0.00    0.50    0.00    0.00    0.00   83.75
04:45:45 AM  all   13.99    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   84.22
04:45:46 AM  all   14.54    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   83.96
04:45:47 AM  all   13.08    0.00    0.77    0.00    0.00    0.77    0.00    0.00    0.00   85.38
04:45:48 AM  all   15.46    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   83.29
04:45:49 AM  all   12.99    0.00    0.26    0.00    0.00    0.26    0.00    0.00    0.00   86.49
04:45:50 AM  all   15.79    0.00    1.00    0.00    0.00    1.50    0.00    0.00    0.00   81.70
04:45:51 AM  all   15.63    0.00    1.24    0.00    0.00    0.74    0.00    0.00    0.00   82.38
04:45:52 AM  all   15.21    0.00    1.25    0.00    0.00    1.00    0.00    0.00    0.00   82.54
04:45:53 AM  all   15.63    0.00    1.24    0.25    0.00    0.99    0.00    0.00    0.00   81.89
04:45:54 AM  all   14.50    0.00    1.00    0.00    0.00    1.25    0.00    0.00    0.00   83.25
04:45:55 AM  all   16.25    0.00    0.75    0.00    0.00    1.75    0.00    0.00    0.00   81.25
04:45:56 AM  all   15.63    0.00    1.99    0.00    0.00    0.25    0.00    0.00    0.00   82.13
04:45:57 AM  all   13.55    0.00    0.77    0.00    0.00    1.02    0.00    0.00    0.00   84.65
04:45:58 AM  all   15.17    0.00    0.50    0.00    0.00    1.00    0.00    0.00    0.00   83.33
04:45:59 AM  all   15.13    0.00    0.77    0.00    0.00    0.51    0.00    0.00    0.00   83.59
