Linux 6.8.0-1061-aws (ip-10-42-1-92) 	08/02/26 	_x86_64_	(4 CPU)

22:57:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:57:05     all    2.52    0.00    1.01   95.47    0.00    0.00    0.00    0.00    0.00    1.01
22:57:06     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
22:57:07     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
22:57:08     all    1.01    0.00    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00
22:57:09     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
22:57:10     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
22:57:11     all    1.26    0.00    0.50   98.24    0.00    0.00    0.00    0.00    0.00    0.00
22:57:12     all    0.51    0.00    0.00   99.49    0.00    0.00    0.00    0.00    0.00    0.00
22:57:13     all    1.26    0.00    0.25   98.49    0.00    0.00    0.00    0.00    0.00    0.00
22:57:14     all    1.75    0.00    0.25   97.99    0.00    0.00    0.00    0.00    0.00    0.00
22:57:15     all    1.01    0.00    0.50   98.49    0.00    0.00    0.00    0.00    0.00    0.00
22:57:16     all    1.25    0.00    0.50   98.25    0.00    0.00    0.00    0.00    0.00    0.00
22:57:17     all    0.51    0.00    0.00   99.49    0.00    0.00    0.00    0.00    0.00    0.00
22:57:18     all    1.50    0.00    0.25   98.25    0.00    0.00    0.00    0.00    0.00    0.00
22:57:19     all    0.76    0.00    0.25   98.98    0.00    0.00    0.00    0.00    0.00    0.00
22:57:20     all    1.51    0.00    0.25   98.24    0.00    0.00    0.00    0.00    0.00    0.00
22:57:21     all    1.01    0.00    0.50   98.49    0.00    0.00    0.00    0.00    0.00    0.00
22:57:22     all    1.01    0.00    0.25   98.73    0.00    0.00    0.00    0.00    0.00    0.00
22:57:23     all    0.76    0.00    0.50   98.74    0.00    0.00    0.00    0.00    0.00    0.00
22:57:24     all    1.25    0.00    0.50   98.25    0.00    0.00    0.00    0.00    0.00    0.00
22:57:25     all    1.52    0.00    0.00   98.48    0.00    0.00    0.00    0.00    0.00    0.00
22:57:26     all    1.50    0.00    1.00   97.51    0.00    0.00    0.00    0.00    0.00    0.00
22:57:27     all    1.26    0.00    0.25   98.49    0.00    0.00    0.00    0.00    0.00    0.00
22:57:28     all    0.76    0.00    0.00   99.24    0.00    0.00    0.00    0.00    0.00    0.00
22:57:29     all    0.76    0.00    0.76   98.48    0.00    0.00    0.00    0.00    0.00    0.00
22:57:30     all    1.27    0.00    0.00   98.73    0.00    0.00    0.00    0.00    0.00    0.00
22:57:31     all    1.50    0.00    0.50   97.99    0.00    0.00    0.00    0.00    0.00    0.00
22:57:32     all    1.51    0.00    0.25   98.24    0.00    0.00    0.00    0.00    0.00    0.00
22:57:33     all    1.26    0.00    0.50   91.18    0.00    0.00    0.00    0.00    0.00    7.05
22:57:34     all    1.01    0.00    1.01   40.55    0.00    0.00    0.00    0.00    0.00   57.43
22:57:35     all    0.76    0.00    1.01   27.96    0.00    0.00    0.00    0.00    0.00   70.28
