Linux 6.8.0-1061-aws (ip-10-42-1-92) 	08/02/26 	_x86_64_	(4 CPU)

16:41:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:41:40     all    6.45    0.00   92.80    0.00    0.00    0.00    0.00    0.00    0.00    0.74
16:41:41     all    5.01    0.00   82.71    1.50    0.00    0.00    0.00    0.00    0.00   10.78
16:41:42     all    5.25    0.00   94.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16:41:43     all    6.72    0.00   93.28    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16:41:44     all    5.99    0.00   94.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16:41:45     all    6.00    0.00   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16:41:46     all    0.50    0.00   11.50   58.00    0.00    0.00    0.00    0.00    0.00   30.00
16:41:47     all    0.00    0.00    0.50   74.50    0.00    0.00    0.00    0.00    0.00   25.00
16:41:48     all    0.00    0.00    0.50   74.56    0.00    0.00    0.00    0.00    0.00   24.94
16:41:49     all    5.22    0.00   79.35   11.69    0.00    0.00    0.00    0.00    0.00    3.73
16:41:50     all    5.99    0.00   94.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16:41:51     all    0.00    0.00    9.82   63.98    0.00    0.00    0.00    0.00    0.00   26.20
16:41:52     all    0.00    0.00    0.00   75.13    0.00    0.00    0.00    0.00    0.00   24.87
16:41:53     all    0.00    0.00    0.00   74.87    0.00    0.00    0.00    0.00    0.00   25.13
16:41:54     all    0.00    0.00    0.00   75.19    0.00    0.00    0.00    0.00    0.00   24.81
16:41:55     all    0.00    0.00    0.00   75.13    0.00    0.00    0.00    0.00    0.00   24.87
16:41:56     all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
16:41:57     all    0.00    0.00    0.00   75.44    0.00    0.00    0.00    0.00    0.00   24.56
16:41:58     all    2.49    0.00   25.62   53.73    0.00    0.00    0.00    0.00    0.00   18.16
16:41:59     all    5.50    0.00   94.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:00     all    5.99    0.00   94.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:01     all    5.74    0.00   94.26    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:02     all    5.28    0.00   92.96    0.25    0.00    0.00    0.00    0.00    0.00    1.51
16:42:03     all    0.00    0.00    1.50   91.00    0.00    0.00    0.00    0.00    0.00    7.50
16:42:04     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:05     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:06     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:07     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:08     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:09     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:10     all    0.00    0.00    4.51   95.49    0.00    0.00    0.00    0.00    0.00    0.00
16:42:11     all    5.99    0.00   94.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:12     all    5.74    0.00   94.26    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:13     all   16.75    0.00   81.75    0.00    0.00    0.00    0.00    0.00    0.00    1.50
16:42:14     all   37.16    0.00   62.09    0.00    0.00    0.00    0.00    0.00    0.00    0.75
16:42:15     all    5.54    0.00   63.73   16.12    0.00    0.00    0.00    0.00    0.00   14.61
16:42:16     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
16:42:17     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:18     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
16:42:19     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
16:42:20     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
16:42:21     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
16:42:22     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
16:42:23     all    1.24    0.00   13.65   84.86    0.00    0.00    0.00    0.00    0.00    0.25
16:42:24     all    8.50    0.00   88.75    0.00    0.00    0.00    0.00    0.00    0.00    2.75
16:42:25     all    8.04    0.00   80.65    1.26    0.00    0.00    0.00    0.00    0.00   10.05
16:42:26     all    0.00    0.00    0.75   96.75    0.00    0.00    0.00    0.00    0.00    2.50
16:42:27     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:28     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:29     all    8.29    0.00   87.69    1.01    0.00    0.00    0.00    0.00    0.00    3.02
16:42:30     all    8.50    0.00   79.00    1.25    0.00    0.00    0.00    0.00    0.00   11.25
16:42:31     all    0.00    0.00    0.25   99.24    0.00    0.00    0.00    0.00    0.00    0.50
16:42:32     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:33     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:34     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
16:42:35     all    6.52    0.00   68.17   17.04    0.00    0.00    0.00    0.00    0.00    8.27
16:42:36     all    0.25    0.00    0.25   74.37    0.00    0.00    0.00    0.00    0.00   25.13
16:42:37     all    0.00    0.00    0.00   75.00    0.00    0.00    0.00    0.00    0.00   25.00
16:42:38     all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
16:42:39     all    0.00    0.00    0.25   74.68    0.00    0.00    0.00    0.00    0.00   25.06
16:42:40     all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
16:42:41     all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
16:42:42     all    0.00    0.00    0.00   75.19    0.00    0.00    0.00    0.00    0.00   24.81
16:42:43     all    0.00    0.00    0.00   74.94    0.00    0.00    0.00    0.00    0.00   25.06
16:42:44     all    7.44    0.00   74.94   10.67    0.00    0.00    0.00    0.00    0.00    6.95
16:42:45     all    7.79    0.00   87.69    0.00    0.00    0.50    0.00    0.00    0.00    4.02
16:42:46     all    0.25    0.00   32.50    0.00    0.00    3.00    0.00    0.00    0.00   64.25
