Linux 6.8.0-1061-aws (ip-10-42-1-92) 	08/02/26 	_x86_64_	(4 CPU)

15:53:53     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:53:54     all    2.52    0.00    1.01   95.72    0.00    0.00    0.00    0.00    0.00    0.76
15:53:55     all    0.76    0.00    0.00   99.24    0.00    0.00    0.00    0.00    0.00    0.00
15:53:56     all    1.01    0.00    0.50   98.49    0.00    0.00    0.00    0.00    0.00    0.00
15:53:57     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
15:53:58     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
15:53:59     all    1.25    0.00    0.25   98.50    0.00    0.00    0.00    0.00    0.00    0.00
15:54:00     all    1.01    0.00    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00
15:54:01     all    1.01    0.00    0.50   98.49    0.00    0.00    0.00    0.00    0.00    0.00
15:54:02     all    1.01    0.00    0.25   93.47    0.00    0.00    0.00    0.00    0.00    5.28
15:54:03     all    0.76    0.00    0.00   99.24    0.00    0.00    0.00    0.00    0.00    0.00
15:54:04     all    1.01    0.00    0.50   98.49    0.00    0.00    0.00    0.00    0.00    0.00
15:54:05     all    1.01    0.00    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00
15:54:06     all    1.26    0.00    0.50   98.24    0.00    0.00    0.00    0.00    0.00    0.00
15:54:07     all    1.25    0.00    0.25   98.50    0.00    0.00    0.00    0.00    0.00    0.00
15:54:08     all    1.01    0.00    0.50   98.49    0.00    0.00    0.00    0.00    0.00    0.00
15:54:09     all    1.26    0.00    0.00   98.74    0.00    0.00    0.00    0.00    0.00    0.00
15:54:10     all    1.26    0.00    0.25   98.49    0.00    0.00    0.00    0.00    0.00    0.00
15:54:11     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
15:54:12     all    1.26    0.00    0.00   98.74    0.00    0.00    0.00    0.00    0.00    0.00
15:54:13     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
15:54:14     all    1.25    0.00    0.75   98.00    0.00    0.00    0.00    0.00    0.00    0.00
15:54:15     all    1.26    0.00    0.25   98.49    0.00    0.00    0.00    0.00    0.00    0.00
15:54:16     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
15:54:17     all    1.50    0.00    0.25   98.25    0.00    0.00    0.00    0.00    0.00    0.00
15:54:18     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
15:54:19     all    1.01    0.00    0.50   98.49    0.00    0.00    0.00    0.00    0.00    0.00
15:54:20     all    1.26    0.00    0.00   98.74    0.00    0.00    0.00    0.00    0.00    0.00
15:54:21     all    1.26    0.00    0.25   98.49    0.00    0.00    0.00    0.00    0.00    0.00
15:54:22     all    1.25    0.00    0.75   97.99    0.00    0.00    0.00    0.00    0.00    0.00
15:54:23     all    1.02    0.00    0.00   65.23    0.00    0.00    0.00    0.00    0.00   33.76
15:54:24     all    0.00    0.00    0.76   28.46    0.00    0.00    0.00    0.00    0.00   70.78
15:54:25     all    0.50    0.00    0.00   26.45    0.00    0.00    0.00    0.00    0.00   73.05
15:54:26     all    0.50    0.00    0.50   24.43    0.00    0.00    0.00    0.00    0.00   74.56
15:54:27     all    0.25    0.00    0.50   24.37    0.00    0.00    0.00    0.00    0.00   74.87
15:54:28     all    0.50    0.00    0.25   24.69    0.00    0.00    0.00    0.00    0.00   74.56
15:54:29     all    0.00    0.00    0.50   24.62    0.00    0.00    0.00    0.00    0.00   74.87
15:54:30     all    0.50    0.00    0.50   24.69    0.00    0.00    0.00    0.00    0.00   74.31
15:54:31     all    0.50    0.00    0.25   23.93    0.00    0.00    0.00    0.00    0.00   75.31
15:54:32     all    0.00    0.00    0.51   24.75    0.00    0.00    0.00    0.00    0.00   74.75
15:54:33     all    0.75    0.00    0.75   24.25    0.00    0.00    0.00    0.00    0.00   74.25
15:54:34     all    0.25    0.00    0.25   24.69    0.00    0.00    0.00    0.00    0.00   74.81
15:54:35     all    0.25    0.00    1.00   24.31    0.00    0.00    0.00    0.00    0.00   74.44
15:54:36     all    0.75    0.00    0.25   24.37    0.00    0.00    0.00    0.00    0.00   74.62
15:54:37     all    0.00    0.00    1.00   24.31    0.00    0.00    0.00    0.00    0.00   74.69
15:54:38     all    0.25    0.00    0.00   24.75    0.00    0.00    0.00    0.00    0.00   75.00
15:54:39     all    0.25    0.00    0.50   24.81    0.00    0.00    0.00    0.00    0.00   74.44
15:54:40     all    0.76    0.00    0.51   23.99    0.00    0.00    0.00    0.00    0.00   74.75
15:54:41     all    0.00    0.00    0.50   24.62    0.00    0.00    0.00    0.00    0.00   74.87
15:54:42     all    0.25    0.00    0.50   24.43    0.00    0.00    0.00    0.00    0.00   74.81
15:54:43     all    0.50    0.00    0.76   24.18    0.00    0.00    0.00    0.00    0.00   74.56
15:54:44     all    0.75    0.00    0.50   24.44    0.00    0.00    0.00    0.00    0.00   74.31
15:54:45     all    0.25    0.00    0.75   24.56    0.00    0.00    0.00    0.00    0.00   74.44
15:54:46     all    0.00    0.00    0.25   24.37    0.00    0.00    0.00    0.00    0.00   75.38
15:54:47     all    0.75    0.00    0.50   24.44    0.00    0.00    0.00    0.00    0.00   74.31
15:54:48     all    0.25    0.00    0.51   24.24    0.00    0.00    0.00    0.00    0.00   75.00
15:54:49     all    0.25    0.00    0.50   24.43    0.00    0.00    0.00    0.00    0.00   74.81
15:54:50     all    0.75    0.00    0.25   24.37    0.00    0.00    0.00    0.00    0.00   74.62
15:54:51     all    0.25    0.00    0.25   24.69    0.00    0.00    0.00    0.00    0.00   74.81
15:54:52     all    0.25    0.00    0.50   24.43    0.00    0.00    0.00    0.00    0.00   74.81
15:54:53     all    0.25    0.00    0.50   24.43    0.00    0.00    0.00    0.00    0.00   74.81
15:54:54     all    0.25    0.00    0.75   24.37    0.00    0.00    0.00    0.00    0.00   74.62
15:54:55     all    0.75    0.00    0.50   24.50    0.00    0.00    0.00    0.00    0.00   74.25
15:54:56     all    0.25    0.00    1.00   24.25    0.00    0.00    0.00    0.00    0.00   74.50
15:54:57     all    0.51    0.00    0.00   24.49    0.00    0.00    0.00    0.00    0.00   75.00
15:54:58     all    0.00    0.00    1.01   24.37    0.00    0.00    0.00    0.00    0.00   74.62
15:54:59     all    0.51    0.00    0.00   24.49    0.00    0.00    0.00    0.00    0.00   75.00
15:55:00     all    0.00    0.00    1.01   24.18    0.00    0.00    0.00    0.00    0.00   74.81
15:55:01     all    1.00    0.00    0.50   24.50    0.00    0.00    0.00    0.00    0.00   74.00
15:55:02     all    0.25    0.00    0.50   24.69    0.00    0.00    0.00    0.00    0.00   74.56
15:55:03     all    0.51    0.00    0.25   24.24    0.00    0.00    0.00    0.00    0.00   75.00
15:55:04     all    0.50    0.00    0.75   24.50    0.00    0.00    0.00    0.00    0.00   74.25
15:55:05     all    0.25    0.00    0.25   24.49    0.00    0.00    0.00    0.00    0.00   75.00
15:55:06     all    0.25    0.00    1.00   24.31    0.00    0.00    0.00    0.00    0.00   74.44
15:55:07     all    0.75    0.00    0.50   24.56    0.00    0.00    0.00    0.00    0.00   74.19
15:55:08     all    0.00    0.00    0.25   24.75    0.00    0.00    0.00    0.00    0.00   75.00
15:55:09     all    0.75    0.00    1.00   24.00    0.00    0.00    0.00    0.00    0.00   74.25
15:55:10     all    0.50    0.00    0.50   24.56    0.00    0.00    0.00    0.00    0.00   74.44
15:55:11     all    0.25    0.00    1.00   24.56    0.00    0.00    0.00    0.00    0.00   74.19
15:55:12     all    0.25    0.00    0.25   24.43    0.00    0.00    0.00    0.00    0.00   75.06
15:55:13     all    0.76    0.00    0.25   23.99    0.00    0.00    0.00    0.00    0.00   75.00
15:55:14     all    0.00    0.00    0.50   24.81    0.00    0.00    0.00    0.00    0.00   74.69
15:55:15     all    0.51    0.00    0.25   24.56    0.00    0.00    0.00    0.00    0.00   74.68
15:55:16     all    0.75    0.00    0.75   24.13    0.00    0.00    0.00    0.00    0.00   74.38
15:55:17     all    0.25    0.00    0.75   24.37    0.00    0.00    0.00    0.00    0.00   74.62
15:55:18     all    0.00    0.00    0.51   24.56    0.00    0.00    0.00    0.00    0.00   74.94
15:55:19     all    0.75    0.00    0.50   24.31    0.00    0.00    0.00    0.00    0.00   74.44
15:55:20     all    0.25    0.00    0.25   24.69    0.00    0.00    0.00    0.00    0.00   74.81
15:55:21     all    0.25    0.00    0.25   24.49    0.00    0.00    0.00    0.00    0.00   75.00
15:55:22     all    0.50    0.00    0.75   24.37    0.00    0.00    0.00    0.00    0.00   74.37
15:55:23     all    0.50    0.00    0.00   24.43    0.00    0.00    0.00    0.00    0.00   75.06
15:55:24     all    0.25    0.00    0.50   24.37    0.00    0.00    0.00    0.00    0.00   74.87
15:55:25     all    0.00    0.00    0.50   24.69    0.00    0.00    0.00    0.00    0.00   74.81
15:55:26     all    1.01    0.00    0.25   24.37    0.00    0.00    0.00    0.00    0.00   74.37
15:55:27     all    0.25    0.00    0.25   24.69    0.00    0.00    0.00    0.00    0.00   74.81
15:55:28     all    0.25    0.00    0.75   24.12    0.00    0.00    0.00    0.00    0.00   74.87
15:55:29     all    0.50    0.00    0.50   24.43    0.00    0.00    0.00    0.00    0.00   74.56
15:55:30     all    0.25    0.00    0.50   24.37    0.00    0.00    0.00    0.00    0.00   74.87
15:55:31     all    0.00    0.00    0.51   24.49    0.00    0.00    0.00    0.00    0.00   75.00
15:55:32     all    0.76    0.00    0.00   24.43    0.00    0.00    0.00    0.00    0.00   74.81
15:55:33     all    0.25    0.00    1.01   24.37    0.00    0.00    0.00    0.00    0.00   74.37
15:55:34     all    0.25    0.00    0.50   24.56    0.00    0.00    0.00    0.00    0.00   74.69
15:55:35     all    0.75    0.00    0.75   24.25    0.00    0.00    0.00    0.00    0.00   74.25
15:55:36     all    0.00    0.00    0.00   24.62    0.00    0.00    0.00    0.00    0.00   75.38
15:55:37     all    0.25    0.00    1.00   24.31    0.00    0.00    0.00    0.00    0.00   74.44
15:55:38     all    0.50    0.00    0.50   24.37    0.00    0.00    0.00    0.00    0.00   74.62
15:55:39     all    0.00    0.00    0.25   24.69    0.00    0.00    0.00    0.00    0.00   75.06
15:55:40     all    0.75    0.00    0.50   24.37    0.00    0.00    0.00    0.00    0.00   74.37
15:55:41     all    0.00    0.00    0.25   24.37    0.00    0.00    0.00    0.00    0.00   75.38
15:55:42     all    0.25    0.00    1.00   24.50    0.00    0.00    0.00    0.00    0.00   74.25
15:55:43     all    0.75    0.00    0.75   24.38    0.00    0.00    0.00    0.00    0.00   74.13
15:55:44     all    0.00    0.00    0.51   24.56    0.00    0.00    0.00    0.00    0.00   74.94
15:55:45     all    0.50    0.00    0.75   24.19    0.00    0.00    0.00    0.00    0.00   74.56
15:55:46     all    0.51    0.00    0.25   24.24    0.00    0.00    0.00    0.00    0.00   75.00
15:55:47     all    0.00    0.00    0.76   24.69    0.00    0.00    0.00    0.00    0.00   74.56
15:55:48     all    0.50    0.00    0.50   24.37    0.00    0.00    0.00    0.00    0.00   74.62
15:55:49     all    0.25    0.00    0.75   24.31    0.00    0.00    0.00    0.00    0.00   74.69
15:55:50     all    0.25    0.00    0.75   24.37    0.00    0.00    0.00    0.00    0.00   74.62
15:55:51     all    0.25    0.00    0.25   24.49    0.00    0.00    0.00    0.00    0.00   75.00
15:55:52     all    0.50    0.00    0.75   24.12    0.00    0.00    0.00    0.00    0.00   74.62
15:55:53     all    0.25    0.00    0.50   24.81    0.00    0.00    0.00    0.00    0.00   74.44
15:55:54     all    0.25    0.00    0.25   24.30    0.00    0.00    0.00    0.00    0.00   75.19
15:55:55     all    0.50    0.00    0.75   24.31    0.00    0.00    0.00    0.00    0.00   74.44
15:55:56     all    0.25    0.00    0.50   24.43    0.00    0.00    0.00    0.00    0.00   74.81
15:55:57     all    0.75    0.00    0.50   24.50    0.00    0.00    0.00    0.00    0.00   74.25
15:55:58     all    0.25    0.00    1.00   24.31    0.00    0.00    0.00    0.00    0.00   74.44
15:55:59     all    0.25    0.00    0.00   24.56    0.00    0.00    0.00    0.00    0.00   75.19
15:56:00     all    0.50    0.00    0.75   24.31    0.00    0.00    0.00    0.00    0.00   74.44
15:56:01     all    0.50    0.00    0.50   24.31    0.00    0.00    0.00    0.00    0.00   74.69
15:56:02     all    0.50    0.00    0.50   24.37    0.00    0.00    0.00    0.00    0.00   74.62
15:56:03     all    0.00    0.00    0.25   24.87    0.00    0.00    0.00    0.00    0.00   74.87
15:56:04     all    0.50    0.00    0.75   24.06    0.00    0.00    0.00    0.00    0.00   74.69
15:56:05     all    0.00    0.00    0.00   24.62    0.00    0.00    0.00    0.00    0.00   75.38
15:56:06     all    0.50    0.00    0.50   24.50    0.00    0.00    0.00    0.00    0.00   74.50
15:56:07     all    0.50    0.00    0.76   24.18    0.00    0.00    0.00    0.00    0.00   74.56
15:56:08     all    0.25    0.00    0.75   24.50    0.00    0.00    0.00    0.00    0.00   74.50
15:56:09     all    0.00    0.00    0.25   24.37    0.00    0.00    0.00    0.00    0.00   75.38
15:56:10     all    0.75    0.00    0.50   24.69    0.00    0.00    0.00    0.00    0.00   74.06
15:56:11     all    0.25    0.00    0.51   24.49    0.00    0.00    0.00    0.00    0.00   74.75
15:56:12     all    0.50    0.00    0.25   24.18    0.00    0.00    0.00    0.00    0.00   75.06
15:56:13     all    0.00    0.00    0.00   24.81    0.00    0.00    0.00    0.00    0.00   75.19
15:56:14     all    0.50    0.00    0.50   24.12    0.00    0.00    0.00    0.00    0.00   74.87
15:56:15     all    0.25    0.00    0.50   24.69    0.00    0.00    0.00    0.00    0.00   74.56
15:56:16     all    0.50    0.00    0.75   24.31    0.00    0.00    0.00    0.00    0.00   74.44
15:56:17     all    0.00    0.00    0.25   24.56    0.00    0.00    0.00    0.00    0.00   75.19
15:56:18     all    0.75    0.00    1.00   24.19    0.00    0.00    0.00    0.00    0.00   74.06
15:56:19     all    0.25    0.00    0.50   24.37    0.00    0.00    0.00    0.00    0.00   74.87
15:56:20     all    0.00    0.00    0.25   24.62    0.00    0.00    0.00    0.00    0.00   75.13
15:56:21     all    0.25    0.00    0.50   24.62    0.00    0.00    0.00    0.00    0.00   74.62
15:56:22     all    0.50    0.00    0.75   24.12    0.00    0.00    0.00    0.00    0.00   74.62
15:56:23     all    0.25    0.00    0.75   24.56    0.00    0.00    0.00    0.00    0.00   74.44
15:56:24     all    0.50    0.00    0.50   24.31    0.00    0.00    0.00    0.00    0.00   74.69
15:56:25     all    0.50    0.00    0.50   24.43    0.00    0.00    0.00    0.00    0.00   74.56
15:56:26     all    0.00    0.00    0.25   24.75    0.00    0.00    0.00    0.00    0.00   75.00
