Linux 6.8.0-1061-aws (ip-10-42-1-92) 	08/02/26 	_x86_64_	(4 CPU)

14:56:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:56:22     all    1.77    0.00    3.28    0.00    0.00    0.25    0.00    0.00    0.00   94.70
14:56:23     all    1.26    0.00    3.52    0.00    0.00    0.50    0.00    0.00    0.00   94.72
14:56:24     all    1.02    0.00    2.54    0.00    0.00    0.76    0.00    0.00    0.00   95.67
14:56:25     all    1.01    0.00    3.04    0.00    0.00    0.25    0.00    0.00    0.00   95.70
14:56:26     all    1.26    0.00    3.27    0.00    0.00    0.76    0.00    0.00    0.00   94.71
14:56:27     all    0.76    0.00    3.78    0.00    0.00    0.50    0.00    0.00    0.00   94.96
14:56:28     all    1.27    0.00    2.53    0.00    0.00    0.51    0.00    0.00    0.00   95.70
14:56:29     all    1.01    0.00    3.04    0.00    0.00    0.25    0.00    0.00    0.00   95.70
14:56:30     all    1.27    0.00    2.79    0.00    0.00    0.51    0.00    0.00    0.00   95.43
14:56:31     all    0.50    0.00    3.02    0.00    0.00    0.50    0.00    0.00    0.00   95.98
14:56:32     all    1.01    0.00    3.04    0.00    0.00    0.25    0.00    0.00    0.00   95.70
14:56:33     all    1.02    0.00    3.55    0.00    0.00    0.51    0.00    0.00    0.00   94.92
14:56:34     all    1.01    0.00    3.27    0.00    0.00    0.50    0.00    0.00    0.00   95.23
14:56:35     all    0.76    0.00    3.55    0.00    0.00    0.25    0.00    0.00    0.00   95.43
14:56:36     all    1.26    0.00    3.27    0.00    0.00    0.75    0.00    0.00    0.00   94.72
14:56:37     all    0.76    0.00    3.54    0.00    0.00    0.51    0.00    0.00    0.00   95.19
14:56:38     all    1.01    0.00    3.28    0.00    0.00    0.51    0.00    0.00    0.00   95.20
14:56:39     all    1.75    0.00    3.26    0.00    0.00    0.50    0.00    0.00    0.00   94.49
14:56:40     all    1.02    0.00    2.79    0.00    0.00    0.51    0.00    0.00    0.00   95.69
14:56:41     all    0.76    0.00    3.31    0.00    0.00    0.25    0.00    0.00    0.00   95.67
14:56:42     all    0.75    0.00    4.01    0.00    0.00    0.50    0.00    0.00    0.00   94.74
14:56:43     all    1.02    0.00    2.56    0.00    0.00    0.26    0.00    0.00    0.00   96.16
14:56:44     all    1.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
14:56:45     all    0.76    0.00    3.27    0.25    0.00    0.50    0.00    0.00    0.00   95.21
14:56:46     all    1.01    0.00    3.29    0.00    0.00    0.51    0.00    0.00    0.00   95.19
14:56:47     all    1.51    0.00    3.02    0.00    0.00    0.50    0.00    0.00    0.00   94.96
14:56:48     all    1.26    0.00    3.79    0.00    0.00    0.25    0.00    0.00    0.00   94.70
