Linux 6.8.0-1061-aws (ip-10-42-1-92) 	08/02/26 	_x86_64_	(4 CPU)

18:38:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:38:44     all    2.41    0.00    6.95    0.00    0.00    1.34    0.00    0.00    0.00   89.30
18:38:45     all    0.00    0.00    0.83    0.00    0.00    0.00    0.00    0.00    0.00   99.17
18:38:46     all    0.00    0.00    4.38    0.00    0.00    3.09    0.00    0.00    0.00   92.53
18:38:47     all    0.00    0.00    1.11    0.00    0.00    0.00    0.00    0.00    0.00   98.89
18:38:48     all    0.00    0.00    3.41    0.00    0.00    2.36    0.00    0.00    0.00   94.23
18:38:49     all    0.00    0.00    1.10    0.00    0.00    0.28    0.00    0.00    0.00   98.62
18:38:50     all    0.00    0.00    2.40    0.00    0.00    1.87    0.00    0.00    0.00   95.73
18:38:51     all    0.00    0.00    2.42    0.00    0.00    1.34    0.00    0.00    0.00   96.24
18:38:52     all    0.00    0.00    0.83    0.00    0.00    0.00    0.00    0.00    0.00   99.17
18:38:53     all    0.00    0.00    3.90    0.00    0.00    3.38    0.00    0.00    0.00   92.73
18:38:54     all    0.00    0.00    0.83    0.00    0.00    0.00    0.00    0.00    0.00   99.17
18:38:55     all    0.00    0.00    4.42    0.26    0.00    2.60    0.00    0.00    0.00   92.73
18:38:56     all    0.00    0.00    0.83    0.00    0.00    0.28    0.00    0.00    0.00   98.90
18:38:57     all    0.00    0.00    2.42    0.00    0.00    1.34    0.00    0.00    0.00   96.24
18:38:58     all    0.00    0.00    3.42    0.00    0.00    2.37    0.00    0.00    0.00   94.21
18:38:59     all    0.00    0.00    0.83    0.00    0.00    0.00    0.00    0.00    0.00   99.17
18:39:00     all    0.00    0.00    3.66    0.00    0.00    2.36    0.00    0.00    0.00   93.98
18:39:01     all    0.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.44
18:39:02     all    0.27    0.00    2.14    0.00    0.00    1.34    0.00    0.00    0.00   96.26
18:39:03     all    0.00    0.00    1.10    0.00    0.00    0.28    0.00    0.00    0.00   98.62
18:39:04     all    0.00    0.00    2.15    0.00    0.00    1.08    0.00    0.00    0.00   96.77
18:39:05     all    0.00    0.00    1.63    0.00    0.00    1.09    0.00    0.00    0.00   97.28
18:39:06     all    0.00    0.00    1.10    0.00    0.00    0.00    0.00    0.00    0.00   98.90
18:39:07     all    0.26    0.00    4.11    0.00    0.00    3.34    0.00    0.00    0.00   92.29
18:39:08     all    0.00    0.00    0.83    0.00    0.00    0.00    0.00    0.00    0.00   99.17
18:39:09     all    0.00    0.00    4.62    0.00    0.00    3.85    0.00    0.00    0.00   91.54
18:39:10     all    0.00    0.00    0.55    0.00    0.00    0.00    0.00    0.00    0.00   99.45
18:39:11     all    0.00    0.00    3.42    0.00    0.00    2.37    0.00    0.00    0.00   94.21
18:39:12     all    0.00    0.00    1.88    0.00    0.00    1.61    0.00    0.00    0.00   96.51
18:39:13     all    0.00    0.00    1.10    0.00    0.00    0.00    0.00    0.00    0.00   98.90
18:39:14     all    0.00    0.00    4.86    0.00    0.00    3.58    0.00    0.00    0.00   91.56
18:39:15     all    0.00    0.00    1.10    0.00    0.00    0.00    0.00    0.00    0.00   98.90
18:39:16     all    0.00    0.00    3.15    0.00    0.00    2.62    0.00    0.00    0.00   94.23
18:39:17     all    0.00    0.00    0.83    0.00    0.00    0.00    0.00    0.00    0.00   99.17
18:39:18     all    0.00    0.00    1.64    0.00    0.00    0.82    0.00    0.00    0.00   97.54
18:39:19     all    0.00    0.00    2.40    0.00    0.00    1.60    0.00    0.00    0.00   96.00
18:39:20     all    0.00    0.00    1.64    0.00    0.00    0.55    0.00    0.00    0.00   97.81
18:39:21     all    0.00    0.00    3.17    0.00    0.00    2.37    0.00    0.00    0.00   94.46
