Linux 6.8.0-1061-aws (ip-10-42-1-92) 	08/02/26 	_x86_64_	(4 CPU)

16:38:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:38:17     all   10.70    0.00   79.35    9.70    0.00    0.00    0.00    0.00    0.00    0.25
16:38:18     all    7.83    0.00   74.75   17.42    0.00    0.00    0.00    0.00    0.00    0.00
16:38:19     all    9.48    0.00   74.56   15.71    0.00    0.00    0.00    0.00    0.00    0.25
16:38:20     all    5.26    0.00   44.86   49.87    0.00    0.00    0.00    0.00    0.00    0.00
16:38:21     all    4.00    0.00   37.00   59.00    0.00    0.00    0.00    0.00    0.00    0.00
16:38:22     all    1.76    0.00   17.88   80.35    0.00    0.00    0.00    0.00    0.00    0.00
16:38:23     all    3.78    0.00   32.75   56.17    0.00    0.00    0.00    0.00    0.00    7.30
16:38:24     all    3.74    0.00   37.66   48.38    0.00    0.00    0.00    0.00    0.00   10.22
16:38:25     all    2.01    0.00   16.79   81.20    0.00    0.00    0.00    0.00    0.00    0.00
16:38:26     all    4.04    0.00   29.55   55.05    0.00    0.00    0.00    0.00    0.00   11.36
16:38:27     all    2.25    0.00   17.00   69.75    0.00    0.00    0.00    0.00    0.00   11.00
16:38:28     all    4.00    0.00   36.75   57.00    0.00    0.00    0.00    0.00    0.00    2.25
16:38:29     all    3.27    0.00   25.69   61.96    0.00    0.00    0.00    0.00    0.00    9.07
16:38:30     all    2.99    0.00   21.20   75.81    0.00    0.00    0.00    0.00    0.00    0.00
16:38:31     all    2.74    0.00   25.69   71.57    0.00    0.00    0.00    0.00    0.00    0.00
16:38:32     all    2.78    0.00   16.67   72.73    0.00    0.00    0.00    0.00    0.00    7.83
16:38:33     all    5.00    0.00   33.00   60.75    0.00    0.00    0.00    0.00    0.00    1.25
16:38:34     all    2.76    0.00   18.34   64.57    0.00    0.00    0.00    0.00    0.00   14.32
16:38:35     all    2.50    0.00   15.75   61.00    0.00    0.00    0.00    0.00    0.00   20.75
16:38:36     all    4.77    0.00   27.64   23.12    0.00    0.00    0.00    0.00    0.00   44.47
16:38:37     all   38.46    0.00   58.81    0.00    0.00    0.00    0.00    0.00    0.00    2.73
16:38:38     all   16.12    0.00   33.75   48.87    0.00    0.00    0.00    0.00    0.00    1.26
16:38:39     all    1.25    0.00   12.03   86.72    0.00    0.00    0.00    0.00    0.00    0.00
16:38:40     all    1.76    0.00   26.45   65.99    0.00    0.00    0.00    0.00    0.00    5.79
16:38:41     all    2.01    0.00   17.34   74.62    0.00    0.00    0.00    0.00    0.00    6.03
