Linux 6.8.0-1061-aws (ip-10-42-1-92) 	08/02/26 	_x86_64_	(4 CPU)

23:54:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:54:03     all    1.03    0.00    6.41    0.00    0.00    3.08    0.00    0.00    0.00   89.49
23:54:04     all    0.00    0.00    6.87    0.00    0.00    3.56    0.00    0.00    0.00   89.57
23:54:05     all    0.26    0.00    7.14    0.00    0.00    2.81    0.00    0.00    0.00   89.80
23:54:06     all    0.00    0.00    7.87    0.00    0.00    3.30    0.00    0.00    0.00   88.83
23:54:07     all    0.51    0.00    7.09    0.00    0.00    3.29    0.00    0.00    0.00   89.11
23:54:08     all    0.26    0.00    7.20    0.00    0.00    2.57    0.00    0.00    0.00   89.97
23:54:09     all    0.00    0.00    7.36    0.00    0.00    3.30    0.00    0.00    0.00   89.34
23:54:10     all    0.25    0.00    7.34    0.00    0.00    3.29    0.00    0.00    0.00   89.11
23:54:11     all    0.26    0.00    5.68    0.00    0.00    3.10    0.00    0.00    0.00   90.96
23:54:12     all    0.25    0.00    7.63    0.00    0.00    3.05    0.00    0.00    0.00   89.06
23:54:13     all    0.26    0.00    6.39    0.00    0.00    2.81    0.00    0.00    0.00   90.54
23:54:14     all    0.00    0.00    7.40    0.00    0.00    2.55    0.00    0.00    0.00   90.05
23:54:15     all    0.00    0.00    7.12    0.00    0.00    3.31    0.00    0.00    0.00   89.57
23:54:16     all    0.00    0.00    7.11    0.00    0.00    3.05    0.00    0.00    0.00   89.85
23:54:17     all    0.51    0.00    7.11    0.00    0.00    3.55    0.00    0.00    0.00   88.83
23:54:18     all    0.25    0.00    7.87    0.00    0.00    2.28    0.00    0.00    0.00   89.59
23:54:19     all    0.00    0.00    5.94    0.26    0.00    3.36    0.00    0.00    0.00   90.44
23:54:20     all    0.00    0.00    6.91    0.00    0.00    3.58    0.00    0.00    0.00   89.51
23:54:21     all    0.51    0.00    7.58    0.00    0.00    3.28    0.00    0.00    0.00   88.64
23:54:22     all    0.51    0.00    7.36    0.00    0.00    3.30    0.00    0.00    0.00   88.83
23:54:23     all    0.00    0.00    8.16    0.00    0.00    2.81    0.00    0.00    0.00   89.03
23:54:24     all    0.26    0.00    6.67    0.00    0.00    3.08    0.00    0.00    0.00   90.00
23:54:25     all    0.00    0.00    8.42    0.00    0.00    2.81    0.00    0.00    0.00   88.78
23:54:26     all    0.00    0.00    6.20    0.00    0.00    3.36    0.00    0.00    0.00   90.44
23:54:27     all    0.26    0.00    7.16    0.00    0.00    3.07    0.00    0.00    0.00   89.51
23:54:28     all    0.26    0.00    6.70    0.00    0.00    2.58    0.00    0.00    0.00   90.46
23:54:29     all    0.25    0.00    6.87    0.00    0.00    3.56    0.00    0.00    0.00   89.31
23:54:30     all    0.26    0.00    7.18    0.00    0.00    3.08    0.00    0.00    0.00   89.49
23:54:31     all    0.25    0.00    7.34    0.00    0.00    3.04    0.00    0.00    0.00   89.37
23:54:32     all    0.26    0.00    5.90    0.00    0.00    3.08    0.00    0.00    0.00   90.77
23:54:33     all    0.26    0.00    6.89    0.00    0.00    2.81    0.00    0.00    0.00   90.05
23:54:34     all    0.25    0.00    7.63    0.00    0.00    3.05    0.00    0.00    0.00   89.06
23:54:35     all    0.00    0.00    6.41    0.00    0.00    3.33    0.00    0.00    0.00   90.26
23:54:36     all    0.00    0.00    7.38    0.00    0.00    3.05    0.00    0.00    0.00   89.57
23:54:37     all    0.52    0.00    6.19    0.00    0.00    2.84    0.00    0.00    0.00   90.46
23:54:38     all    0.00    0.00    6.43    0.00    0.00    2.83    0.00    0.00    0.00   90.75
23:54:39     all    0.00    0.00    6.92    0.00    0.00    2.82    0.00    0.00    0.00   90.26
23:54:40     all    0.00    0.00    7.20    0.00    0.00    2.83    0.00    0.00    0.00   89.97
23:54:41     all    0.26    0.00    7.18    0.00    0.00    2.82    0.00    0.00    0.00   89.74
23:54:42     all    0.51    0.00    7.34    0.00    0.00    2.78    0.00    0.00    0.00   89.37
