Linux 6.8.0-1061-aws (ip-10-42-1-92) 	08/02/26 	_x86_64_	(4 CPU)

21:02:35     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:02:36     all    1.76    0.00    0.76   96.73    0.00    0.00    0.00    0.00    0.00    0.76
21:02:37     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:02:38     all    1.02    0.00    0.00   98.98    0.00    0.00    0.00    0.00    0.00    0.00
21:02:39     all    1.01    0.00    0.50   98.49    0.00    0.00    0.00    0.00    0.00    0.00
21:02:40     all    1.01    0.00    0.50   98.49    0.00    0.00    0.00    0.00    0.00    0.00
21:02:41     all    1.26    0.00    0.25   98.49    0.00    0.00    0.00    0.00    0.00    0.00
21:02:42     all    0.75    0.00    0.75   98.49    0.00    0.00    0.00    0.00    0.00    0.00
21:02:43     all    1.02    0.00    0.00   98.98    0.00    0.00    0.00    0.00    0.00    0.00
21:02:44     all    1.01    0.00    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:02:45     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:02:46     all    1.01    0.00    0.50   98.49    0.00    0.00    0.00    0.00    0.00    0.00
21:02:47     all    0.76    0.00    0.51   98.73    0.00    0.00    0.00    0.00    0.00    0.00
21:02:48     all    1.26    0.00    0.25   98.49    0.00    0.00    0.00    0.00    0.00    0.00
21:02:49     all    1.50    0.00    0.50   97.99    0.00    0.00    0.00    0.00    0.00    0.00
21:02:50     all    1.26    0.00    0.25   98.49    0.00    0.00    0.00    0.00    0.00    0.00
21:02:51     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:02:52     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:02:53     all    0.76    0.00    0.50   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:02:54     all    1.50    0.00    0.25   98.25    0.00    0.00    0.00    0.00    0.00    0.00
21:02:55     all    0.51    0.00    0.76   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:02:56     all    1.26    0.00    0.00   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:02:57     all    1.25    0.00    0.50   98.25    0.00    0.00    0.00    0.00    0.00    0.00
21:02:58     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:02:59     all    1.01    0.00    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:00     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:01     all    1.25    0.00    0.50   98.25    0.00    0.00    0.00    0.00    0.00    0.00
21:03:02     all    0.76    0.00    0.00   99.24    0.00    0.00    0.00    0.00    0.00    0.00
21:03:03     all    0.76    0.00    0.76   98.48    0.00    0.00    0.00    0.00    0.00    0.00
21:03:04     all    1.01    0.00    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:05     all    1.25    0.00    0.50   98.25    0.00    0.00    0.00    0.00    0.00    0.00
21:03:06     all    0.51    0.00    0.51   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:07     all    1.26    0.00    0.25   98.49    0.00    0.00    0.00    0.00    0.00    0.00
21:03:08     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:03:09     all    1.26    0.00    0.25   98.49    0.00    0.00    0.00    0.00    0.00    0.00
21:03:10     all    0.51    0.00    0.25   99.24    0.00    0.00    0.00    0.00    0.00    0.00
21:03:11     all    1.00    0.00    0.50   98.50    0.00    0.00    0.00    0.00    0.00    0.00
21:03:12     all    1.26    0.00    0.00   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:03:13     all    0.51    0.00    0.25   99.24    0.00    0.00    0.00    0.00    0.00    0.00
21:03:14     all    1.01    0.00    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:15     all    0.76    0.00    0.00   99.24    0.00    0.00    0.00    0.00    0.00    0.00
21:03:16     all    1.51    0.00    0.25   98.24    0.00    0.00    0.00    0.00    0.00    0.00
21:03:17     all    1.50    0.00    0.50   98.00    0.00    0.00    0.00    0.00    0.00    0.00
21:03:18     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:03:19     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:20     all    1.26    0.00    0.00   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:03:21     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:22     all    0.75    0.00    0.75   98.49    0.00    0.00    0.00    0.00    0.00    0.00
21:03:23     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:03:24     all    1.01    0.00    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:25     all    1.51    0.00    0.00   98.49    0.00    0.00    0.00    0.00    0.00    0.00
21:03:26     all    0.76    0.00    0.51   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:03:27     all    1.50    0.00    0.25   98.25    0.00    0.00    0.00    0.00    0.00    0.00
21:03:28     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:29     all    1.26    0.00    0.50   98.24    0.00    0.00    0.00    0.00    0.00    0.00
21:03:30     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:03:31     all    1.26    0.00    0.00   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:03:32     all    0.76    0.00    0.51   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:03:33     all    1.01    0.00    0.50   98.49    0.00    0.00    0.00    0.00    0.00    0.00
21:03:34     all    0.76    0.00    0.00   99.24    0.00    0.00    0.00    0.00    0.00    0.00
21:03:35     all    1.50    0.00    0.75   97.74    0.00    0.00    0.00    0.00    0.00    0.00
21:03:36     all    1.01    0.00    0.50   98.49    0.00    0.00    0.00    0.00    0.00    0.00
21:03:37     all    0.51    0.00    0.00   99.49    0.00    0.00    0.00    0.00    0.00    0.00
21:03:38     all    1.26    0.00    0.50   98.24    0.00    0.00    0.00    0.00    0.00    0.00
21:03:39     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:40     all    1.01    0.00    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:41     all    1.00    0.00    0.75   98.25    0.00    0.00    0.00    0.00    0.00    0.00
21:03:42     all    1.50    0.00    0.50   97.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:43     all    0.51    0.00    0.25   99.24    0.00    0.00    0.00    0.00    0.00    0.00
21:03:44     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:03:45     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:46     all    1.26    0.00    0.25   98.49    0.00    0.00    0.00    0.00    0.00    0.00
21:03:47     all    1.25    0.00    0.75   97.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:48     all    0.25    0.00    0.25   99.49    0.00    0.00    0.00    0.00    0.00    0.00
21:03:49     all    1.52    0.00    0.25   98.23    0.00    0.00    0.00    0.00    0.00    0.00
21:03:50     all    1.26    0.00    0.75   97.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:51     all    1.51    0.00    0.50   97.99    0.00    0.00    0.00    0.00    0.00    0.00
21:03:52     all    1.02    0.00    0.25   98.73    0.00    0.00    0.00    0.00    0.00    0.00
21:03:53     all    1.26    0.00    0.50   98.24    0.00    0.00    0.00    0.00    0.00    0.00
21:03:54     all    1.26    0.00    0.50   98.24    0.00    0.00    0.00    0.00    0.00    0.00
21:03:55     all    1.01    0.00    0.50   98.49    0.00    0.00    0.00    0.00    0.00    0.00
21:03:56     all    0.76    0.00    0.51   98.74    0.00    0.00    0.00    0.00    0.00    0.00
21:03:57     all    0.51    0.00    0.00   99.49    0.00    0.00    0.00    0.00    0.00    0.00
21:03:58     all    1.25    0.00    0.50   98.25    0.00    0.00    0.00    0.00    0.00    0.00
21:03:59     all    1.01    0.00    0.76   98.24    0.00    0.00    0.00    0.00    0.00    0.00
21:04:00     all    2.01    0.00    0.25   74.69    0.00    0.00    0.00    0.00    0.00   23.06
21:04:01     all    1.01    0.00    0.76   98.24    0.00    0.00    0.00    0.00    0.00    0.00
21:04:02     all    0.76    0.00    0.51   98.73    0.00    0.00    0.00    0.00    0.00    0.00
