Linux 6.8.0-1061-aws (ip-10-42-1-92) 	08/02/26 	_x86_64_	(4 CPU)

14:24:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:24:55     all   10.89    0.00    2.03    0.00    0.00    0.25    0.00    0.00    0.00   86.84
14:24:56     all    9.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   89.95
14:24:57     all    9.34    0.00    0.51    0.00    0.00    0.76    0.00    0.00    0.00   89.39
14:24:58     all    8.12    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   90.86
14:24:59     all    8.86    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   90.63
14:25:00     all    9.27    0.00    0.75    0.25    0.00    0.50    0.00    0.00    0.00   89.22
14:25:01     all    8.82    0.00    0.76    0.50    0.00    0.50    0.00    0.00    0.00   89.42
14:25:02     all    9.82    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   89.17
14:25:03     all    9.07    0.00    0.76    0.00    0.00    0.50    0.00    0.00    0.00   89.67
14:25:04     all    9.57    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   89.92
14:25:05     all    8.88    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   89.85
14:25:06     all    8.29    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   90.45
14:25:07     all    9.30    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   89.95
14:25:08     all    9.55    0.00    0.50    0.00    0.00    0.75    0.00    0.00    0.00   89.20
14:25:09     all    9.14    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   90.61
14:25:10     all    9.60    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   89.39
14:25:11     all    9.05    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   89.70
14:25:12     all    8.82    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   89.67
14:25:13     all    9.57    0.00    0.76    0.00    0.00    0.50    0.00    0.00    0.00   89.17
14:25:14     all    9.39    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   90.10
14:25:15     all    9.77    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   88.97
14:25:16     all    9.09    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   89.90
14:25:17     all    8.79    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   89.95
14:25:18     all    9.32    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   89.92
14:25:19     all    8.82    0.00    0.76    0.00    0.00    0.50    0.00    0.00    0.00   89.92
14:25:20     all    8.88    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   90.61
