Linux 6.8.0-1061-aws (ip-10-42-1-92) 	08/02/26 	_x86_64_	(4 CPU)

16:28:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:28:56     all   67.08    0.00   11.88    0.00    0.00   14.60    0.00    0.00    0.00    6.44
16:28:57     all   71.18    0.00   10.53    0.00    0.00   18.30    0.00    0.00    0.00    0.00
16:28:58     all   70.47    0.00   10.92    0.00    0.00   18.36    0.00    0.00    0.00    0.25
16:28:59     all   71.32    0.00   10.72    0.00    0.00   17.96    0.00    0.00    0.00    0.00
16:29:00     all   71.43    0.00    9.52    0.00    0.00   19.05    0.00    0.00    0.00    0.00
16:29:01     all   71.18    0.00   10.28    0.00    0.00   18.55    0.00    0.00    0.00    0.00
16:29:02     all   70.18    0.00   10.78    0.00    0.00   19.05    0.00    0.00    0.00    0.00
16:29:03     all   69.42    0.00   10.78    0.00    0.00   19.80    0.00    0.00    0.00    0.00
16:29:04     all   72.00    0.00    9.50    0.00    0.00   18.25    0.00    0.00    0.00    0.25
16:29:05     all   72.07    0.00   10.47    0.00    0.00   17.46    0.00    0.00    0.00    0.00
16:29:06     all   71.14    0.00   10.95    0.00    0.00   17.91    0.00    0.00    0.00    0.00
16:29:07     all   74.00    0.00    8.50    0.00    0.00   16.75    0.00    0.00    0.00    0.75
16:29:08     all   74.94    0.00    8.52    0.00    0.00   16.54    0.00    0.00    0.00    0.00
16:29:09     all   73.32    0.00    9.73    0.00    0.00   16.96    0.00    0.00    0.00    0.00
16:29:10     all   75.75    0.00    8.25    0.00    0.00   16.00    0.00    0.00    0.00    0.00
16:29:11     all   74.19    0.00    9.77    0.00    0.00   16.04    0.00    0.00    0.00    0.00
16:29:12     all   76.12    0.00    8.46    0.00    0.00   15.17    0.00    0.00    0.00    0.25
16:29:13     all   73.63    0.00    9.45    0.00    0.00   16.67    0.00    0.00    0.00    0.25
16:29:14     all   75.19    0.00    9.02    0.00    0.00   15.79    0.00    0.00    0.00    0.00
16:29:15     all   74.19    0.00   10.03    0.00    0.00   15.79    0.00    0.00    0.00    0.00
16:29:16     all   74.81    0.00    9.23    0.00    0.00   15.96    0.00    0.00    0.00    0.00
16:29:17     all   73.57    0.00   10.22    0.00    0.00   16.21    0.00    0.00    0.00    0.00
16:29:18     all   75.00    0.00    9.00    0.00    0.00   16.00    0.00    0.00    0.00    0.00
16:29:19     all   74.25    0.00    9.25    0.00    0.00   16.50    0.00    0.00    0.00    0.00
16:29:20     all   73.43    0.00    9.27    0.00    0.00   17.29    0.00    0.00    0.00    0.00
16:29:21     all   74.38    0.00    9.45    0.00    0.00   16.17    0.00    0.00    0.00    0.00
16:29:22     all   75.44    0.00    8.27    0.00    0.00   16.29    0.00    0.00    0.00    0.00
16:29:23     all   74.44    0.00   10.03    0.00    0.00   15.54    0.00    0.00    0.00    0.00
16:29:24     all   75.44    0.00    8.52    0.00    0.00   16.04    0.00    0.00    0.00    0.00
16:29:25     all   75.25    0.00    8.25    0.00    0.00   16.50    0.00    0.00    0.00    0.00
16:29:26     all   74.63    0.00    9.20    0.00    0.00   16.17    0.00    0.00    0.00    0.00
16:29:27     all   74.00    0.00    8.75    0.00    0.00   17.25    0.00    0.00    0.00    0.00
16:29:28     all   74.69    0.00    9.27    0.00    0.00   16.04    0.00    0.00    0.00    0.00
16:29:29     all   72.64    0.00    9.95    0.00    0.00   17.41    0.00    0.00    0.00    0.00
16:29:30     all   72.93    0.00    9.27    0.00    0.00   17.79    0.00    0.00    0.00    0.00
16:29:31     all   73.68    0.00    9.52    0.00    0.00   16.79    0.00    0.00    0.00    0.00
16:29:32     all   75.00    0.00    8.50    0.00    0.00   16.50    0.00    0.00    0.00    0.00
16:29:33     all   73.63    0.00    9.45    0.00    0.00   16.92    0.00    0.00    0.00    0.00
16:29:34     all   72.86    0.00   10.05    0.00    0.00   16.83    0.00    0.00    0.00    0.25
