Linux 6.8.0-1061-aws (ip-10-42-1-92) 	08/02/26 	_x86_64_	(4 CPU)

17:57:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:57:21     all    9.07    0.00    1.76    0.00    0.00    0.25    0.00    0.00    0.00   88.92
17:57:22     all    7.07    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   91.67
17:57:23     all    6.53    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   92.46
17:57:24     all    6.87    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   92.62
17:57:25     all    7.34    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   92.41
17:57:26     all    7.77    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   90.98
17:57:27     all    7.09    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   92.15
17:57:28     all    7.59    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   91.65
17:57:29     all    7.81    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   91.44
17:57:30     all    8.02    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   91.23
17:57:31     all    8.35    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   90.89
17:57:32     all    7.30    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   91.94
17:57:33     all    7.79    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   91.21
17:57:34     all    6.58    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   92.66
17:57:35     all    7.79    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   91.21
17:57:36     all    7.81    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   91.44
17:57:37     all    6.87    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   92.62
17:57:38     all    7.54    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   91.21
17:57:39     all    8.04    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   91.71
17:57:40     all    8.08    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   90.91
17:57:41     all    8.08    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   91.16
17:57:42     all    8.08    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   91.16
17:57:43     all    8.25    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   91.00
17:57:44     all    7.14    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   92.60
17:57:45     all    7.54    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   90.95
17:57:46     all    7.36    0.00    0.00    0.00    0.00    0.00    0.25    0.00    0.00   92.39
17:57:47     all    7.09    0.00    0.76    0.00    0.00    0.51    0.00    0.00    0.00   91.65
17:57:48     all    6.85    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   92.64
17:57:49     all    7.85    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   91.90
17:57:50     all    7.07    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   91.92
17:57:51     all    7.29    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   91.46
17:57:52     all    6.87    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   93.13
17:57:53     all    6.85    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   92.89
17:57:54     all    7.98    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   90.77
17:57:55     all    7.07    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   92.68
17:57:56     all    7.54    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   91.46
17:57:57     all    6.84    0.00    0.00    0.00    0.00    0.76    0.00    0.00    0.00   92.41
17:57:58     all    8.33    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   91.41
17:57:59     all    7.50    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   91.25
17:58:00     all    8.02    0.00    0.00    0.25    0.00    0.75    0.00    0.00    0.00   90.98
17:58:01     all    7.38    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   92.11
17:58:02     all    6.62    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   92.62
17:58:03     all    8.29    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   91.46
17:58:04     all    6.31    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   92.68
17:58:05     all    7.32    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   91.92
17:58:06     all    7.04    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   91.96
17:58:07     all    6.85    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   92.64
17:58:08     all    6.82    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   92.17
17:58:09     all    7.32    0.00    0.00    0.00    0.00    0.51    0.00    0.00    0.00   92.17
17:58:10     all    7.79    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   91.21
17:58:11     all    6.85    0.00    0.00    0.00    0.00    0.51    0.00    0.00    0.00   92.64
17:58:12     all    8.08    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   91.16
17:58:13     all    7.09    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   91.90
17:58:14     all    7.58    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   91.92
17:58:15     all    7.30    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   91.69
17:58:16     all    7.79    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   91.46
17:58:17     all    7.12    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   92.37
17:58:18     all    7.05    0.00    0.76    0.00    0.00    0.50    0.00    0.00    0.00   91.69
17:58:19     all    7.32    0.00    0.25    0.00    0.00    0.51    0.00    0.00    0.00   91.92
17:58:20     all    7.09    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   92.15
17:58:21     all    7.81    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   91.18
17:58:22     all    6.78    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   92.46
17:58:23     all    7.30    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   91.94
17:58:24     all    7.02    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   92.23
17:58:25     all    7.09    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   92.41
17:58:26     all    6.60    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   92.89
17:58:27     all    7.32    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   92.42
17:58:28     all    7.52    0.00    0.50    0.25    0.00    0.50    0.00    0.00    0.00   91.23
17:58:29     all    7.30    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   92.19
17:58:30     all    7.14    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   92.60
17:58:31     all    7.30    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   92.19
17:58:32     all    7.11    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   92.39
17:58:33     all    7.75    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   91.50
17:58:34     all    6.84    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   92.15
17:58:35     all    7.05    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   92.44
17:58:36     all    7.29    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   91.96
17:58:37     all    7.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.93
17:58:38     all    6.82    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   92.68
17:58:39     all    7.02    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   92.48
17:58:40     all    6.35    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   93.40
17:58:41     all    6.82    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   92.42
17:58:42     all    7.04    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   92.46
17:58:43     all    7.09    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   92.41
17:58:44     all    6.80    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   92.44
