Linux 6.8.0-1061-aws (ip-10-42-1-92) 	08/02/26 	_x86_64_	(4 CPU)

15:21:28     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:21:29     all    8.35    0.00    2.28    0.00    0.00    0.76    0.00    0.00    0.00   88.61
15:21:30     all    6.06    0.00    1.01    0.00    0.00    1.26    0.00    0.00    0.00   91.67
15:21:31     all    6.62    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   92.37
15:21:32     all    6.60    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   91.88
15:21:33     all    5.79    0.00    1.26    0.00    0.00    0.76    0.00    0.00    0.00   92.19
15:21:34     all    7.30    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   91.18
15:21:35     all    6.65    0.00    0.26    0.00    0.00    0.26    0.00    0.00    0.00   92.84
15:21:36     all    6.30    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   91.69
15:21:37     all    7.07    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   91.41
15:21:38     all    7.07    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   91.16
15:21:39     all    6.84    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   91.65
15:21:40     all    6.58    0.00    1.27    0.00    0.00    0.76    0.00    0.00    0.00   91.39
15:21:41     all    6.58    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   91.39
15:21:42     all    6.62    0.00    1.02    0.25    0.00    0.51    0.00    0.00    0.00   91.60
15:21:43     all    6.80    0.00    0.76    0.00    0.00    1.01    0.00    0.00    0.00   91.44
15:21:44     all    6.63    0.00    0.77    0.00    0.00    0.26    0.00    0.00    0.00   92.35
15:21:45     all    6.85    0.00    1.02    0.00    0.00    0.51    0.00    0.00    0.00   91.62
15:21:46     all    6.58    0.00    0.76    0.00    0.00    1.27    0.00    0.00    0.00   91.39
15:21:47     all    7.12    0.00    1.02    0.00    0.00    0.51    0.00    0.00    0.00   91.35
15:21:48     all    6.38    0.00    0.51    0.00    0.00    0.77    0.00    0.00    0.00   92.35
15:21:49     all    7.54    0.00    1.01    0.00    0.00    1.51    0.00    0.00    0.00   89.95
15:21:50     all    7.07    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   91.41
15:21:51     all    6.38    0.00    0.77    0.00    0.00    0.77    0.00    0.00    0.00   92.09
15:21:52     all    7.04    0.00    1.51    0.00    0.00    0.75    0.00    0.00    0.00   90.70
15:21:53     all    7.34    0.00    0.25    0.00    0.00    1.01    0.00    0.00    0.00   91.39
15:21:54     all    6.08    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   92.15
15:21:55     all    8.00    0.00    1.25    0.00    0.00    0.50    0.00    0.00    0.00   90.25
15:21:56     all    6.36    0.00    0.76    0.00    0.00    1.02    0.00    0.00    0.00   91.86
