Linux 6.8.0-1061-aws (ip-10-42-1-92) 	08/02/26 	_x86_64_	(4 CPU)

22:40:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:40:32     all   11.53    0.00    2.26    0.00    0.00    0.50    0.00    0.00    0.00   85.71
22:40:33     all    9.34    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   89.65
22:40:34     all    9.37    0.00    0.25    0.00    0.00    0.76    0.00    0.00    0.00   89.62
22:40:35     all    8.84    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   89.90
22:40:36     all    9.07    0.00    1.01    0.00    0.00    0.76    0.00    0.00    0.00   89.17
22:40:37     all    9.55    0.00    0.75    0.25    0.00    0.00    0.00    0.00    0.00   89.45
22:40:38     all    8.82    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   89.67
22:40:39     all    9.67    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   89.82
22:40:40     all    9.25    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   89.25
22:40:41     all    8.88    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   90.10
22:40:42     all    9.30    0.00    1.01    0.00    0.00    0.75    0.00    0.00    0.00   88.94
22:40:43     all    8.88    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   90.36
22:40:44     all    9.80    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   89.20
22:40:45     all    9.50    0.00    0.75    0.00    0.00    0.75    0.00    0.00    0.00   89.00
22:40:46     all    9.11    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   90.13
22:40:47     all    9.57    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   89.42
22:40:48     all    9.55    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   89.20
22:40:49     all   10.03    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   88.97
22:40:50     all    8.88    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   90.36
22:40:51     all   10.05    0.00    0.50    0.00    0.00    0.75    0.00    0.00    0.00   88.69
22:40:52     all    9.34    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   89.65
22:40:53     all    9.57    0.00    0.76    0.00    0.00    0.50    0.00    0.00    0.00   89.17
22:40:54     all    9.09    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   89.90
22:40:55     all    9.07    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   89.67
22:40:56     all    9.30    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   89.45
22:40:57     all    9.09    0.00    0.00    0.00    0.00    0.76    0.00    0.00    0.00   90.15
