run_id,timestamp_utc,provider,region,paradigm,workload,rep,concurrency,tool,block_size,dataset_size_gb,warmup_s,duration_s,read_throughput_mbps,write_throughput_mbps,total_throughput_mbps,read_iops,write_iops,total_iops,lat_mean_ms,lat_p95_ms,lat_p99_ms,metadata_ops_per_s,cpu_util_pct,raw_artifact_path,raw_sha256,capacity_cost_usd_per_basis,egress_cost_usd_per_basis,total_cost_usd_per_basis,cost_basis_gb
azure-file-write-c16-r1,2026-08-03T18:34:06.647162+00:00,azure,,file,write,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-file-balanced-c16-r1,2026-08-03T18:34:10.872007+00:00,azure,,file,balanced,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-object-balanced-c16-r1,2026-08-03T18:34:14.925553+00:00,azure,,object,balanced,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-block-metadata-c16-r2,2026-08-03T18:34:18.966737+00:00,azure,,block,metadata,2,16,,4k,2,,,,,,,,,,,,,,,,,,,
azure-file-balanced-c16-r3,2026-08-03T18:34:23.229978+00:00,azure,,file,balanced,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-block-metadata-c16-r1,2026-08-03T18:34:27.444140+00:00,azure,,block,metadata,1,16,,4k,2,,,,,,,,,,,,,,,,,,,
azure-file-largeobj-c16-r2,2026-08-03T18:34:31.605563+00:00,azure,,file,largeobj,2,16,,16m,40,,,,,,,,,,,,,,,,,,,
azure-object-read-c16-r3,2026-08-03T18:34:35.737841+00:00,azure,,object,read,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-block-largeobj-c16-r1,2026-08-03T18:34:39.764576+00:00,azure,,block,largeobj,1,16,,16m,40,,,,,,,,,,,,,,,,,,,
azure-block-write-c16-r1,2026-08-03T18:34:43.968272+00:00,azure,,block,write,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-object-write-c16-r1,2026-08-03T18:34:48.085933+00:00,azure,,object,write,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-block-write-c16-r2,2026-08-03T18:34:52.176894+00:00,azure,,block,write,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-object-largeobj-c16-r3,2026-08-03T18:34:56.275076+00:00,azure,,object,largeobj,3,16,,16m,40,,,,,,,,,,,,,,,,,,,
azure-file-metadata-c16-r1,2026-08-03T18:35:00.400957+00:00,azure,,file,metadata,1,16,,4k,2,,,,,,,,,,,,,,,,,,,
azure-block-metadata-c16-r3,2026-08-03T18:35:04.768435+00:00,azure,,block,metadata,3,16,,4k,2,,,,,,,,,,,,,,,,,,,
azure-object-read-c16-r2,2026-08-03T18:35:08.900650+00:00,azure,,object,read,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-file-metadata-c16-r3,2026-08-03T18:35:13.069045+00:00,azure,,file,metadata,3,16,,4k,2,,,,,,,,,,,,,,,,,,,
azure-object-balanced-c16-r3,2026-08-03T18:35:17.177316+00:00,azure,,object,balanced,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-object-metadata-c16-r1,2026-08-03T18:35:21.349704+00:00,azure,,object,metadata,1,16,,4k,2,,,,,,,,,,,,,,,,,,,
azure-file-largeobj-c16-r3,2026-08-03T18:35:25.560151+00:00,azure,,file,largeobj,3,16,,16m,40,,,,,,,,,,,,,,,,,,,
azure-block-largeobj-c16-r2,2026-08-03T18:35:29.747769+00:00,azure,,block,largeobj,2,16,,16m,40,,,,,,,,,,,,,,,,,,,
azure-file-metadata-c16-r2,2026-08-03T18:35:33.921880+00:00,azure,,file,metadata,2,16,,4k,2,,,,,,,,,,,,,,,,,,,
azure-file-write-c16-r3,2026-08-03T18:35:38.022590+00:00,azure,,file,write,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-file-balanced-c16-r2,2026-08-03T18:35:42.106511+00:00,azure,,file,balanced,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-object-read-c16-r1,2026-08-03T18:35:46.165447+00:00,azure,,object,read,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-object-metadata-c16-r3,2026-08-03T18:35:50.252312+00:00,azure,,object,metadata,3,16,,4k,2,,,,,,,,,,,,,,,,,,,
azure-block-read-c16-r1,2026-08-03T18:35:54.357879+00:00,azure,,block,read,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-file-write-c16-r2,2026-08-03T18:35:58.388923+00:00,azure,,file,write,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-file-read-c16-r2,2026-08-03T18:36:02.529688+00:00,azure,,file,read,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-object-largeobj-c16-r2,2026-08-03T18:36:06.653748+00:00,azure,,object,largeobj,2,16,,16m,40,,,,,,,,,,,,,,,,,,,
azure-object-balanced-c16-r2,2026-08-03T18:36:10.786481+00:00,azure,,object,balanced,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-object-write-c16-r3,2026-08-03T18:36:14.868580+00:00,azure,,object,write,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-object-largeobj-c16-r1,2026-08-03T18:36:18.997034+00:00,azure,,object,largeobj,1,16,,16m,40,,,,,,,,,,,,,,,,,,,
azure-block-read-c16-r3,2026-08-03T18:36:23.175275+00:00,azure,,block,read,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-file-largeobj-c16-r1,2026-08-03T18:36:27.353061+00:00,azure,,file,largeobj,1,16,,16m,40,,,,,,,,,,,,,,,,,,,
azure-block-write-c16-r3,2026-08-03T18:36:31.379007+00:00,azure,,block,write,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-object-write-c16-r2,2026-08-03T18:36:35.507584+00:00,azure,,object,write,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-block-balanced-c16-r1,2026-08-03T18:36:39.599873+00:00,azure,,block,balanced,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-block-balanced-c16-r3,2026-08-03T18:36:43.733206+00:00,azure,,block,balanced,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-block-largeobj-c16-r3,2026-08-03T18:36:47.812441+00:00,azure,,block,largeobj,3,16,,16m,40,,,,,,,,,,,,,,,,,,,
azure-file-read-c16-r1,2026-08-03T18:36:51.816999+00:00,azure,,file,read,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-file-read-c16-r3,2026-08-03T18:36:55.906764+00:00,azure,,file,read,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-block-read-c16-r2,2026-08-03T18:36:59.976879+00:00,azure,,block,read,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-block-balanced-c16-r2,2026-08-03T18:37:04.163571+00:00,azure,,block,balanced,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-object-metadata-c16-r2,2026-08-03T18:37:08.527493+00:00,azure,,object,metadata,2,16,,4k,2,,,,,,,,,,,,,,,,,,,
azure-file-write-c16-r1,2026-08-03T18:53:26.873373+00:00,azure,,file,write,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-file-balanced-c16-r1,2026-08-03T18:53:32.145812+00:00,azure,,file,balanced,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-file-write-c16-r1,2026-08-03T18:56:10.154757+00:00,azure,,file,write,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-file-balanced-c16-r1,2026-08-03T18:56:39.306742+00:00,azure,,file,balanced,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-object-balanced-c16-r1,2026-08-03T18:57:06.596582+00:00,azure,,object,balanced,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-block-metadata-c16-r2,2026-08-03T18:57:33.239243+00:00,azure,,block,metadata,2,16,,4k,2,,,,,,,,,,,,,,,,,,,
azure-file-balanced-c16-r3,2026-08-03T18:58:00.442414+00:00,azure,,file,balanced,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
azure-file-write-c16-r1,2026-08-03T19:08:31.935514+00:00,azure,southafricanorth,file,write,1,16,elbencho,64k,20,60,900,,207.0,207.0,,3317.0,3317.0,4.819,,9.742,,27.1,results/raw/azure-file-write-c16-r1.elbencho.csv,e4ff51c1641bb2d7ef0254044b3d347cfe8762bcb52641f4e27ac205043e2bba,8.3903,,8.3903,100.0
azure-file-balanced-c16-r1,2026-08-03T19:25:11.770508+00:00,azure,southafricanorth,file,balanced,1,16,elbencho,64k,20,60,900,183.0,158.0,341.0,2940.0,2533.0,5473.0,5.542,,16.631,,18.1,results/raw/azure-file-balanced-c16-r1.elbencho.csv,1cd70f3e88af21ca623b3ca93d0b1d649a4567dbc0bdad8f7ead42efdaa785f2,8.3903,,8.3903,100.0
azure-object-balanced-c16-r1,2026-08-03T19:27:42.442488+00:00,azure,southafricanorth,object,balanced,1,16,azure_blob_sdk,64k,20,60,900,,,,,,,,,,,,,,2.1194,,2.1194,100.0
azure-block-metadata-c16-r2,2026-08-03T19:33:09.772802+00:00,azure,southafricanorth,block,metadata,2,16,elbencho,4k,2,60,900,,,,,,,0.344,,24.093,44859.7,91.7,results/raw/azure-block-metadata-c16-r2.elbencho.csv,0271d910a4c5565fd3d757003ca65a8d431a82893d450ef10ca411b9213bfe3b,12.0,,12.0,100.0
azure-file-balanced-c16-r3,2026-08-03T19:40:20.024269+00:00,azure,southafricanorth,file,balanced,3,16,elbencho,64k,20,60,900,242.0,207.0,449.0,3884.0,3316.0,7200.0,4.469,,9.742,,23.7,results/raw/azure-file-balanced-c16-r3.elbencho.csv,d88c0d1955c91be42d5c2458f3df4a7dce139fcb4ba1d3dbf9259c750a745581,8.3903,,8.3903,100.0
azure-block-metadata-c16-r1,2026-08-03T19:45:45.619716+00:00,azure,southafricanorth,block,metadata,1,16,elbencho,4k,2,60,900,,,,,,,0.337,,28.236,46274.6,92.4,results/raw/azure-block-metadata-c16-r1.elbencho.csv,55fd3d0fa30f6faec09b8db6d42b6d8fa1f739b2a0372582d4d4138a2bc0c6aa,12.0,,12.0,100.0
azure-file-largeobj-c16-r2,2026-08-03T19:55:38.376923+00:00,azure,southafricanorth,file,largeobj,2,16,elbencho,16m,40,60,900,293.0,,293.0,18.0,,18.0,854.879,,1482.91,,13.1,results/raw/azure-file-largeobj-c16-r2.elbencho.csv,d5f53111f58c20c728303ab4c10e7b8136977c789f2ca35c702250e9796aec37,8.3903,,8.3903,100.0
azure-object-read-c16-r3,2026-08-03T19:58:17.392588+00:00,azure,southafricanorth,object,read,3,16,azure_blob_sdk,64k,20,60,900,,,,,,,,,,,,,,2.1194,,2.1194,100.0
azure-block-largeobj-c16-r1,2026-08-03T20:12:39.805594+00:00,azure,southafricanorth,block,largeobj,1,16,elbencho,16m,40,60,900,136.0,,136.0,8.0,,8.0,1874.174,,2965.821,,96.8,results/raw/azure-block-largeobj-c16-r1.elbencho.csv,d85e667e095eefbefe936c4db212c78e3567f426b0e0693d3099ed1ccf206541,12.0,,12.0,100.0
azure-block-write-c16-r1,2026-08-03T20:27:55.507764+00:00,azure,southafricanorth,block,write,1,16,elbencho,64k,20,60,900,,28.0,28.0,,463.0,463.0,33.816,,77.936,,31.2,results/raw/azure-block-write-c16-r1.elbencho.csv,54369e3aef3b31aa4ac10c0eae17e6d5c946e8d7084048d8de3278eb19203dd4,12.0,,12.0,100.0
azure-object-write-c16-r1,2026-08-03T20:30:43.167573+00:00,azure,southafricanorth,object,write,1,16,azure_blob_sdk,64k,20,60,900,,,,,,,,,,,,,,2.1194,,2.1194,100.0
azure-block-write-c16-r2,2026-08-03T20:46:20.979556+00:00,azure,southafricanorth,block,write,2,16,elbencho,64k,20,60,900,,28.0,28.0,,455.0,455.0,34.524,,77.936,,31.2,results/raw/azure-block-write-c16-r2.elbencho.csv,6aef07a675203df72e3500f96a704ce33830c237b7820831ce6bdc47b17f255f,12.0,,12.0,100.0
azure-object-largeobj-c16-r3,2026-08-03T20:49:01.078024+00:00,azure,southafricanorth,object,largeobj,3,16,azure_blob_sdk,16m,40,60,900,,,,,,,,,,,,,,2.1194,,2.1194,100.0
azure-file-metadata-c16-r1,2026-08-03T21:12:58.646985+00:00,azure,southafricanorth,file,metadata,1,16,elbencho,4k,2,60,900,,,,,,,,,,,,,,8.3903,,8.3903,100.0
azure-block-metadata-c16-r3,2026-08-03T21:17:54.265806+00:00,azure,southafricanorth,block,metadata,3,16,elbencho,4k,2,60,900,,,,,,,0.286,,28.239,52853.3,86.4,results/raw/azure-block-metadata-c16-r3.elbencho.csv,ca776b7289442b6896a84e60b551a883adf0cfabcbd651e5df7017ab284d851f,12.0,,12.0,100.0
azure-object-read-c16-r2,2026-08-03T21:20:33.516494+00:00,azure,southafricanorth,object,read,2,16,azure_blob_sdk,64k,20,60,900,,,,,,,,,,,,,,2.1194,,2.1194,100.0
azure-file-metadata-c16-r3,2026-08-03T21:44:40.885187+00:00,azure,southafricanorth,file,metadata,3,16,elbencho,4k,2,60,900,,,,,,,,,,,,,,8.3903,,8.3903,100.0
azure-object-balanced-c16-r3,2026-08-03T21:47:14.978218+00:00,azure,southafricanorth,object,balanced,3,16,azure_blob_sdk,64k,20,60,900,,,,,,,,,,,,,,2.1194,,2.1194,100.0
azure-object-metadata-c16-r1,2026-08-03T21:49:46.385096+00:00,azure,southafricanorth,object,metadata,1,16,azure_blob_sdk,4k,2,60,900,,,,,,,,,,,,,,2.1194,,2.1194,100.0
azure-file-largeobj-c16-r3,2026-08-03T21:59:30.549115+00:00,azure,southafricanorth,file,largeobj,3,16,elbencho,16m,40,60,900,299.0,,299.0,18.0,,18.0,836.29,,1763.488,,13.9,results/raw/azure-file-largeobj-c16-r3.elbencho.csv,91fdf214b8fe5475cb3f036495e8551cf68a37c7a86826158373b0900392964f,8.3903,,8.3903,100.0
azure-block-largeobj-c16-r2,2026-08-03T22:14:21.697043+00:00,azure,southafricanorth,block,largeobj,2,16,elbencho,16m,40,60,900,111.0,,111.0,6.0,,6.0,2297.863,,2965.821,,97.5,results/raw/azure-block-largeobj-c16-r2.elbencho.csv,270d55321f0ae9b81767063b65bb0d6e6111c42edffc393ee172091d8a7e499d,12.0,,12.0,100.0
azure-file-metadata-c16-r2,2026-08-03T22:38:26.225422+00:00,azure,southafricanorth,file,metadata,2,16,elbencho,4k,2,60,900,,,,,,,,,,,,,,8.3903,,8.3903,100.0
azure-file-write-c16-r3,2026-08-03T22:44:12.362876+00:00,azure,southafricanorth,file,write,3,16,elbencho,64k,20,60,900,,207.0,207.0,,3322.0,3322.0,4.811,,9.742,,25.4,results/raw/azure-file-write-c16-r3.elbencho.csv,1baba0622a4e11aa70ca729b222e12f9cfb7b9a992c4dca3b54f8786831c63a0,8.3903,,8.3903,100.0
azure-file-balanced-c16-r2,2026-08-03T22:51:25.401761+00:00,azure,southafricanorth,file,balanced,2,16,elbencho,64k,20,60,900,241.0,207.0,448.0,3869.0,3323.0,7192.0,4.471,,9.742,,23.3,results/raw/azure-file-balanced-c16-r2.elbencho.csv,661efbc56c13d4586480bc70107b78316dfff8dd1afdb863b4cca3a371accf96,8.3903,,8.3903,100.0
azure-object-read-c16-r1,2026-08-03T22:54:01.120467+00:00,azure,southafricanorth,object,read,1,16,azure_blob_sdk,64k,20,60,900,,,,,,,,,,,,,,2.1194,,2.1194,100.0
azure-object-metadata-c16-r3,2026-08-03T22:56:36.501827+00:00,azure,southafricanorth,object,metadata,3,16,azure_blob_sdk,4k,2,60,900,,,,,,,,,,,,,,2.1194,,2.1194,100.0
azure-block-read-c16-r1,2026-08-03T23:21:10.813771+00:00,azure,southafricanorth,block,read,1,16,elbencho,64k,20,60,900,38.0,,38.0,612.0,,612.0,26.097,,65.536,,98.2,results/raw/azure-block-read-c16-r1.elbencho.csv,d0d78cccf9accbd6fd50d518615a1827fdf84aed1e8ba3e565890b6478628dff,12.0,,12.0,100.0
azure-file-write-c16-r2,2026-08-03T23:26:59.183425+00:00,azure,southafricanorth,file,write,2,16,elbencho,64k,20,60,900,,200.0,200.0,,3202.0,3202.0,4.994,,11.585,,23.2,results/raw/azure-file-write-c16-r2.elbencho.csv,355da175a49f97855e46d1ef83647bc0b15c0aac873a37ed34effa12f06be1a3,8.3903,,8.3903,100.0
azure-file-read-c16-r2,2026-08-03T23:34:13.125184+00:00,azure,southafricanorth,file,read,2,16,elbencho,64k,20,60,900,240.0,,240.0,3847.0,,3847.0,4.155,,9.742,,17.5,results/raw/azure-file-read-c16-r2.elbencho.csv,d1eb5e91b67474c4999c0a27c448dfc6e8ed86fe6aa3cd8c339d7006fb76dad0,8.3903,,8.3903,100.0
