azure-file-write-c16-r1: no billing row for ('azure', 'file', '') -> cost blank
azure-file-balanced-c16-r1: no billing row for ('azure', 'file', '') -> cost blank
azure-object-balanced-c16-r1: no billing row for ('azure', 'object', '') -> cost blank
azure-block-metadata-c16-r2: no billing row for ('azure', 'block', '') -> cost blank
azure-file-balanced-c16-r3: no billing row for ('azure', 'file', '') -> cost blank
azure-block-metadata-c16-r1: no billing row for ('azure', 'block', '') -> cost blank
azure-file-largeobj-c16-r2: no billing row for ('azure', 'file', '') -> cost blank
azure-object-read-c16-r3: no billing row for ('azure', 'object', '') -> cost blank
azure-block-largeobj-c16-r1: no billing row for ('azure', 'block', '') -> cost blank
azure-block-write-c16-r1: no billing row for ('azure', 'block', '') -> cost blank
azure-object-write-c16-r1: no billing row for ('azure', 'object', '') -> cost blank
azure-block-write-c16-r2: no billing row for ('azure', 'block', '') -> cost blank
azure-object-largeobj-c16-r3: no billing row for ('azure', 'object', '') -> cost blank
azure-file-metadata-c16-r1: no billing row for ('azure', 'file', '') -> cost blank
azure-block-metadata-c16-r3: no billing row for ('azure', 'block', '') -> cost blank
azure-object-read-c16-r2: no billing row for ('azure', 'object', '') -> cost blank
azure-file-metadata-c16-r3: no billing row for ('azure', 'file', '') -> cost blank
azure-object-balanced-c16-r3: no billing row for ('azure', 'object', '') -> cost blank
azure-object-metadata-c16-r1: no billing row for ('azure', 'object', '') -> cost blank
azure-file-largeobj-c16-r3: no billing row for ('azure', 'file', '') -> cost blank
azure-block-largeobj-c16-r2: no billing row for ('azure', 'block', '') -> cost blank
azure-file-metadata-c16-r2: no billing row for ('azure', 'file', '') -> cost blank
azure-file-write-c16-r3: no billing row for ('azure', 'file', '') -> cost blank
azure-file-balanced-c16-r2: no billing row for ('azure', 'file', '') -> cost blank
azure-object-read-c16-r1: no billing row for ('azure', 'object', '') -> cost blank
azure-object-metadata-c16-r3: no billing row for ('azure', 'object', '') -> cost blank
azure-block-read-c16-r1: no billing row for ('azure', 'block', '') -> cost blank
azure-file-write-c16-r2: no billing row for ('azure', 'file', '') -> cost blank
azure-file-read-c16-r2: no billing row for ('azure', 'file', '') -> cost blank
azure-object-largeobj-c16-r2: no billing row for ('azure', 'object', '') -> cost blank
azure-object-balanced-c16-r2: no billing row for ('azure', 'object', '') -> cost blank
azure-object-write-c16-r3: no billing row for ('azure', 'object', '') -> cost blank
azure-object-largeobj-c16-r1: no billing row for ('azure', 'object', '') -> cost blank
azure-block-read-c16-r3: no billing row for ('azure', 'block', '') -> cost blank
azure-file-largeobj-c16-r1: no billing row for ('azure', 'file', '') -> cost blank
azure-block-write-c16-r3: no billing row for ('azure', 'block', '') -> cost blank
azure-object-write-c16-r2: no billing row for ('azure', 'object', '') -> cost blank
azure-block-balanced-c16-r1: no billing row for ('azure', 'block', '') -> cost blank
azure-block-balanced-c16-r3: no billing row for ('azure', 'block', '') -> cost blank
azure-block-largeobj-c16-r3: no billing row for ('azure', 'block', '') -> cost blank
azure-file-read-c16-r1: no billing row for ('azure', 'file', '') -> cost blank
azure-file-read-c16-r3: no billing row for ('azure', 'file', '') -> cost blank
azure-block-read-c16-r2: no billing row for ('azure', 'block', '') -> cost blank
azure-block-balanced-c16-r2: no billing row for ('azure', 'block', '') -> cost blank
azure-object-metadata-c16-r2: no billing row for ('azure', 'object', '') -> cost blank
azure-file-write-c16-r1: no billing row for ('azure', 'file', '') -> cost blank
azure-file-balanced-c16-r1: no billing row for ('azure', 'file', '') -> cost blank
azure-file-write-c16-r1: no billing row for ('azure', 'file', '') -> cost blank
azure-file-balanced-c16-r1: no billing row for ('azure', 'file', '') -> cost blank
azure-object-balanced-c16-r1: no billing row for ('azure', 'object', '') -> cost blank
azure-block-metadata-c16-r2: no billing row for ('azure', 'block', '') -> cost blank
azure-file-balanced-c16-r3: no billing row for ('azure', 'file', '') -> cost blank
azure-object-balanced-c16-r1: no billing row for ('azure', 'object', '') -> cost blank
azure-object-read-c16-r3: no billing row for ('azure', 'object', '') -> cost blank
azure-object-write-c16-r1: no billing row for ('azure', 'object', '') -> cost blank
azure-object-largeobj-c16-r3: no billing row for ('azure', 'object', '') -> cost blank
azure-file-metadata-c16-r1: no billing row for ('azure', 'file', '') -> cost blank
azure-object-read-c16-r2: no billing row for ('azure', 'object', '') -> cost blank
azure-file-metadata-c16-r3: no billing row for ('azure', 'file', '') -> cost blank
azure-object-balanced-c16-r3: no billing row for ('azure', 'object', '') -> cost blank
azure-object-metadata-c16-r1: no billing row for ('azure', 'object', '') -> cost blank
azure-file-metadata-c16-r2: no billing row for ('azure', 'file', '') -> cost blank
azure-object-read-c16-r1: no billing row for ('azure', 'object', '') -> cost blank
azure-object-metadata-c16-r3: no billing row for ('azure', 'object', '') -> cost blank
azure-object-largeobj-c16-r2: no billing row for ('azure', 'object', '') -> cost blank
azure-object-balanced-c16-r2: no billing row for ('azure', 'object', '') -> cost blank
azure-object-write-c16-r3: no billing row for ('azure', 'object', '') -> cost blank
azure-object-largeobj-c16-r1: no billing row for ('azure', 'object', '') -> cost blank
azure-object-write-c16-r2: no billing row for ('azure', 'object', '') -> cost blank
azure-block-balanced-c16-r1: no billing row for ('azure', 'block', '') -> cost blank
azure-object-metadata-c16-r2: no billing row for ('azure', 'object', '') -> cost blank
