Linux 6.8.0-1062-azure (csb-bench-host-azure) 	08/05/26 	_x86_64_	(4 CPU)

16:08:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:08:24     all    1.26    0.00    1.01   96.98    0.00    0.00    0.00    0.00    0.00    0.75
16:08:25     all    0.75    0.00    0.25   98.75    0.00    0.25    0.00    0.00    0.00    0.00
16:08:26     all    0.75    0.00    0.50   98.49    0.00    0.25    0.00    0.00    0.00    0.00
16:08:27     all    0.75    0.00    0.50   98.75    0.00    0.00    0.00    0.00    0.00    0.00
16:08:28     all    0.51    0.00    0.00   99.24    0.00    0.25    0.00    0.00    0.00    0.00
16:08:29     all    0.25    0.00    0.25   99.49    0.00    0.00    0.00    0.00    0.00    0.00
16:08:30     all    0.75    0.00    0.75   98.25    0.00    0.25    0.00    0.00    0.00    0.00
16:08:31     all    0.51    0.00    0.00   99.49    0.00    0.00    0.00    0.00    0.00    0.00
16:08:32     all    0.50    0.00    0.50   98.99    0.00    0.00    0.00    0.00    0.00    0.00
16:08:33     all    1.00    0.00    0.50   98.25    0.00    0.25    0.00    0.00    0.00    0.00
16:08:34     all    0.51    0.00    0.00   99.49    0.00    0.00    0.00    0.00    0.00    0.00
16:08:35     all    0.75    0.00    0.25   98.75    0.00    0.25    0.00    0.00    0.00    0.00
16:08:36     all    0.50    0.00    0.75   98.49    0.00    0.25    0.00    0.00    0.00    0.00
16:08:37     all    1.00    0.00    0.25   98.75    0.00    0.00    0.00    0.00    0.00    0.00
16:08:38     all    1.00    0.00    0.50   98.25    0.00    0.25    0.00    0.00    0.00    0.00
16:08:39     all    0.51    0.00    0.25   99.24    0.00    0.00    0.00    0.00    0.00    0.00
16:08:40     all    1.00    0.00    0.75   98.01    0.00    0.25    0.00    0.00    0.00    0.00
16:08:41     all    0.51    0.00    0.00   99.49    0.00    0.00    0.00    0.00    0.00    0.00
16:08:42     all    1.00    0.00    0.50   98.51    0.00    0.00    0.00    0.00    0.00    0.00
16:08:43     all    0.50    0.00    0.50   98.74    0.00    0.25    0.00    0.00    0.00    0.00
16:08:44     all    1.00    0.00    0.50   98.25    0.00    0.25    0.00    0.00    0.00    0.00
16:08:45     all    0.75    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
16:08:46     all    0.75    0.00    0.50   98.50    0.00    0.25    0.00    0.00    0.00    0.00
16:08:47     all    0.51    0.00    0.00   99.49    0.00    0.00    0.00    0.00    0.00    0.00
16:08:48     all    0.75    0.00    0.50   98.50    0.00    0.25    0.00    0.00    0.00    0.00
16:08:49     all    0.51    0.00    0.25   99.24    0.00    0.00    0.00    0.00    0.00    0.00
16:08:50     all    1.00    0.00    0.75   98.25    0.00    0.00    0.00    0.00    0.00    0.00
16:08:51     all    0.50    0.00    0.25   98.99    0.00    0.25    0.00    0.00    0.00    0.00
16:08:52     all    1.25    0.00    0.50   98.25    0.00    0.00    0.00    0.00    0.00    0.00
16:08:53     all    1.00    0.00    0.25   98.50    0.00    0.25    0.00    0.00    0.00    0.00
16:08:54     all    0.25    0.00    0.76   98.99    0.00    0.00    0.00    0.00    0.00    0.00
16:08:55     all    0.75    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
16:08:56     all    0.75    0.00    0.50   98.49    0.00    0.25    0.00    0.00    0.00    0.00
16:08:57     all    0.50    0.00    0.75   98.75    0.00    0.00    0.00    0.00    0.00    0.00
16:08:58     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
16:08:59     all    0.25    0.00    0.50   98.99    0.00    0.25    0.00    0.00    0.00    0.00
16:09:00     all    1.25    0.00    0.25   98.50    0.00    0.00    0.00    0.00    0.00    0.00
16:09:01     all    0.50    0.00    0.50   98.99    0.00    0.00    0.00    0.00    0.00    0.00
16:09:02     all    0.75    0.00    0.25   98.75    0.00    0.25    0.00    0.00    0.00    0.00
16:09:03     all    0.50    0.00    0.25   98.99    0.00    0.25    0.00    0.00    0.00    0.00
16:09:04     all    1.00    0.00    0.50   98.50    0.00    0.00    0.00    0.00    0.00    0.00
16:09:05     all    0.25    0.00    0.50   98.99    0.00    0.25    0.00    0.00    0.00    0.00
16:09:06     all    1.00    0.00    0.50   98.50    0.00    0.00    0.00    0.00    0.00    0.00
16:09:07     all    1.00    0.00    1.00   96.52    0.00    0.25    0.00    0.00    0.00    1.24
16:09:08     all    0.51    0.00    0.25   98.99    0.00    0.25    0.00    0.00    0.00    0.00
16:09:09     all    0.50    0.00    0.50   99.00    0.00    0.00    0.00    0.00    0.00    0.00
16:09:10     all    0.75    0.00    0.50   98.50    0.00    0.25    0.00    0.00    0.00    0.00
16:09:11     all    0.51    0.00    0.25   99.24    0.00    0.00    0.00    0.00    0.00    0.00
16:09:12     all    1.00    0.00    0.50   98.50    0.00    0.00    0.00    0.00    0.00    0.00
16:09:13     all    0.75    0.00    0.50   98.50    0.00    0.25    0.00    0.00    0.00    0.00
16:09:14     all    0.51    0.00    0.00   99.49    0.00    0.00    0.00    0.00    0.00    0.00
16:09:15     all    0.75    0.00    0.75   98.26    0.00    0.25    0.00    0.00    0.00    0.00
16:09:16     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
16:09:17     all    0.75    0.00    0.50   98.49    0.00    0.25    0.00    0.00    0.00    0.00
16:09:18     all    1.00    0.00    0.25   98.50    0.00    0.25    0.00    0.00    0.00    0.00
16:09:19     all    0.75    0.00    0.50   98.74    0.00    0.00    0.00    0.00    0.00    0.00
16:09:20     all    0.51    0.00    0.76   98.74    0.00    0.00    0.00    0.00    0.00    0.00
16:09:21     all    1.00    0.00    0.00   98.75    0.00    0.25    0.00    0.00    0.00    0.00
16:09:22     all    1.01    0.00    1.26   97.49    0.00    0.25    0.00    0.00    0.00    0.00
16:09:23     all    0.50    0.00    0.25   98.99    0.00    0.25    0.00    0.00    0.00    0.00
16:09:24     all    1.00    0.00    0.50   83.46    0.00    0.00    0.00    0.00    0.00   15.04
16:09:25     all    0.50    0.00    0.50   58.79    0.00    0.00    0.00    0.00    0.00   40.20
16:09:26     all    0.76    0.00    0.76   28.86    0.00    0.00    0.00    0.00    0.00   69.62
16:09:27     all    0.51    0.00    1.26   25.76    0.00    0.00    0.00    0.00    0.00   72.47
16:09:28     all    0.51    0.00    0.76   25.76    0.00    0.00    0.00    0.00    0.00   72.98
16:09:29     all    0.25    0.00    1.01   25.82    0.00    0.00    0.00    0.00    0.00   72.91
16:09:30     all    0.75    0.00    1.25   24.44    0.00    0.00    0.00    0.00    0.00   73.57
16:09:31     all    0.51    0.00    0.76   24.05    0.00    0.00    0.00    0.00    0.00   74.68
16:09:32     all    0.50    0.00    1.26   23.62    0.00    0.00    0.00    0.00    0.00   74.62
16:09:33     all    0.50    0.00    1.00   23.81    0.00    0.00    0.00    0.00    0.00   74.69
16:09:34     all    0.50    0.00    1.01   23.93    0.00    0.00    0.00    0.00    0.00   74.56
16:09:35     all    0.50    0.00    0.76   23.68    0.00    0.00    0.00    0.00    0.00   75.06
16:09:36     all    0.76    0.00    1.01   23.74    0.00    0.25    0.00    0.00    0.00   74.24
16:09:37     all    0.50    0.00    1.00   23.81    0.00    0.00    0.00    0.00    0.00   74.69
16:09:38     all    1.00    0.00    1.00   23.56    0.00    0.00    0.00    0.00    0.00   74.44
16:09:39     all    0.50    0.00    1.25   23.81    0.00    0.00    0.00    0.00    0.00   74.44
16:09:40     all    0.25    0.00    0.76   23.86    0.00    0.00    0.00    0.00    0.00   75.13
16:09:41     all    0.50    0.00    1.01   24.18    0.00    0.00    0.00    0.00    0.00   74.31
16:09:42     all    0.25    0.00    0.76   24.05    0.00    0.00    0.00    0.00    0.00   74.94
