Linux 6.8.0-1062-azure (csb-bench-host-azure) 	08/03/26 	_x86_64_	(4 CPU)

19:41:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:41:56     all    8.75    0.00   90.25    0.00    0.00    0.00    0.00    0.00    0.00    1.00
19:41:57     all    8.31    0.00   91.69    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:41:58     all    4.50    0.00   48.50   11.00    0.00    0.25    0.00    0.00    0.00   35.75
19:41:59     all    0.25    0.00    1.00   84.00    0.00    0.00    0.00    0.00    0.00   14.75
19:42:00     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:01     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:42:02     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:03     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:04     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:05     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:42:06     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:42:07     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:08     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:42:09     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:42:10     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:42:11     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:42:12     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:42:13     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:14     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:15     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:42:16     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:42:17     all    0.25    0.00    0.25   99.50    0.00    0.00    0.00    0.00    0.00    0.00
19:42:18     all    0.00    0.00    0.50   99.25    0.00    0.25    0.00    0.00    0.00    0.00
19:42:19     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:20     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:21     all    0.25    0.00    0.75   98.76    0.00    0.25    0.00    0.00    0.00    0.00
19:42:22     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:23     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:24     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:42:25     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
19:42:26     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:27     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:42:28     all    4.52    0.00   44.22   51.26    0.00    0.00    0.00    0.00    0.00    0.00
19:42:29     all    9.25    0.00   90.50    0.00    0.00    0.25    0.00    0.00    0.00    0.00
19:42:30     all    8.54    0.00   91.46    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:31     all    8.79    0.00   91.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:32     all    8.61    0.00   91.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:33     all    2.01    0.00   19.10   17.84    0.00    0.25    0.00    0.00    0.00   60.80
19:42:34     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:42:35     all    0.25    0.00    0.25   99.50    0.00    0.00    0.00    0.00    0.00    0.00
19:42:36     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:37     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:38     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:39     all    0.25    0.00    0.50   99.00    0.00    0.25    0.00    0.00    0.00    0.00
19:42:40     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:42:41     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:42     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:42:43     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:44     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:45     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:46     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:42:47     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:42:48     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:49     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
19:42:50     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:42:51     all    0.25    0.00    0.25   99.50    0.00    0.00    0.00    0.00    0.00    0.00
19:42:52     all    0.00    0.00    0.25   99.50    0.00    0.25    0.00    0.00    0.00    0.00
19:42:53     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:42:54     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:55     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:42:56     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:42:57     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:42:58     all    7.52    0.00   82.46   10.03    0.00    0.00    0.00    0.00    0.00    0.00
19:42:59     all    8.50    0.00   91.25    0.00    0.00    0.25    0.00    0.00    0.00    0.00
19:43:00     all    8.77    0.00   91.23    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:01     all    8.56    0.00   91.44    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:02     all    7.32    0.00   75.00    3.03    0.00    0.00    0.00    0.00    0.00   14.65
19:43:03     all    0.00    0.00    1.25   52.75    0.00    0.25    0.00    0.00    0.00   45.75
19:43:04     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:05     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:06     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:43:07     all    0.00    0.00    0.50   99.26    0.00    0.25    0.00    0.00    0.00    0.00
19:43:08     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:09     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:10     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:11     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:43:12     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:43:13     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:43:14     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:15     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:16     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:43:17     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:43:18     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:19     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:20     all    0.25    0.00    0.74   99.01    0.00    0.00    0.00    0.00    0.00    0.00
19:43:21     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:43:22     all    0.00    0.00    0.75   99.00    0.00    0.25    0.00    0.00    0.00    0.00
19:43:23     all    6.73    0.00   64.34   28.93    0.00    0.00    0.00    0.00    0.00    0.00
19:43:24     all    8.06    0.00   91.94    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:25     all    8.06    0.00   91.94    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:26     all    8.61    0.00   91.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:27     all    8.06    0.00   89.42    0.00    0.00    0.00    0.00    0.00    0.00    2.52
19:43:28     all   34.85    0.00   58.84    0.00    0.00    0.00    0.00    0.00    0.00    6.31
19:43:29     all   38.10    0.00   61.15    0.00    0.00    0.50    0.00    0.00    0.00    0.25
19:43:30     all    2.74    0.00    3.99   91.77    0.00    0.00    0.00    0.00    0.00    1.50
19:43:31     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:32     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:43:33     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:34     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:35     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:43:36     all    0.25    0.00    0.25   99.50    0.00    0.00    0.00    0.00    0.00    0.00
19:43:37     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:38     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:43:39     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
19:43:40     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:43:41     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:43:42     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:43     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:43:44     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:43:45     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:46     all    8.04    0.00   77.14   12.81    0.00    0.50    0.00    0.00    0.00    1.51
19:43:47     all    9.77    0.00   88.22    0.00    0.00    0.00    0.00    0.00    0.00    2.01
19:43:48     all    8.27    0.00   86.47    0.25    0.00    0.00    0.00    0.00    0.00    5.01
19:43:49     all    0.00    0.00    2.01   37.44    0.00    0.50    0.00    0.00    0.00   60.05
19:43:50     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:43:51     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:52     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:53     all    0.25    0.00    0.50   99.25    0.00    0.00    0.00    0.00    0.00    0.00
19:43:54     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:43:55     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:43:56     all    0.25    0.00    0.25   99.50    0.00    0.00    0.00    0.00    0.00    0.00
19:43:57     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:43:58     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:43:59     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:44:00     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:44:01     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:44:02     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:44:03     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:44:04     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:44:05     all    0.25    0.00    0.00   99.50    0.00    0.25    0.00    0.00    0.00    0.00
19:44:06     all    2.96    0.00   29.63   66.42    0.00    0.25    0.00    0.00    0.00    0.74
19:44:07     all    9.02    0.00   88.47    0.00    0.00    0.00    0.00    0.00    0.00    2.51
19:44:08     all    8.75    0.00   88.25    0.00    0.00    0.25    0.00    0.00    0.00    2.75
19:44:09     all    3.53    0.00   38.04   13.10    0.00    0.25    0.00    0.00    0.00   45.09
19:44:10     all    0.00    0.00    0.75   81.45    0.00    0.25    0.00    0.00    0.00   17.54
19:44:11     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:44:12     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:44:13     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:44:14     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:44:15     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:44:16     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:44:17     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:44:18     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:44:19     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:44:20     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
19:44:21     all    0.25    0.00    0.25   99.25    0.00    0.25    0.00    0.00    0.00    0.00
19:44:22     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:44:23     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:44:24     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
19:44:25     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:44:26     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
19:44:27     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
19:44:28     all    0.00    0.00    1.75   98.00    0.00    0.25    0.00    0.00    0.00    0.00
19:44:29     all    0.25    0.00    1.25   97.49    0.00    1.00    0.00    0.00    0.00    0.00
19:44:30     all    0.00    0.00    0.50   98.50    0.00    1.00    0.00    0.00    0.00    0.00
19:44:31     all    8.21    0.00   73.13   16.67    0.00    0.00    0.00    0.00    0.00    1.99
19:44:32     all    8.82    0.00   89.42    0.00    0.00    0.00    0.00    0.00    0.00    1.76
19:44:33     all    7.98    0.00   75.56    2.24    0.00    0.25    0.00    0.00    0.00   13.97
19:44:34     all    2.99    0.00   29.85   16.17    0.00    0.50    0.00    0.00    0.00   50.50
19:44:35     all    9.52    0.00   88.72    0.00    0.00    0.00    0.00    0.00    0.00    1.75
19:44:36     all    0.51    0.00   75.95    0.00    0.00    3.29    0.00    0.00    0.00   20.25
19:44:37     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:44:38     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:44:39     all    0.00    0.00    1.25    8.50    0.00    0.25    0.00    0.00    0.00   90.00
19:44:40     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
19:44:41     all    0.25    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.50
19:44:42     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
19:44:43     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
19:44:44     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:44:45     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
