ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2026-08-03T19:28:30.695+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,MKDIRS,5,40,1774,3988,,,,,50,12,10,160,,,18,30,182,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/azure-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-03T19:28:30.736+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,WRITE,14701,17061,94980,93779,,,,,100,98,1396324,1600000,,,11,155,1152213,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/azure-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-03T19:28:47.798+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,STAT,1185,1840,874733,869106,,,,,100,99,1037366,1600000,,,1,11,25861,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/azure-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-03T19:28:49.640+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMFILES,27484,27809,56306,57533,,,,,36,36,1547550,1600000,,,8,273,15075977,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/azure-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-03T19:29:17.450+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMDIRS,568,721,209,221,,,,,100,99,119,160,,,10572,65725,113733,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/azure-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-03T19:29:18.225+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,MKDIRS,0,5,10834,28065,,,,,0,66,10,160,,,22,48,225,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/azure-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-03T19:29:18.232+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,WRITE,86915,108451,17103,14753,,,,,17,15,1486586,1600000,,,11,1049,38691065,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/azure-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-03T19:31:06.684+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,STAT,1570,1893,849581,845190,,,,,100,99,1334515,1600000,,,1,13,52319,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/azure-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-03T19:31:08.578+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMFILES,54854,55422,27526,28869,,,,,17,17,1509957,1600000,,,8,548,17401174,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/azure-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
2026-08-03T19:32:04.001+0000,,dir,1,1,16,10,10000,0,0,0,0,,1,,0,RMDIRS,619,773,195,206,,,,,100,99,121,160,,,13504,72927,104517,,,,,,,,,,,,,,,,,,,,3.1-1,"elbencho" "-t" "16" "-b" "4k" "--lat" "--latpercent" "--csvfile" "results/raw/azure-block-metadata-c16-r2.elbencho.csv" "-d" "-w" "-s" "0" "-n" "10" "-N" "10000" "--stat" "--delfiles" "--deldirs" "/mnt/block" 
