Linux 6.8.0-1062-azure (csb-bench-host-azure) 	08/03/26 	_x86_64_	(4 CPU)

23:56:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:56:43     all    0.75    0.00    1.24   96.77    0.00    0.25    0.00    0.00    0.00    1.00
23:56:44     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:56:45     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:56:46     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:56:47     all    0.00    0.00    0.75   99.00    0.00    0.25    0.00    0.00    0.00    0.00
23:56:48     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
23:56:49     all    0.25    0.00    0.50   99.25    0.00    0.00    0.00    0.00    0.00    0.00
23:56:50     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:56:51     all    0.25    0.00    0.25   99.25    0.00    0.25    0.00    0.00    0.00    0.00
23:56:52     all    0.25    0.00    0.50   99.25    0.00    0.00    0.00    0.00    0.00    0.00
23:56:53     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:56:54     all    0.00    0.00    0.50   99.25    0.00    0.25    0.00    0.00    0.00    0.00
23:56:55     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:56:56     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:56:57     all    0.00    0.00    0.50   99.25    0.00    0.25    0.00    0.00    0.00    0.00
23:56:58     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:56:59     all    0.25    0.00    0.00   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:57:00     all    0.50    0.00    0.25   99.00    0.00    0.25    0.00    0.00    0.00    0.00
23:57:01     all    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00
23:57:02     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
23:57:03     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:57:04     all    0.25    0.00    0.50   99.25    0.00    0.00    0.00    0.00    0.00    0.00
23:57:05     all    0.00    0.00    0.25   99.50    0.00    0.25    0.00    0.00    0.00    0.00
23:57:06     all    0.25    0.00    0.25   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:57:07     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:57:08     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:57:09     all    0.25    0.00    0.50   99.00    0.00    0.25    0.00    0.00    0.00    0.00
23:57:10     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:57:11     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:57:12     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:57:13     all    0.00    0.00    0.50   99.25    0.00    0.25    0.00    0.00    0.00    0.00
23:57:14     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:57:15     all    1.00    0.00    0.75   98.26    0.00    0.00    0.00    0.00    0.00    0.00
23:57:16     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
23:57:17     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
23:57:18     all    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00
23:57:19     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
23:57:20     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:57:21     all    0.75    0.00    1.74   96.52    0.00    0.25    0.00    0.00    0.00    0.75
23:57:22     all    0.25    0.00    0.25   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:57:23     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:57:24     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:57:25     all    0.00    0.00    0.75   99.00    0.00    0.25    0.00    0.00    0.00    0.00
23:57:26     all    0.25    0.00    0.25   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:57:27     all    0.25    0.00    0.50   99.25    0.00    0.00    0.00    0.00    0.00    0.00
23:57:28     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:57:29     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:57:30     all    0.00    0.00    0.25   99.50    0.00    0.25    0.00    0.00    0.00    0.00
23:57:31     all    0.25    0.00    0.75   99.00    0.00    0.00    0.00    0.00    0.00    0.00
23:57:32     all    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:57:33     all    0.25    0.00    0.25   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:57:34     all    0.00    0.00    0.75   99.00    0.00    0.25    0.00    0.00    0.00    0.00
23:57:35     all    0.00    0.00    0.25   99.75    0.00    0.00    0.00    0.00    0.00    0.00
23:57:36     all    0.25    0.00    0.25   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:57:37     all    0.00    0.00    1.00   98.75    0.00    0.25    0.00    0.00    0.00    0.00
23:57:38     all    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
23:57:39     all    0.25    0.00    0.25   99.50    0.00    0.00    0.00    0.00    0.00    0.00
23:57:40     all    0.25    0.00    0.00   98.49    0.00    0.00    0.00    0.00    0.00    1.26
23:57:41     all    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00
23:57:42     all    0.00    0.00    0.00   99.75    0.00    0.25    0.00    0.00    0.00    0.00
