Linux 6.8.0-1062-azure (csb-bench-host-azure) 	08/03/26 	_x86_64_	(4 CPU)

20:32:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:33:00     all    1.00    0.00    1.00   96.51    0.00    0.50    0.00    0.00    0.00    1.00
20:33:01     all    0.50    0.00    0.75   98.75    0.00    0.00    0.00    0.00    0.00    0.00
20:33:02     all    1.01    0.00    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00
20:33:03     all    0.25    0.00    0.25   99.24    0.00    0.25    0.00    0.00    0.00    0.00
20:33:04     all    1.00    0.00    0.50   98.50    0.00    0.00    0.00    0.00    0.00    0.00
20:33:05     all    1.00    0.00    0.50   98.25    0.00    0.25    0.00    0.00    0.00    0.00
20:33:06     all    1.00    0.00    0.75   98.25    0.00    0.00    0.00    0.00    0.00    0.00
20:33:07     all    0.76    0.00    0.00   99.24    0.00    0.00    0.00    0.00    0.00    0.00
20:33:08     all    0.75    0.00    0.25   98.74    0.00    0.25    0.00    0.00    0.00    0.00
20:33:09     all    0.75    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
20:33:10     all    0.75    0.00    0.50   98.74    0.00    0.00    0.00    0.00    0.00    0.00
20:33:11     all    1.01    0.00    0.25   98.49    0.00    0.25    0.00    0.00    0.00    0.00
20:33:12     all    0.75    0.00    0.50   98.75    0.00    0.00    0.00    0.00    0.00    0.00
20:33:13     all    0.50    0.00    0.50   98.99    0.00    0.00    0.00    0.00    0.00    0.00
20:33:14     all    0.76    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
20:33:15     all    1.00    0.00    0.00   98.75    0.00    0.25    0.00    0.00    0.00    0.00
20:33:16     all    0.75    0.00    0.75   98.49    0.00    0.00    0.00    0.00    0.00    0.00
20:33:17     all    0.75    0.00    0.25   98.75    0.00    0.25    0.00    0.00    0.00    0.00
20:33:18     all    0.75    0.00    0.75   98.49    0.00    0.00    0.00    0.00    0.00    0.00
20:33:19     all    1.00    0.00    0.25   98.50    0.00    0.25    0.00    0.00    0.00    0.00
20:33:20     all    0.50    0.00    0.25   99.24    0.00    0.00    0.00    0.00    0.00    0.00
20:33:21     all    0.76    0.00    1.26   97.98    0.00    0.00    0.00    0.00    0.00    0.00
20:33:22     all    0.75    0.00    0.50   98.50    0.00    0.25    0.00    0.00    0.00    0.00
20:33:23     all    0.75    0.00    1.00   98.25    0.00    0.00    0.00    0.00    0.00    0.00
20:33:24     all    0.50    0.00    0.25   98.99    0.00    0.25    0.00    0.00    0.00    0.00
20:33:25     all    0.50    0.00    0.25   99.24    0.00    0.00    0.00    0.00    0.00    0.00
20:33:26     all    1.00    0.00    0.75   98.25    0.00    0.00    0.00    0.00    0.00    0.00
20:33:27     all    0.50    0.00    0.00   99.25    0.00    0.25    0.00    0.00    0.00    0.00
20:33:28     all    0.50    0.00    0.50   98.99    0.00    0.00    0.00    0.00    0.00    0.00
20:33:29     all    0.75    0.00    0.50   98.50    0.00    0.25    0.00    0.00    0.00    0.00
20:33:30     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
20:33:31     all    0.75    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
20:33:32     all    1.00    0.00    0.75   98.00    0.00    0.25    0.00    0.00    0.00    0.00
20:33:33     all    1.00    0.00    0.25   98.50    0.00    0.25    0.00    0.00    0.00    0.00
20:33:34     all    0.51    0.00    0.25   99.24    0.00    0.00    0.00    0.00    0.00    0.00
20:33:35     all    0.50    0.00    0.50   99.00    0.00    0.00    0.00    0.00    0.00    0.00
20:33:36     all    1.01    0.00    0.25   98.74    0.00    0.00    0.00    0.00    0.00    0.00
20:33:37     all    1.00    0.00    0.50   98.50    0.00    0.00    0.00    0.00    0.00    0.00
20:33:38     all    0.50    0.00    0.25   98.99    0.00    0.25    0.00    0.00    0.00    0.00
20:33:39     all    0.75    0.00    0.25   98.75    0.00    0.25    0.00    0.00    0.00    0.00
20:33:40     all    0.75    0.00    1.00   98.25    0.00    0.00    0.00    0.00    0.00    0.00
20:33:41     all    1.01    0.00    0.00   98.74    0.00    0.25    0.00    0.00    0.00    0.00
20:33:42     all    1.00    0.00    0.50   98.50    0.00    0.00    0.00    0.00    0.00    0.00
20:33:43     all    0.50    0.00    0.50   99.00    0.00    0.00    0.00    0.00    0.00    0.00
20:33:44     all    0.76    0.00    0.00   98.99    0.00    0.25    0.00    0.00    0.00    0.00
20:33:45     all    0.25    0.00    0.25   99.49    0.00    0.00    0.00    0.00    0.00    0.00
20:33:46     all    0.75    0.00    1.00   98.00    0.00    0.25    0.00    0.00    0.00    0.00
20:33:47     all    0.75    0.00    0.25   98.99    0.00    0.00    0.00    0.00    0.00    0.00
