Linux 6.8.0-1062-azure (csb-bench-host-azure) 	08/03/26 	_x86_64_	(4 CPU)

19:20:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:20:12     all    3.22    0.00   11.88    0.74    0.00    7.67    0.00    0.00    0.00   76.49
19:20:13     all    2.70    0.00   13.27    0.00    0.00    8.60    0.00    0.00    0.00   75.43
19:20:14     all    2.92    0.00   13.63    0.00    0.00    8.27    0.00    0.00    0.00   75.18
19:20:15     all    2.67    0.00   13.59    0.00    0.00    8.01    0.00    0.00    0.00   75.73
19:20:16     all    2.70    0.00   12.78    0.00    0.00    8.85    0.00    0.00    0.00   75.68
19:20:17     all    2.95    0.00   12.78    0.00    0.00    7.86    0.00    0.00    0.00   76.41
19:20:18     all    3.42    0.00   13.69    0.00    0.00    7.33    0.00    0.00    0.00   75.55
19:20:19     all    3.41    0.00   12.65    0.00    0.00    8.76    0.00    0.00    0.00   75.18
19:20:20     all    2.69    0.00   13.20    0.00    0.00    8.31    0.00    0.00    0.00   75.79
19:20:21     all    2.93    0.00   11.22    0.00    0.00    7.32    0.00    0.00    0.00   78.54
19:20:22     all    1.97    0.00   11.55    0.00    0.00    8.35    0.00    0.00    0.00   78.13
19:20:23     all    2.73    0.00   11.66    0.25    0.00    7.69    0.00    0.00    0.00   77.67
19:20:24     all    2.93    0.00   14.63    0.00    0.00    7.56    0.00    0.00    0.00   74.88
19:20:25     all    2.92    0.00   14.11    0.00    0.00    7.30    0.00    0.00    0.00   75.67
19:20:26     all    2.96    0.00   12.56    0.00    0.00    8.13    0.00    0.00    0.00   76.35
19:20:27     all    3.42    0.00   12.71    0.00    0.00    8.56    0.00    0.00    0.00   75.31
19:20:28     all    3.38    0.00   12.80    0.00    0.00    7.97    0.00    0.00    0.00   75.85
19:20:29     all    2.24    0.00   13.18    0.00    0.00    8.21    0.00    0.00    0.00   76.37
19:20:30     all    2.74    0.00   13.68    0.00    0.00    8.46    0.00    0.00    0.00   75.12
19:20:31     all    2.96    0.00   13.09    0.00    0.00    8.15    0.00    0.00    0.00   75.80
19:20:32     all    2.68    0.00   13.41    0.00    0.00    7.80    0.00    0.00    0.00   76.10
19:20:33     all    2.90    0.00   14.49    0.00    0.00    8.45    0.00    0.00    0.00   74.15
19:20:34     all    2.23    0.00   13.12    0.00    0.00    8.17    0.00    0.00    0.00   76.49
19:20:35     all    2.93    0.00   13.66    0.00    0.00    8.29    0.00    0.00    0.00   75.12
19:20:36     all    3.19    0.00   13.02    0.00    0.00    7.62    0.00    0.00    0.00   76.17
19:20:37     all    2.24    0.00   13.47    0.00    0.00    7.23    0.00    0.00    0.00   77.06
19:20:38     all    3.21    0.00   11.85    0.00    0.00    8.40    0.00    0.00    0.00   76.54
19:20:39     all    3.34    0.00   14.32    0.00    0.00    8.11    0.00    0.00    0.00   74.22
19:20:40     all    2.76    0.00   11.78    0.00    0.00    8.27    0.00    0.00    0.00   77.19
19:20:41     all    1.49    0.00    6.70    0.25    0.00    4.47    0.00    0.00    0.00   87.10
19:20:42     all    3.17    0.00   14.15    0.00    0.00    7.80    0.00    0.00    0.00   74.88
19:20:43     all    2.45    0.00   12.01    0.00    0.00    8.58    0.00    0.00    0.00   76.96
19:20:44     all    1.69    0.00    7.51    0.00    0.00    6.30    0.00    0.00    0.00   84.50
19:20:45     all    2.20    0.00    9.02    0.00    0.00    7.56    0.00    0.00    0.00   81.22
19:20:46     all    3.15    0.00   12.11    0.00    0.00    7.99    0.00    0.00    0.00   76.76
19:20:47     all    1.76    0.00    8.29    0.00    0.00    6.53    0.00    0.00    0.00   83.42
19:20:48     all    1.68    0.00    6.71    0.00    0.00    7.67    0.00    0.00    0.00   83.93
19:20:49     all    1.69    0.00    6.54    0.00    0.00    7.26    0.00    0.00    0.00   84.50
19:20:50     all    1.23    0.00    6.91    0.00    0.00    7.41    0.00    0.00    0.00   84.44
19:20:51     all    1.93    0.00    6.52    0.00    0.00    7.73    0.00    0.00    0.00   83.82
19:20:52     all    1.98    0.00    8.40    0.25    0.00    6.67    0.00    0.00    0.00   82.72
19:20:53     all    1.94    0.00    6.55    0.00    0.00    7.77    0.00    0.00    0.00   83.74
19:20:54     all    1.93    0.00    6.76    0.00    0.00    6.76    0.00    0.00    0.00   84.54
19:20:55     all    2.44    0.00    9.27    0.00    0.00    7.80    0.00    0.00    0.00   80.49
19:20:56     all    1.72    0.00    7.84    0.00    0.00    8.09    0.00    0.00    0.00   82.35
19:20:57     all    3.55    0.00   11.85    0.24    0.00    8.29    0.00    0.00    0.00   76.07
19:20:58     all    1.99    0.00    7.69    0.00    0.00    6.45    0.00    0.00    0.00   83.87
19:20:59     all    1.94    0.00    6.78    0.00    0.00    7.75    0.00    0.00    0.00   83.54
19:21:00     all    1.68    0.00    7.21    0.00    0.00    7.45    0.00    0.00    0.00   83.65
19:21:01     all    2.46    0.00    8.87    0.00    0.00    6.65    0.00    0.00    0.00   82.02
19:21:02     all    2.70    0.00    8.33    0.00    0.00    7.84    0.00    0.00    0.00   81.13
19:21:03     all    2.49    0.00   11.94    0.25    0.00    7.71    0.00    0.00    0.00   77.61
19:21:04     all    2.23    0.00   10.92    0.00    0.00    8.68    0.00    0.00    0.00   78.16
19:21:05     all    1.69    0.00    8.67    0.00    0.00    8.67    0.00    0.00    0.00   80.96
19:21:06     all    2.18    0.00    6.30    0.00    0.00    7.26    0.00    0.00    0.00   84.26
