Linux 6.8.0-1062-azure (csb-bench-host-azure) 	08/03/26 	_x86_64_	(4 CPU)

21:56:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:56:13     all    2.88    0.00   13.87    0.00    0.00    4.45    0.00    0.00    0.00   78.80
21:56:14     all    0.00    0.00   12.04    0.00    0.00    3.93    0.00    0.00    0.00   84.03
21:56:15     all    0.00    0.00   11.80    0.00    0.00    0.80    0.00    0.00    0.00   87.40
21:56:16     all    0.00    0.00   11.08    0.00    0.00    3.69    0.00    0.00    0.00   85.22
21:56:17     all    0.26    0.00   12.14    0.26    0.00    5.01    0.00    0.00    0.00   82.32
21:56:18     all    0.00    0.00   10.39    0.00    0.00    4.16    0.00    0.00    0.00   85.45
21:56:19     all    0.00    0.00    8.91    0.00    0.00    5.60    0.00    0.00    0.00   85.50
21:56:20     all    0.00    0.00   11.37    0.00    0.00    5.17    0.00    0.00    0.00   83.46
21:56:21     all    0.52    0.00   12.57    0.00    0.00    5.50    0.00    0.00    0.00   81.41
21:56:22     all    0.00    0.00    9.54    0.26    0.00    5.41    0.00    0.00    0.00   84.79
21:56:23     all    0.00    0.00    9.04    0.00    0.00    5.17    0.00    0.00    0.00   85.79
21:56:24     all    0.00    0.00   11.26    0.00    0.00    3.49    0.00    0.00    0.00   85.25
21:56:25     all    0.26    0.00   10.73    0.00    0.00    3.93    0.00    0.00    0.00   85.08
21:56:26     all    0.00    0.00   11.08    0.00    0.00    4.22    0.00    0.00    0.00   84.70
21:56:27     all    0.00    0.00    9.92    0.00    0.00    5.85    0.00    0.00    0.00   84.22
21:56:28     all    0.00    0.00   11.57    0.51    0.00    5.14    0.00    0.00    0.00   82.78
21:56:29     all    0.26    0.00    9.38    0.00    0.00    4.43    0.00    0.00    0.00   85.94
21:56:30     all    0.00    0.00   10.61    0.00    0.00    2.39    0.00    0.00    0.00   87.00
21:56:31     all    0.00    0.00   10.55    0.00    0.00    3.17    0.00    0.00    0.00   86.28
21:56:32     all    0.00    0.00   10.88    0.00    0.00    4.24    0.00    0.00    0.00   84.88
21:56:33     all    0.00    0.00   12.20    0.00    0.00    4.51    0.00    0.00    0.00   83.29
21:56:34     all    0.00    0.00    9.90    0.00    0.00    4.43    0.00    0.00    0.00   85.68
21:56:35     all    0.00    0.00    9.30    0.00    0.00    3.62    0.00    0.00    0.00   87.08
21:56:36     all    0.00    0.00    9.49    0.00    0.00    3.85    0.00    0.00    0.00   86.67
21:56:37     all    0.27    0.00    9.81    0.00    0.00    3.18    0.00    0.00    0.00   86.74
21:56:38     all    0.00    0.00   10.59    0.00    0.00    5.43    0.00    0.00    0.00   83.98
21:56:39     all    0.00    0.00   12.53    0.00    0.00    2.72    0.00    0.00    0.00   84.74
21:56:40     all    0.00    0.00   10.13    0.00    0.00    5.97    0.00    0.00    0.00   83.90
21:56:41     all    0.00    0.00   10.59    0.00    0.00    6.46    0.00    0.00    0.00   82.95
21:56:42     all    0.26    0.00    9.49    0.00    0.00    4.62    0.00    0.00    0.00   85.64
21:56:43     all    0.00    0.00    9.56    0.00    0.00    5.17    0.00    0.00    0.00   85.27
21:56:44     all    0.00    0.00   11.02    0.26    0.00    4.99    0.00    0.00    0.00   83.73
21:56:45     all    0.00    0.00   11.38    0.00    0.00    4.76    0.00    0.00    0.00   83.86
21:56:46     all    0.00    0.00   10.85    0.00    0.00    2.65    0.00    0.00    0.00   86.51
21:56:47     all    0.00    0.00    8.92    0.00    0.00    3.67    0.00    0.00    0.00   87.40
21:56:48     all    0.00    0.00   11.02    0.00    0.00    3.94    0.00    0.00    0.00   85.04
21:56:49     all    0.00    0.00   11.55    0.52    0.00    5.25    0.00    0.00    0.00   82.68
21:56:50     all    0.00    0.00   11.81    0.00    0.00    4.72    0.00    0.00    0.00   83.46
21:56:51     all    0.00    0.00   10.28    0.00    0.00    4.37    0.00    0.00    0.00   85.35
21:56:52     all    0.27    0.00   12.47    0.00    0.00    4.24    0.00    0.00    0.00   83.02
21:56:53     all    0.00    0.00    9.47    0.00    0.00    4.21    0.00    0.00    0.00   86.32
21:56:54     all    0.00    0.00   11.17    0.00    0.00    4.16    0.00    0.00    0.00   84.68
21:56:55     all    0.00    0.00   11.98    0.00    0.00    4.95    0.00    0.00    0.00   83.07
21:56:56     all    0.00    0.00    9.74    0.00    0.00    2.89    0.00    0.00    0.00   87.37
21:56:57     all    0.00    0.00    7.65    0.00    0.00    4.85    0.00    0.00    0.00   87.50
21:56:58     all    0.25    0.00    8.91    0.00    0.00    4.58    0.00    0.00    0.00   86.26
21:56:59     all    0.00    0.00   10.79    0.00    0.00    3.95    0.00    0.00    0.00   85.26
21:57:00     all    0.26    0.00   11.31    0.00    0.00    5.40    0.00    0.00    0.00   83.03
21:57:01     all    0.26    0.00   10.21    0.00    0.00    4.19    0.00    0.00    0.00   85.34
21:57:02     all    0.00    0.00   10.28    0.00    0.00    5.14    0.00    0.00    0.00   84.58
21:57:03     all    0.00    0.00    9.61    0.00    0.00    4.94    0.00    0.00    0.00   85.45
21:57:04     all    0.00    0.00   12.04    0.26    0.00    4.45    0.00    0.00    0.00   83.25
21:57:05     all    0.00    0.00   13.21    0.00    0.00    3.23    0.00    0.00    0.00   83.56
21:57:06     all    0.52    0.00    9.35    0.00    0.00    2.86    0.00    0.00    0.00   87.27
21:57:07     all    0.00    0.00    9.31    0.00    0.00    1.60    0.00    0.00    0.00   89.10
21:57:08     all    0.00    0.00   11.31    0.00    0.00    6.43    0.00    0.00    0.00   82.26
21:57:09     all    0.00    0.00   10.93    0.00    0.00    2.13    0.00    0.00    0.00   86.93
21:57:10     all    0.00    0.00   10.44    0.00    0.00    4.18    0.00    0.00    0.00   85.38
21:57:11     all    0.27    0.00   11.97    0.00    0.00    2.66    0.00    0.00    0.00   85.11
21:57:12     all    0.00    0.00   10.67    0.00    0.00    1.60    0.00    0.00    0.00   87.73
21:57:13     all    0.00    0.00    9.30    0.00    0.00    3.88    0.00    0.00    0.00   86.82
21:57:14     all    0.00    0.00    7.91    0.26    0.00    4.34    0.00    0.00    0.00   87.50
21:57:15     all    0.00    0.00    8.55    0.00    0.00    5.18    0.00    0.00    0.00   86.27
21:57:16     all    0.00    0.00    9.14    0.00    0.00    2.87    0.00    0.00    0.00   87.99
21:57:17     all    0.00    0.00   10.97    0.00    0.00    4.44    0.00    0.00    0.00   84.60
21:57:18     all    0.52    0.00   11.49    0.00    0.00    3.92    0.00    0.00    0.00   84.07
21:57:19     all    0.00    0.00   11.14    0.00    0.00    2.39    0.00    0.00    0.00   86.47
21:57:20     all    0.00    0.00   11.11    0.00    0.00    4.39    0.00    0.00    0.00   84.50
21:57:21     all    0.00    0.00   11.03    0.00    0.00    5.38    0.00    0.00    0.00   83.59
21:57:22     all    0.00    0.00   10.76    0.00    0.00    4.46    0.00    0.00    0.00   84.78
21:57:23     all    0.00    0.00   11.51    0.00    0.00    5.37    0.00    0.00    0.00   83.12
21:57:24     all    0.26    0.00   10.39    0.00    0.00    4.68    0.00    0.00    0.00   84.68
21:57:25     all    0.00    0.00   10.74    0.00    0.00    5.37    0.00    0.00    0.00   83.89
21:57:26     all    0.00    0.00    9.33    0.00    0.00    5.18    0.00    0.00    0.00   85.49
21:57:27     all    0.00    0.00   10.67    0.00    0.00    1.60    0.00    0.00    0.00   87.73
21:57:28     all    0.00    0.00   10.37    0.00    0.00    1.06    0.00    0.00    0.00   88.56
21:57:29     all    0.00    0.00   11.11    0.26    0.00    3.17    0.00    0.00    0.00   85.45
21:57:30     all    0.00    0.00   12.97    0.00    0.00    3.78    0.00    0.00    0.00   83.24
21:57:31     all    0.00    0.00   10.93    0.00    0.00    3.20    0.00    0.00    0.00   85.87
21:57:32     all    0.00    0.00    8.74    0.00    0.00    4.63    0.00    0.00    0.00   86.63
21:57:33     all    0.27    0.00   12.20    0.00    0.00    3.45    0.00    0.00    0.00   84.08
21:57:34     all    0.00    0.00   11.75    0.00    0.00    5.74    0.00    0.00    0.00   82.51
21:57:35     all    0.00    0.00   11.46    0.26    0.00    5.99    0.00    0.00    0.00   82.29
21:57:36     all    0.00    0.00   10.53    0.00    0.00    4.74    0.00    0.00    0.00   84.74
21:57:37     all    0.00    0.00   11.99    0.00    0.00    2.72    0.00    0.00    0.00   85.29
21:57:38     all    0.00    0.00   12.03    0.00    0.00    4.01    0.00    0.00    0.00   83.96
21:57:39     all    0.00    0.00   12.16    0.00    0.00    2.97    0.00    0.00    0.00   84.86
21:57:40     all    0.26    0.00   11.72    0.00    0.00    4.43    0.00    0.00    0.00   83.59
21:57:41     all    0.00    0.00   11.32    0.00    0.00    3.68    0.00    0.00    0.00   85.00
21:57:42     all    0.00    0.00   10.18    0.00    0.00    3.66    0.00    0.00    0.00   86.16
21:57:43     all    0.00    0.00    9.50    0.00    0.00    2.37    0.00    0.00    0.00   88.13
21:57:44     all    0.26    0.00    9.97    0.00    0.00    3.41    0.00    0.00    0.00   86.35
21:57:45     all    0.00    0.00    8.88    0.00    0.00    2.87    0.00    0.00    0.00   88.25
21:57:46     all    0.00    0.00    9.74    0.00    0.00    4.36    0.00    0.00    0.00   85.90
21:57:47     all    0.00    0.00   11.83    0.00    0.00    2.15    0.00    0.00    0.00   86.02
21:57:48     all    0.00    0.00    8.48    0.00    0.00    4.11    0.00    0.00    0.00   87.40
21:57:49     all    0.00    0.00   10.24    0.00    0.00    4.20    0.00    0.00    0.00   85.56
21:57:50     all    0.00    0.00   13.03    0.27    0.00    3.46    0.00    0.00    0.00   83.24
21:57:51     all    0.00    0.00   12.30    0.00    0.00    3.48    0.00    0.00    0.00   84.22
21:57:52     all    0.27    0.00   10.64    0.00    0.00    3.46    0.00    0.00    0.00   85.64
21:57:53     all    0.00    0.00   10.23    0.00    0.00    6.39    0.00    0.00    0.00   83.38
21:57:54     all    0.00    0.00   10.79    0.00    0.00    2.89    0.00    0.00    0.00   86.32
21:57:55     all    0.00    0.00   10.55    0.00    0.00    2.37    0.00    0.00    0.00   87.07
21:57:56     all    0.00    0.00   10.10    0.00    0.00    3.63    0.00    0.00    0.00   86.27
21:57:57     all    0.26    0.00   10.76    0.00    0.00    3.41    0.00    0.00    0.00   85.56
21:57:58     all    0.00    0.00   11.29    0.00    0.00    4.72    0.00    0.00    0.00   83.99
21:57:59     all    0.00    0.00    9.97    0.00    0.00    4.46    0.00    0.00    0.00   85.56
21:58:00     all    0.26    0.00   10.68    0.26    0.00    2.86    0.00    0.00    0.00   85.94
21:58:01     all    0.00    0.00   10.37    0.00    0.00    2.13    0.00    0.00    0.00   87.50
21:58:02     all    0.00    0.00   11.02    0.00    0.00    3.15    0.00    0.00    0.00   85.83
21:58:03     all    0.00    0.00    7.73    0.26    0.00    3.35    0.00    0.00    0.00   88.66
21:58:04     all    0.00    0.00   12.96    0.00    0.00    5.56    0.00    0.00    0.00   81.48
21:58:05     all    0.52    0.00   10.85    0.00    0.00    5.68    0.00    0.00    0.00   82.95
21:58:06     all    0.53    0.00   12.63    0.00    0.00    5.00    0.00    0.00    0.00   81.84
21:58:07     all    0.00    0.00   12.01    0.00    0.00    3.39    0.00    0.00    0.00   84.60
21:58:08     all    0.00    0.00   13.00    0.00    0.00    2.65    0.00    0.00    0.00   84.35
21:58:09     all    0.00    0.00   10.61    0.27    0.00    2.65    0.00    0.00    0.00   86.47
21:58:10     all    0.00    0.00   10.88    0.00    0.00    2.65    0.00    0.00    0.00   86.47
21:58:11     all    0.00    0.00   10.64    0.00    0.00    3.46    0.00    0.00    0.00   85.90
21:58:12     all    0.00    0.00   10.76    0.00    0.00    4.20    0.00    0.00    0.00   85.04
21:58:13     all    0.00    0.00    9.64    0.00    0.00    3.91    0.00    0.00    0.00   86.46
21:58:14     all    0.00    0.00   10.73    0.00    0.00    4.45    0.00    0.00    0.00   84.82
21:58:15     all    0.00    0.00   11.41    0.00    0.00    4.24    0.00    0.00    0.00   84.35
21:58:16     all    0.00    0.00   12.70    0.00    0.00    3.97    0.00    0.00    0.00   83.33
21:58:17     all    0.00    0.00   10.88    0.00    0.00    4.92    0.00    0.00    0.00   84.20
21:58:18     all    0.26    0.00   10.82    0.00    0.00    4.64    0.00    0.00    0.00   84.28
21:58:19     all    0.00    0.00   13.01    0.00    0.00    2.98    0.00    0.00    0.00   84.01
21:58:20     all    0.00    0.00   10.16    0.26    0.00    3.91    0.00    0.00    0.00   85.68
21:58:21     all    0.00    0.00   10.26    0.00    0.00    3.16    0.00    0.00    0.00   86.58
21:58:22     all    0.26    0.00   11.29    0.00    0.00    3.94    0.00    0.00    0.00   84.51
21:58:23     all    0.00    0.00   10.29    0.00    0.00    3.69    0.00    0.00    0.00   86.02
21:58:24     all    0.26    0.00   11.05    0.00    0.00    3.16    0.00    0.00    0.00   85.53
21:58:25     all    0.00    0.00   10.50    0.00    0.00    3.67    0.00    0.00    0.00   85.83
21:58:26     all    0.00    0.00   10.88    0.00    0.00    4.51    0.00    0.00    0.00   84.62
21:58:27     all    0.26    0.00    9.77    0.00    0.00    4.88    0.00    0.00    0.00   85.09
21:58:28     all    0.00    0.00    9.84    0.00    0.00    4.15    0.00    0.00    0.00   86.01
21:58:29     all    0.00    0.00    6.38    0.00    0.00    3.06    0.00    0.00    0.00   90.56
21:58:30     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
21:58:31     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:58:32     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:58:33     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
21:58:34     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:58:35     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:58:36     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
21:58:37     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:58:38     all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
