Linux 6.8.0-1062-azure (csb-bench-host-azure) 	08/04/26 	_x86_64_	(4 CPU)

20:35:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:07     all    0.78    0.00   21.71    0.00    0.00    1.29    0.00    0.00    0.00   76.23
20:35:08     all    0.52    0.00   30.55    0.00    0.00    1.83    0.00    0.00    0.00   67.10
20:35:09     all    0.00    0.00   31.69    0.00    0.00    0.78    0.00    0.00    0.00   67.53
20:35:10     all    0.78    0.00   33.25    0.00    0.00    1.30    0.00    0.00    0.00   64.68
20:35:11     all    0.00    0.00   32.02    0.00    0.00    1.05    0.00    0.00    0.00   66.93
20:35:12     all    0.00    0.00   36.29    0.52    0.00    1.31    0.00    0.00    0.00   61.88
20:35:13     all    0.79    0.00   34.82    0.00    0.00    1.57    0.00    0.00    0.00   62.83
20:35:14     all    0.53    0.00   37.63    0.00    0.00    1.84    0.00    0.00    0.00   60.00
20:35:15     all    0.52    0.00   34.03    0.00    0.00    1.82    0.00    0.00    0.00   63.64
20:35:16     all    0.26    0.00   33.68    0.00    0.00    1.05    0.00    0.00    0.00   65.00
20:35:17     all    0.00    0.00   31.84    0.00    0.00    1.32    0.00    0.00    0.00   66.84
20:35:18     all    0.52    0.00   31.85    0.00    0.00    1.57    0.00    0.00    0.00   66.06
20:35:19     all    0.26    0.00   36.03    0.00    0.00    1.83    0.00    0.00    0.00   61.88
20:35:20     all    0.26    0.00   38.36    0.00    0.00    2.05    0.00    0.00    0.00   59.34
20:35:21     all    0.52    0.00   34.65    0.00    0.00    1.57    0.00    0.00    0.00   63.25
20:35:22     all    0.26    0.00   37.73    0.00    0.00    1.85    0.00    0.00    0.00   60.16
20:35:23     all    0.00    0.00   34.30    0.00    0.00    1.58    0.00    0.00    0.00   64.12
20:35:24     all    0.52    0.00   35.66    0.26    0.00    1.81    0.00    0.00    0.00   61.76
20:35:25     all    0.79    0.00   34.91    0.00    0.00    1.57    0.00    0.00    0.00   62.73
20:35:26     all    0.26    0.00   29.92    0.00    0.00    1.57    0.00    0.00    0.00   68.24
20:35:27     all    0.52    0.00   32.99    0.00    0.00    1.30    0.00    0.00    0.00   65.19
20:35:28     all    0.26    0.00   31.68    0.00    0.00    1.57    0.00    0.00    0.00   66.49
20:35:29     all    0.26    0.00   33.60    0.00    0.00    1.31    0.00    0.00    0.00   64.83
20:35:30     all    0.79    0.00   30.53    0.00    0.00    1.32    0.00    0.00    0.00   67.37
20:35:31     all    0.00    0.00   31.25    0.00    0.00    1.04    0.00    0.00    0.00   67.71
20:35:32     all    0.52    0.00   31.33    0.00    0.00    1.57    0.00    0.00    0.00   66.58
20:35:33     all    0.26    0.00   33.51    0.00    0.00    1.57    0.00    0.00    0.00   64.66
20:35:34     all    0.26    0.00   37.60    0.00    0.00    1.83    0.00    0.00    0.00   60.31
20:35:35     all    0.00    0.00   33.25    0.00    0.00    0.79    0.00    0.00    0.00   65.97
20:35:36     all    0.52    0.00   33.76    0.52    0.00    1.55    0.00    0.00    0.00   63.66
20:35:37     all    0.26    0.00   36.22    0.00    0.00    1.31    0.00    0.00    0.00   62.20
20:35:38     all    0.26    0.00   33.68    0.00    0.00    1.57    0.00    0.00    0.00   64.49
20:35:39     all    0.52    0.00   30.81    0.00    0.00    1.31    0.00    0.00    0.00   67.36
20:35:40     all    0.00    0.00   31.20    0.00    0.00    1.07    0.00    0.00    0.00   67.73
20:35:41     all    0.26    0.00   29.87    0.00    0.00    1.30    0.00    0.00    0.00   68.57
20:35:42     all    0.53    0.00   31.22    0.00    0.00    1.32    0.00    0.00    0.00   66.93
