Linux 6.8.0-1062-azure (csb-bench-host-azure) 	08/03/26 	_x86_64_	(4 CPU)

23:31:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:31:50     all    0.78    0.00   13.18    0.00    0.00    6.98    0.00    0.00    0.00   79.07
23:31:51     all    0.26    0.00   12.31    0.00    0.00    7.18    0.00    0.00    0.00   80.26
23:31:52     all    0.51    0.00   12.50    0.26    0.00    7.14    0.00    0.00    0.00   79.59
23:31:53     all    0.51    0.00   12.37    0.00    0.00    7.83    0.00    0.00    0.00   79.29
23:31:54     all    0.26    0.00   12.85    0.00    0.00    6.17    0.00    0.00    0.00   80.72
23:31:55     all    0.75    0.00   12.31    0.00    0.00    6.28    0.00    0.00    0.00   80.65
23:31:56     all    0.26    0.00   12.31    0.00    0.00    6.67    0.00    0.00    0.00   80.77
23:31:57     all    0.00    0.00   11.66    0.00    0.00    7.51    0.00    0.00    0.00   80.83
23:31:58     all    0.76    0.00   12.91    0.00    0.00    7.34    0.00    0.00    0.00   78.99
23:31:59     all    0.26    0.00   12.56    0.00    0.00    6.67    0.00    0.00    0.00   80.51
23:32:00     all    0.26    0.00   11.86    0.00    0.00    6.96    0.00    0.00    0.00   80.93
23:32:01     all    0.77    0.00   12.82    0.00    0.00    6.92    0.00    0.00    0.00   79.49
23:32:02     all    0.25    0.00   11.90    0.00    0.00    7.34    0.00    0.00    0.00   80.51
23:32:03     all    0.26    0.00   11.31    0.00    0.00    6.17    0.00    0.00    0.00   82.26
23:32:04     all    0.26    0.00   10.03    0.00    0.00    6.43    0.00    0.00    0.00   83.29
23:32:05     all    0.26    0.00   11.73    0.51    0.00    7.14    0.00    0.00    0.00   80.36
23:32:06     all    0.77    0.00   13.27    0.00    0.00    6.89    0.00    0.00    0.00   79.08
23:32:07     all    0.26    0.00   12.63    0.00    0.00    7.73    0.00    0.00    0.00   79.38
23:32:08     all    0.51    0.00   12.47    0.00    0.00    5.85    0.00    0.00    0.00   81.17
23:32:09     all    0.00    0.00   11.31    0.00    0.00    6.94    0.00    0.00    0.00   81.75
23:32:10     all    0.76    0.00   10.89    0.00    0.00    7.34    0.00    0.00    0.00   81.01
23:32:11     all    0.51    0.00   11.70    0.00    0.00    6.87    0.00    0.00    0.00   80.92
23:32:12     all    0.00    0.00   11.40    0.00    0.00    5.70    0.00    0.00    0.00   82.90
23:32:13     all    0.77    0.00   12.34    0.00    0.00    5.40    0.00    0.00    0.00   81.49
23:32:14     all    0.26    0.00   12.50    0.00    0.00    4.95    0.00    0.00    0.00   82.29
23:32:15     all    0.51    0.00   12.05    0.00    0.00    6.15    0.00    0.00    0.00   81.28
23:32:16     all    0.52    0.00   11.89    0.26    0.00    6.20    0.00    0.00    0.00   81.14
23:32:17     all    0.51    0.00   11.79    0.00    0.00    6.15    0.00    0.00    0.00   81.54
23:32:18     all    0.51    0.00   11.54    0.00    0.00    6.41    0.00    0.00    0.00   81.54
23:32:19     all    0.26    0.00   11.86    0.00    0.00    6.70    0.00    0.00    0.00   81.19
23:32:20     all    0.26    0.00   12.08    0.00    0.00    6.94    0.00    0.00    0.00   80.72
23:32:21     all    0.78    0.00   12.99    0.00    0.00    6.49    0.00    0.00    0.00   79.74
23:32:22     all    0.00    0.00   11.48    0.00    0.00    6.12    0.00    0.00    0.00   82.40
23:32:23     all    0.26    0.00   12.02    0.00    0.00    6.14    0.00    0.00    0.00   81.59
23:32:24     all    0.76    0.00   12.72    0.00    0.00    6.11    0.00    0.00    0.00   80.41
23:32:25     all    0.26    0.00   11.66    0.00    0.00    6.22    0.00    0.00    0.00   81.87
23:32:26     all    0.00    0.00   12.05    0.26    0.00    6.67    0.00    0.00    0.00   81.03
23:32:27     all    1.01    0.00   12.12    0.00    0.00    7.32    0.00    0.00    0.00   79.55
23:32:28     all    0.26    0.00   12.56    0.00    0.00    6.67    0.00    0.00    0.00   80.51
23:32:29     all    0.00    0.00   12.34    0.00    0.00    6.17    0.00    0.00    0.00   81.49
23:32:30     all    0.26    0.00   12.31    0.00    0.00    6.92    0.00    0.00    0.00   80.51
23:32:31     all    0.50    0.00   12.47    0.00    0.00    6.98    0.00    0.00    0.00   80.05
23:32:32     all    0.26    0.00   13.30    0.00    0.00    6.91    0.00    0.00    0.00   79.54
23:32:33     all    0.51    0.00   12.79    0.00    0.00    6.39    0.00    0.00    0.00   80.31
23:32:34     all    0.26    0.00   11.05    0.00    0.00    6.43    0.00    0.00    0.00   82.26
23:32:35     all    0.51    0.00   12.05    0.00    0.00    7.44    0.00    0.00    0.00   80.00
23:32:36     all    0.26    0.00   13.78    0.00    0.00    6.63    0.00    0.00    0.00   79.34
23:32:37     all    0.00    0.00   12.18    0.00    0.00    7.51    0.00    0.00    0.00   80.31
23:32:38     all    0.77    0.00   12.79    0.26    0.00    5.88    0.00    0.00    0.00   80.31
23:32:39     all    0.00    0.00   13.23    0.00    0.00    6.36    0.00    0.00    0.00   80.41
23:32:40     all    0.00    0.00   12.69    0.00    0.00    7.77    0.00    0.00    0.00   79.53
23:32:41     all    0.51    0.00   12.44    0.25    0.00    7.61    0.00    0.00    0.00   79.19
23:32:42     all    0.51    0.00   12.60    0.00    0.00    6.68    0.00    0.00    0.00   80.21
23:32:43     all    0.26    0.00   12.69    0.00    0.00    6.48    0.00    0.00    0.00   80.57
23:32:44     all    0.52    0.00   12.50    0.00    0.00    5.47    0.00    0.00    0.00   81.51
23:32:45     all    0.26    0.00   13.27    0.00    0.00    6.63    0.00    0.00    0.00   79.85
23:32:46     all    0.52    0.00   11.60    0.26    0.00    6.44    0.00    0.00    0.00   81.19
23:32:47     all    0.26    0.00   12.66    0.00    0.00    6.46    0.00    0.00    0.00   80.62
23:32:48     all    0.26    0.00   11.99    0.00    0.00    7.14    0.00    0.00    0.00   80.61
23:32:49     all    0.25    0.00   11.96    0.00    0.00    7.12    0.00    0.00    0.00   80.66
23:32:50     all    0.78    0.00   12.92    0.00    0.00    5.43    0.00    0.00    0.00   80.88
23:32:51     all    0.00    0.00   12.99    0.00    0.00    6.75    0.00    0.00    0.00   80.26
23:32:52     all    0.52    0.00   11.40    0.00    0.00    6.99    0.00    0.00    0.00   81.09
23:32:53     all    0.25    0.00   12.59    0.00    0.00    7.30    0.00    0.00    0.00   79.85
23:32:54     all    0.26    0.00   12.85    0.00    0.00    6.43    0.00    0.00    0.00   80.46
23:32:55     all    0.51    0.00   12.31    0.00    0.00    5.90    0.00    0.00    0.00   81.28
23:32:56     all    0.51    0.00   12.24    0.26    0.00    6.89    0.00    0.00    0.00   80.10
23:32:57     all    0.26    0.00   12.31    0.00    0.00    6.67    0.00    0.00    0.00   80.77
23:32:58     all    0.26    0.00   12.24    0.00    0.00    6.89    0.00    0.00    0.00   80.61
