Linux 6.8.0-1062-azure (csb-bench-host-azure) 	08/03/26 	_x86_64_	(4 CPU)

23:24:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:24:20     all    3.37    0.00   15.66    0.24    0.00    8.19    0.00    0.00    0.00   72.53
23:24:21     all    2.99    0.00   13.68    0.00    0.00    9.20    0.00    0.00    0.00   74.13
23:24:22     all    2.17    0.00   16.18    0.00    0.00    8.70    0.00    0.00    0.00   72.95
23:24:23     all    2.96    0.00   12.59    0.00    0.00    8.64    0.00    0.00    0.00   75.80
23:24:24     all    2.70    0.00   14.99    0.00    0.00    8.85    0.00    0.00    0.00   73.46
23:24:25     all    2.99    0.00   14.18    0.00    0.00    9.45    0.00    0.00    0.00   73.38
23:24:26     all    2.98    0.00   13.15    0.00    0.00    7.44    0.00    0.00    0.00   76.43
23:24:27     all    2.48    0.00   11.66    0.00    0.00    9.43    0.00    0.00    0.00   76.43
23:24:28     all    3.67    0.00   11.98    0.00    0.00    9.29    0.00    0.00    0.00   75.06
23:24:29     all    2.94    0.00   13.97    0.00    0.00    8.33    0.00    0.00    0.00   74.75
23:24:30     all    2.89    0.00   15.42    0.00    0.00    8.43    0.00    0.00    0.00   73.25
23:24:31     all    2.43    0.00   12.65    0.24    0.00    9.00    0.00    0.00    0.00   75.67
23:24:32     all    3.46    0.00   14.07    0.00    0.00    8.40    0.00    0.00    0.00   74.07
23:24:33     all    2.92    0.00   14.11    0.00    0.00    7.54    0.00    0.00    0.00   75.43
23:24:34     all    3.65    0.00   12.65    0.00    0.00    9.00    0.00    0.00    0.00   74.70
23:24:35     all    2.70    0.00   14.00    0.00    0.00    8.35    0.00    0.00    0.00   74.94
23:24:36     all    3.71    0.00   12.13    0.00    0.00    7.43    0.00    0.00    0.00   76.73
23:24:37     all    2.96    0.00   14.29    0.00    0.00    8.13    0.00    0.00    0.00   74.63
23:24:38     all    2.94    0.00   14.46    0.00    0.00    8.33    0.00    0.00    0.00   74.26
23:24:39     all    3.61    0.00   13.94    0.00    0.00    9.86    0.00    0.00    0.00   72.60
23:24:40     all    2.72    0.00   14.57    0.00    0.00    8.64    0.00    0.00    0.00   74.07
23:24:41     all    2.23    0.00   13.15    0.00    0.00    8.93    0.00    0.00    0.00   75.68
23:24:42     all    2.92    0.00   14.11    0.00    0.00    8.27    0.00    0.00    0.00   74.70
23:24:43     all    2.69    0.00   14.43    0.24    0.00    8.07    0.00    0.00    0.00   74.57
23:24:44     all    3.44    0.00   12.78    0.00    0.00    8.85    0.00    0.00    0.00   74.94
23:24:45     all    3.18    0.00   14.43    0.00    0.00    8.31    0.00    0.00    0.00   74.08
23:24:46     all    2.68    0.00   11.46    0.00    0.00    7.80    0.00    0.00    0.00   78.05
23:24:47     all    2.96    0.00   11.33    0.00    0.00    8.62    0.00    0.00    0.00   77.09
23:24:48     all    3.18    0.00   12.96    0.00    0.00    8.56    0.00    0.00    0.00   75.31
23:24:49     all    2.93    0.00   13.20    0.24    0.00    8.80    0.00    0.00    0.00   74.82
23:24:50     all    2.69    0.00   13.69    0.00    0.00    9.05    0.00    0.00    0.00   74.57
23:24:51     all    2.78    0.00   12.37    0.00    0.00    7.83    0.00    0.00    0.00   77.02
23:24:52     all    3.44    0.00   15.23    0.00    0.00    9.83    0.00    0.00    0.00   71.50
23:24:53     all    2.91    0.00   13.08    0.00    0.00    9.69    0.00    0.00    0.00   74.33
23:24:54     all    2.68    0.00   14.60    0.24    0.00    7.79    0.00    0.00    0.00   74.70
23:24:55     all    3.63    0.00   13.80    0.00    0.00    8.23    0.00    0.00    0.00   74.33
23:24:56     all    2.92    0.00   13.87    0.00    0.00    9.25    0.00    0.00    0.00   73.97
23:24:57     all    2.68    0.00   15.12    0.00    0.00    8.05    0.00    0.00    0.00   74.15
23:24:58     all    2.69    0.00   13.20    0.00    0.00    9.05    0.00    0.00    0.00   75.06
23:24:59     all    2.96    0.00   13.83    0.00    0.00    7.90    0.00    0.00    0.00   75.31
23:25:00     all    3.59    0.00   15.31    0.00    0.00    9.81    0.00    0.00    0.00   71.29
23:25:01     all    2.91    0.00   13.59    0.00    0.00    8.98    0.00    0.00    0.00   74.51
23:25:02     all    3.44    0.00   14.50    0.25    0.00    8.11    0.00    0.00    0.00   73.71
23:25:03     all    2.72    0.00   13.58    0.00    0.00    8.64    0.00    0.00    0.00   75.06
23:25:04     all    2.43    0.00   10.46    0.00    0.00    8.76    0.00    0.00    0.00   78.35
23:25:05     all    3.85    0.00   14.42    0.00    0.00    8.17    0.00    0.00    0.00   73.56
23:25:06     all    3.66    0.00   13.66    0.98    0.00    7.80    0.00    0.00    0.00   73.90
23:25:07     all    2.48    0.00    8.42    0.00    0.00    8.17    0.00    0.00    0.00   80.94
23:25:08     all    3.15    0.00   13.08    0.00    0.00    9.20    0.00    0.00    0.00   74.58
23:25:09     all    3.40    0.00   14.56    0.00    0.00    8.25    0.00    0.00    0.00   73.79
23:25:10     all    2.46    0.00   14.50    0.00    0.00    8.35    0.00    0.00    0.00   74.69
23:25:11     all    2.94    0.00   13.97    0.00    0.00    9.31    0.00    0.00    0.00   73.77
23:25:12     all    2.51    0.00   11.78    0.25    0.00    8.52    0.00    0.00    0.00   76.94
23:25:13     all    3.34    0.00   14.80    0.00    0.00    8.83    0.00    0.00    0.00   73.03
23:25:14     all    3.87    0.00   15.74    0.00    0.00    7.26    0.00    0.00    0.00   73.12
23:25:15     all    3.44    0.00   13.51    0.00    0.00    8.11    0.00    0.00    0.00   74.94
23:25:16     all    2.93    0.00   15.61    0.00    0.00    8.78    0.00    0.00    0.00   72.68
23:25:17     all    2.73    0.00   13.65    0.00    0.00    9.18    0.00    0.00    0.00   74.44
23:25:18     all    2.88    0.00   12.23    0.24    0.00    8.87    0.00    0.00    0.00   75.78
23:25:19     all    1.72    0.00    7.39    0.00    0.00    8.62    0.00    0.00    0.00   82.27
23:25:20     all    2.48    0.00   10.92    0.00    0.00    7.94    0.00    0.00    0.00   78.66
23:25:21     all    3.41    0.00   12.93    0.00    0.00    8.54    0.00    0.00    0.00   75.12
23:25:22     all    2.68    0.00   13.17    0.00    0.00    8.05    0.00    0.00    0.00   76.10
23:25:23     all    3.41    0.00   12.65    0.00    0.00    8.52    0.00    0.00    0.00   75.43
23:25:24     all    2.97    0.00   14.36    0.25    0.00    9.41    0.00    0.00    0.00   73.02
23:25:25     all    3.85    0.00   15.62    0.00    0.00    7.93    0.00    0.00    0.00   72.60
23:25:26     all    3.19    0.00   14.95    0.00    0.00    9.07    0.00    0.00    0.00   72.79
23:25:27     all    2.91    0.00   14.56    0.00    0.00    8.98    0.00    0.00    0.00   73.54
23:25:28     all    2.91    0.00   13.80    0.00    0.00    9.20    0.00    0.00    0.00   74.09
23:25:29     all    3.38    0.00   14.49    0.00    0.00    8.45    0.00    0.00    0.00   73.67
23:25:30     all    2.51    0.00   13.82    0.00    0.00    8.04    0.00    0.00    0.00   75.63
23:25:31     all    2.78    0.00   12.88    0.00    0.00    8.59    0.00    0.00    0.00   75.76
23:25:32     all    3.55    0.00   15.40    0.00    0.00    9.48    0.00    0.00    0.00   71.56
23:25:33     all    3.88    0.00   13.59    0.00    0.00    9.22    0.00    0.00    0.00   73.30
23:25:34     all    2.70    0.00   13.24    0.00    0.00    8.09    0.00    0.00    0.00   75.98
23:25:35     all    3.18    0.00   13.20    0.00    0.00    9.29    0.00    0.00    0.00   74.33
23:25:36     all    3.38    0.00   14.73    0.00    0.00    9.18    0.00    0.00    0.00   72.71
23:25:37     all    3.83    0.00   14.59    0.00    0.00    8.85    0.00    0.00    0.00   72.73
23:25:38     all    2.27    0.00   12.88    0.00    0.00    8.08    0.00    0.00    0.00   76.77
23:25:39     all    2.92    0.00   13.87    0.00    0.00    8.27    0.00    0.00    0.00   74.94
23:25:40     all    3.60    0.00   14.39    0.00    0.00    9.11    0.00    0.00    0.00   72.90
23:25:41     all    2.44    0.00   15.16    0.00    0.00    8.31    0.00    0.00    0.00   74.08
23:25:42     all    2.67    0.00   14.56    0.00    0.00    8.50    0.00    0.00    0.00   74.27
23:25:43     all    3.62    0.00   14.01    0.00    0.00    8.21    0.00    0.00    0.00   74.15
23:25:44     all    2.72    0.00   14.32    0.00    0.00    8.64    0.00    0.00    0.00   74.32
23:25:45     all    3.37    0.00   15.66    0.00    0.00    7.95    0.00    0.00    0.00   73.01
23:25:46     all    2.95    0.00   14.25    0.49    0.00    8.11    0.00    0.00    0.00   74.20
23:25:47     all    2.68    0.00   14.84    0.00    0.00    7.79    0.00    0.00    0.00   74.70
23:25:48     all    3.62    0.00   14.01    0.00    0.00    8.70    0.00    0.00    0.00   73.67
23:25:49     all    3.22    0.00   13.86    0.00    0.00    7.43    0.00    0.00    0.00   75.50
23:25:50     all    2.70    0.00   14.71    0.00    0.00    9.07    0.00    0.00    0.00   73.53
23:25:51     all    2.93    0.00   13.90    0.00    0.00    9.02    0.00    0.00    0.00   74.15
23:25:52     all    3.45    0.00   13.79    0.00    0.00    8.37    0.00    0.00    0.00   74.38
23:25:53     all    2.93    0.00   15.16    0.00    0.00    9.05    0.00    0.00    0.00   72.86
23:25:54     all    3.40    0.00   16.26    0.00    0.00    7.28    0.00    0.00    0.00   73.06
23:25:55     all    2.97    0.00   13.86    0.00    0.00    7.92    0.00    0.00    0.00   75.25
23:25:56     all    2.72    0.00   13.37    0.00    0.00    8.42    0.00    0.00    0.00   75.50
23:25:57     all    3.15    0.00   14.53    0.00    0.00    8.72    0.00    0.00    0.00   73.61
23:25:58     all    2.73    0.00   14.14    0.00    0.00    7.94    0.00    0.00    0.00   75.19
23:25:59     all    2.96    0.00   14.07    0.00    0.00    7.90    0.00    0.00    0.00   75.06
23:26:00     all    2.93    0.00   14.88    0.00    0.00    8.29    0.00    0.00    0.00   73.90
23:26:01     all    2.94    0.00   13.73    0.00    0.00    8.82    0.00    0.00    0.00   74.51
23:26:02     all    1.25    0.00    4.74    0.00    0.00    2.99    0.00    0.00    0.00   91.02
23:26:03     all    0.50    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.25
23:26:04     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:26:05     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:26:06     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:26:07     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:26:08     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:26:09     all    0.00    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   99.75
23:26:10     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:26:11     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
