Linux 6.8.0-1062-azure (csb-bench-host-azure) 	08/04/26 	_x86_64_	(4 CPU)

22:59:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:59:57     all   46.85    0.00    3.02    0.00    0.00    1.01    0.00    0.00    0.00   49.12
22:59:58     all   27.66    0.00    2.28    0.00    0.00    0.76    0.00    0.00    0.00   69.29
22:59:59     all   30.71    0.00    1.78    0.00    0.00    0.76    0.00    0.00    0.00   66.75
23:00:00     all   27.27    0.00    2.27    0.00    0.00    0.76    0.00    0.00    0.00   69.70
23:00:01     all   25.00    0.00    2.30    0.00    0.00    0.26    0.00    0.00    0.00   72.45
23:00:02     all   27.96    0.00    1.76    0.25    0.00    1.01    0.00    0.00    0.00   69.02
23:00:03     all   25.38    0.00    2.03    0.00    0.00    0.76    0.00    0.00    0.00   71.83
23:00:04     all   22.31    0.00    1.79    0.26    0.00    0.77    0.00    0.00    0.00   74.87
23:00:05     all   22.42    0.00    2.27    0.00    0.00    0.76    0.00    0.00    0.00   74.56
23:00:06     all   27.55    0.00    2.04    0.00    0.00    0.77    0.00    0.00    0.00   69.64
23:00:07     all   25.13    0.00    2.03    0.00    0.00    1.02    0.00    0.00    0.00   71.83
23:00:08     all   24.74    0.00    2.04    0.26    0.00    0.26    0.00    0.00    0.00   72.70
23:00:09     all   29.37    0.00    2.28    0.00    0.00    1.01    0.00    0.00    0.00   67.34
23:00:10     all   24.68    0.00    1.78    0.00    0.00    0.51    0.00    0.00    0.00   73.03
23:00:11     all   24.17    0.00    1.78    0.00    0.00    0.76    0.00    0.00    0.00   73.28
23:00:12     all   22.65    0.00    2.80    0.25    0.00    0.51    0.00    0.00    0.00   73.79
23:00:13     all   29.26    0.00    1.27    0.25    0.00    0.76    0.00    0.00    0.00   68.45
23:00:14     all   23.92    0.00    2.29    0.00    0.00    0.51    0.00    0.00    0.00   73.28
23:00:15     all   22.53    0.00    1.77    0.00    0.00    1.01    0.00    0.00    0.00   74.68
23:00:16     all   27.96    0.00    2.27    0.00    0.00    1.01    0.00    0.00    0.00   68.77
23:00:17     all   26.21    0.00    1.53    0.00    0.00    0.76    0.00    0.00    0.00   71.50
23:00:18     all   25.51    0.00    2.55    0.00    0.00    0.77    0.00    0.00    0.00   71.17
23:00:19     all   28.32    0.00    2.30    0.00    0.00    0.51    0.00    0.00    0.00   68.88
23:00:20     all   28.21    0.00    2.27    0.00    0.00    1.01    0.00    0.00    0.00   68.51
23:00:21     all   27.66    0.00    1.78    0.00    0.00    0.51    0.00    0.00    0.00   70.05
23:00:22     all   29.26    0.00    2.80    0.00    0.00    0.76    0.00    0.00    0.00   67.18
23:00:23     all   29.16    0.00    1.79    0.00    0.00    0.51    0.00    0.00    0.00   68.54
23:00:24     all   24.62    0.00    2.03    0.00    0.00    1.02    0.00    0.00    0.00   72.34
23:00:25     all   22.65    0.00    1.53    0.51    0.00    0.25    0.00    0.00    0.00   75.06
23:00:26     all   27.96    0.00    2.52    0.00    0.00    1.01    0.00    0.00    0.00   68.51
23:00:27     all   27.04    0.00    1.79    0.00    0.00    0.26    0.00    0.00    0.00   70.92
23:00:28     all   27.16    0.00    1.78    0.00    0.00    0.76    0.00    0.00    0.00   70.30
23:00:29     all   34.34    0.00    2.27    0.00    0.00    0.76    0.00    0.00    0.00   62.63
23:00:30     all   21.99    0.00    1.79    0.00    0.00    1.02    0.00    0.00    0.00   75.19
23:00:31     all   24.17    0.00    2.54    0.00    0.00    1.02    0.00    0.00    0.00   72.26
23:00:32     all   33.42    0.00    1.79    0.00    0.00    0.77    0.00    0.00    0.00   64.03
23:00:33     all   34.26    0.00    1.52    0.00    0.00    0.76    0.00    0.00    0.00   63.45
23:00:34     all   25.19    0.00    2.52    0.00    0.00    1.01    0.00    0.00    0.00   71.28
23:00:35     all   22.65    0.00    1.53    0.00    0.00    0.51    0.00    0.00    0.00   75.32
23:00:36     all   27.96    0.00    1.76    0.25    0.00    1.01    0.00    0.00    0.00   69.02
23:00:37     all   25.00    0.00    2.04    0.00    0.00    0.51    0.00    0.00    0.00   72.45
23:00:38     all   33.50    0.00    1.78    0.00    0.00    0.76    0.00    0.00    0.00   63.96
23:00:39     all   28.79    0.00    2.27    0.00    0.00    0.76    0.00    0.00    0.00   68.18
23:00:40     all   25.00    0.00    1.79    0.00    0.00    0.77    0.00    0.00    0.00   72.45
23:00:41     all   31.82    0.00    1.77    0.51    0.00    0.76    0.00    0.00    0.00   65.15
23:00:42     all   24.94    0.00    2.04    0.00    0.00    0.51    0.00    0.00    0.00   72.52
23:00:43     all   24.87    0.00    2.03    0.00    0.00    0.76    0.00    0.00    0.00   72.34
23:00:44     all   24.62    0.00    1.54    0.00    0.00    0.77    0.00    0.00    0.00   73.08
23:00:45     all   23.10    0.00    2.28    0.00    0.00    1.02    0.00    0.00    0.00   73.60
23:00:46     all   25.06    0.00    1.79    0.00    0.00    0.77    0.00    0.00    0.00   72.38
23:00:47     all   23.17    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   73.80
23:00:48     all   22.56    0.00    1.79    0.00    0.00    1.03    0.00    0.00    0.00   74.62
23:00:49     all   24.55    0.00    2.30    0.00    0.00    0.77    0.00    0.00    0.00   72.38
23:00:50     all   26.21    0.00    1.53    0.00    0.00    1.02    0.00    0.00    0.00   71.25
23:00:51     all   25.00    0.00    2.30    0.00    0.00    0.51    0.00    0.00    0.00   72.19
23:00:52     all   25.25    0.00    1.52    0.00    0.00    0.76    0.00    0.00    0.00   72.47
23:00:53     all    3.28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.72
23:00:54     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
23:00:55     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:00:56     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
23:00:57     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
23:00:58     all   20.85    0.00    1.51    0.00    0.00    1.01    0.00    0.00    0.00   76.63
23:00:59     all   27.48    0.00    1.27    0.25    0.00    0.51    0.00    0.00    0.00   70.48
23:01:00     all   28.06    0.00    2.04    0.00    0.00    0.51    0.00    0.00    0.00   69.39
23:01:01     all   24.62    0.00    2.03    0.00    0.00    0.76    0.00    0.00    0.00   72.59
23:01:02     all   25.00    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   71.97
23:01:03     all   23.16    0.00    2.54    0.00    0.00    1.02    0.00    0.00    0.00   73.28
23:01:04     all   29.41    0.00    2.05    0.00    0.00    0.51    0.00    0.00    0.00   68.03
