Linux 6.8.0-1062-azure (csb-bench-host-azure) 	08/04/26 	_x86_64_	(4 CPU)

23:38:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:38:18     all   10.10    0.00    3.54    0.00    0.00    0.00    0.00    0.00    0.00   86.36
23:38:19     all    3.54    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.44
23:38:20     all   41.35    0.00    2.51    0.00    0.00    0.75    0.00    0.00    0.00   55.39
23:38:21     all   32.98    0.00   24.66    0.00    0.00   11.53    0.00    0.00    0.00   30.83
23:38:22     all   39.47    0.00   21.87    0.00    0.00    8.53    0.00    0.00    0.00   30.13
23:38:23     all   41.27    0.00   20.63    0.00    0.00    8.20    0.00    0.00    0.00   29.89
23:38:24     all   42.18    0.00   17.77    0.00    0.00    8.22    0.00    0.00    0.00   31.83
23:38:25     all   35.04    0.00   21.83    0.00    0.00    8.63    0.00    0.00    0.00   34.50
23:38:26     all   31.40    0.00   21.90    0.00    0.00   10.55    0.00    0.00    0.00   36.15
23:38:27     all   40.92    0.00   20.87    0.00    0.00    8.94    0.00    0.00    0.00   29.27
23:38:28     all   39.68    0.00   18.77    0.00    0.00    9.38    0.00    0.00    0.00   32.17
23:38:29     all   40.32    0.00   18.55    0.00    0.00    8.33    0.00    0.00    0.00   32.80
23:38:30     all   40.74    0.00   19.05    0.00    0.00    7.67    0.00    0.00    0.00   32.54
23:38:31     all   38.83    0.00   18.88    0.00    0.00    8.24    0.00    0.00    0.00   34.04
23:38:32     all   29.38    0.00   23.18    0.00    0.00   10.24    0.00    0.00    0.00   37.20
23:38:33     all   40.21    0.00   20.38    0.00    0.00    9.12    0.00    0.00    0.00   30.29
23:38:34     all   40.64    0.00   19.79    0.00    0.00    8.56    0.00    0.00    0.00   31.02
23:38:35     all   42.59    0.00   18.33    0.27    0.00    7.55    0.00    0.00    0.00   31.27
23:38:36     all   40.96    0.00   20.21    0.00    0.00    8.24    0.00    0.00    0.00   30.59
23:38:37     all   39.04    0.00   18.45    0.00    0.00    7.49    0.00    0.00    0.00   35.03
23:38:38     all   40.53    0.00   19.74    0.00    0.00    7.89    0.00    0.00    0.00   31.84
23:38:39     all   40.85    0.00   19.10    0.00    0.00    7.96    0.00    0.00    0.00   32.10
23:38:40     all   37.10    0.00   19.89    0.00    0.00    7.53    0.00    0.00    0.00   35.48
23:38:41     all   31.73    0.00   21.87    0.00    0.00    8.27    0.00    0.00    0.00   38.13
23:38:42     all   40.86    0.00   19.89    0.00    0.00    7.80    0.00    0.00    0.00   31.45
23:38:43     all   40.94    0.00   19.69    0.00    0.00    8.14    0.00    0.00    0.00   31.23
23:38:44     all   40.96    0.00   18.88    0.00    0.00    9.04    0.00    0.00    0.00   31.12
23:38:45     all   41.22    0.00   19.41    0.00    0.00    8.24    0.00    0.00    0.00   31.12
23:38:46     all   41.05    0.00   18.68    0.00    0.00    7.89    0.00    0.00    0.00   32.37
23:38:47     all   41.87    0.00   18.67    0.27    0.00    8.27    0.00    0.00    0.00   30.93
23:38:48     all   38.81    0.00   18.33    0.00    0.00    8.63    0.00    0.00    0.00   34.23
23:38:49     all   36.19    0.00   20.11    0.00    0.00    9.38    0.00    0.00    0.00   34.32
23:38:50     all   32.09    0.00   21.93    0.00    0.00    8.29    0.00    0.00    0.00   37.70
23:38:51     all   42.16    0.00   18.11    0.00    0.00   10.27    0.00    0.00    0.00   29.46
23:38:52     all   40.58    0.00   19.36    0.00    0.00    8.49    0.00    0.00    0.00   31.56
23:38:53     all   41.55    0.00   17.69    0.00    0.00    8.31    0.00    0.00    0.00   32.44
23:38:54     all   22.31    0.00    8.97    0.00    0.00    4.10    0.00    0.00    0.00   64.62
23:38:55     all   37.73    0.00   19.79    0.00    0.00    8.44    0.00    0.00    0.00   34.04
23:38:56     all   39.14    0.00   19.84    0.00    0.00    8.04    0.00    0.00    0.00   32.98
23:38:57     all   41.64    0.00   18.04    0.00    0.00    7.96    0.00    0.00    0.00   32.36
23:38:58     all   41.40    0.00   18.01    0.00    0.00    9.41    0.00    0.00    0.00   31.18
23:38:59     all   41.38    0.00   18.83    0.00    0.00    8.22    0.00    0.00    0.00   31.56
23:39:00     all   40.58    0.00   19.63    0.00    0.00    9.28    0.00    0.00    0.00   30.50
23:39:01     all   42.29    0.00   17.29    0.00    0.00    7.71    0.00    0.00    0.00   32.71
23:39:02     all   40.53    0.00   19.20    0.00    0.00    8.53    0.00    0.00    0.00   31.73
23:39:03     all   41.08    0.00   18.38    0.27    0.00    7.57    0.00    0.00    0.00   32.70
23:39:04     all   39.84    0.00   17.91    0.27    0.00    8.56    0.00    0.00    0.00   33.42
23:39:05     all   36.53    0.00   18.93    0.00    0.00    8.80    0.00    0.00    0.00   35.73
23:39:06     all   36.41    0.00   19.29    0.00    0.00    8.42    0.00    0.00    0.00   35.87
23:39:07     all   41.14    0.00   18.53    0.00    0.00    7.63    0.00    0.00    0.00   32.70
23:39:08     all   40.86    0.00   16.67    0.00    0.00    9.95    0.00    0.00    0.00   32.53
