Linux 6.8.0-1062-azure (csb-bench-host-azure) 	08/04/26 	_x86_64_	(4 CPU)

21:19:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:19:14     all   47.12    0.00    2.51    0.00    0.00    0.75    0.00    0.00    0.00   49.62
21:19:15     all   21.97    0.00    2.27    0.00    0.00    0.51    0.00    0.00    0.00   75.25
21:19:16     all   24.11    0.00    2.03    0.25    0.00    1.02    0.00    0.00    0.00   72.59
21:19:17     all   25.06    0.00    1.79    0.00    0.00    0.00    0.00    0.00    0.00   73.15
21:19:18     all   28.28    0.00    2.27    0.00    0.00    1.01    0.00    0.00    0.00   68.43
21:19:19     all   27.48    0.00    1.53    0.00    0.00    0.25    0.00    0.00    0.00   70.74
21:19:20     all   32.32    0.00    1.27    0.00    0.00    0.76    0.00    0.00    0.00   65.65
21:19:21     all   24.24    0.00    2.53    0.00    0.00    0.25    0.00    0.00    0.00   72.98
21:19:22     all   26.88    0.00    2.26    0.25    0.00    1.01    0.00    0.00    0.00   69.60
21:19:23     all   23.80    0.00    2.03    0.00    0.00    0.25    0.00    0.00    0.00   73.92
21:19:24     all   29.26    0.00    1.53    0.00    0.00    0.51    0.00    0.00    0.00   68.70
21:19:25     all   22.76    0.00    1.02    0.00    0.00    0.51    0.00    0.00    0.00   75.70
21:19:26     all   25.94    0.00    2.02    0.00    0.00    0.76    0.00    0.00    0.00   71.28
21:19:27     all   29.70    0.00    2.28    0.00    0.00    0.25    0.00    0.00    0.00   67.77
21:19:28     all   28.64    0.00    1.79    0.00    0.00    0.51    0.00    0.00    0.00   69.05
21:19:29     all   31.57    0.00    2.02    0.00    0.00    0.76    0.00    0.00    0.00   65.66
21:19:30     all   10.05    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   89.20
21:19:31     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
