Linux 6.8.0-1062-azure (csb-bench-host-azure) 	08/04/26 	_x86_64_	(4 CPU)

20:15:53     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:15:54     all   46.73    0.00    2.26    0.00    0.00    0.75    0.00    0.00    0.00   50.25
20:15:55     all   41.48    0.00    2.04    0.00    0.00    0.51    0.00    0.00    0.00   55.98
20:15:56     all   36.04    0.00    2.28    0.00    0.00    0.76    0.00    0.00    0.00   60.91
20:15:57     all   43.04    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   54.94
20:15:58     all   28.43    0.00    2.03    0.00    0.00    0.76    0.00    0.00    0.00   68.78
20:15:59     all   28.68    0.00    2.03    0.00    0.00    0.76    0.00    0.00    0.00   68.53
20:16:00     all   39.65    0.00    2.02    0.00    0.00    0.76    0.00    0.00    0.00   57.58
20:16:01     all   45.84    0.00    1.76    0.00    0.00    1.26    0.00    0.00    0.00   51.13
20:16:02     all   32.32    0.00    1.78    0.25    0.00    0.51    0.00    0.00    0.00   65.14
20:16:03     all   40.25    0.00    1.52    0.00    0.00    0.76    0.00    0.00    0.00   57.47
20:16:04     all   31.89    0.00    1.53    0.00    0.00    0.51    0.00    0.00    0.00   66.07
20:16:05     all   36.46    0.00    1.77    0.00    0.00    0.51    0.00    0.00    0.00   61.27
20:16:06     all   36.71    0.00    2.03    0.00    0.00    0.76    0.00    0.00    0.00   60.51
20:16:07     all   35.53    0.00    2.03    0.00    0.00    0.25    0.00    0.00    0.00   62.18
20:16:08     all   38.07    0.00    1.27    0.51    0.00    0.76    0.00    0.00    0.00   59.39
20:16:09     all   46.10    0.00    1.76    0.25    0.00    1.01    0.00    0.00    0.00   50.88
20:16:10     all   35.19    0.00    1.77    0.00    0.00    0.51    0.00    0.00    0.00   62.53
20:16:11     all   32.06    0.00    2.04    0.00    0.00    0.51    0.00    0.00    0.00   65.39
20:16:12     all   32.06    0.00    1.53    0.00    0.00    0.25    0.00    0.00    0.00   66.16
20:16:13     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:16:14     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:16:15     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
20:16:16     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:16:17     all    2.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.00
20:16:18     all   29.59    0.00    1.28    0.00    0.00    0.77    0.00    0.00    0.00   68.37
20:16:19     all   35.68    0.00    2.01    0.00    0.00    0.50    0.00    0.00    0.00   61.81
20:16:20     all   37.53    0.00    1.76    0.25    0.00    0.25    0.00    0.00    0.00   60.20
20:16:21     all   29.62    0.00    1.77    0.00    0.00    1.01    0.00    0.00    0.00   67.59
20:16:22     all   43.19    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   54.76
20:16:23     all   30.73    0.00    1.76    0.00    0.00    0.76    0.00    0.00    0.00   66.75
20:16:24     all   31.55    0.00    1.53    0.00    0.00    0.51    0.00    0.00    0.00   66.41
20:16:25     all   54.08    0.00    1.28    0.00    0.00    0.00    0.00    0.00    0.00   44.64
20:16:26     all   44.81    0.00    1.77    0.25    0.00    0.76    0.00    0.00    0.00   52.41
20:16:27     all   32.15    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   65.82
20:16:28     all   34.69    0.00    1.28    0.00    0.00    0.00    0.00    0.00    0.00   64.03
20:16:29     all   41.96    0.00    2.01    0.00    0.00    0.75    0.00    0.00    0.00   55.28
20:16:30     all   31.71    0.00    1.28    0.00    0.00    0.26    0.00    0.00    0.00   66.75
20:16:31     all   45.41    0.00    1.79    0.26    0.00    0.77    0.00    0.00    0.00   51.79
20:16:32     all   33.84    0.00    1.77    0.00    0.00    0.51    0.00    0.00    0.00   63.89
20:16:33     all   36.39    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   61.83
20:16:34     all   35.88    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   62.34
20:16:35     all   51.63    0.00    1.50    0.00    0.00    1.00    0.00    0.00    0.00   45.86
20:16:36     all   32.31    0.00    1.28    0.26    0.00    0.26    0.00    0.00    0.00   65.90
20:16:37     all   36.27    0.00    1.76    0.00    0.00    0.50    0.00    0.00    0.00   61.46
20:16:38     all   44.44    0.00    1.26    0.00    0.00    0.51    0.00    0.00    0.00   53.79
20:16:39     all   38.78    0.00    1.79    0.00    0.00    0.77    0.00    0.00    0.00   58.67
20:16:40     all   35.88    0.00    1.78    0.00    0.00    0.25    0.00    0.00    0.00   62.09
20:16:41     all   33.59    0.00    2.29    0.00    0.00    0.76    0.00    0.00    0.00   63.36
20:16:42     all   31.88    0.00    1.80    0.00    0.00    0.00    0.00    0.00    0.00   66.32
20:16:43     all   37.37    0.00    1.77    0.00    0.00    0.76    0.00    0.00    0.00   60.10
20:16:44     all   33.42    0.00    1.79    0.00    0.00    0.26    0.00    0.00    0.00   64.54
20:16:45     all   61.21    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   37.28
20:16:46     all   34.09    0.00    1.52    0.00    0.00    0.76    0.00    0.00    0.00   63.64
20:16:47     all   33.75    0.00    2.27    0.00    0.00    0.25    0.00    0.00    0.00   63.73
20:16:48     all   44.16    0.00    1.52    0.51    0.00    0.25    0.00    0.00    0.00   53.55
20:16:49     all   40.10    0.00    1.50    0.00    0.00    0.75    0.00    0.00    0.00   57.64
20:16:50     all   35.20    0.00    1.28    0.00    0.00    0.51    0.00    0.00    0.00   63.01
20:16:51     all   39.55    0.00    2.02    0.00    0.00    0.50    0.00    0.00    0.00   57.93
20:16:52     all   34.02    0.00    1.79    0.00    0.00    0.51    0.00    0.00    0.00   63.68
20:16:53     all   37.76    0.00    1.28    0.00    0.00    0.26    0.00    0.00    0.00   60.71
20:16:54     all   34.92    0.00    1.51    0.00    0.00    0.75    0.00    0.00    0.00   62.81
20:16:55     all   41.94    0.00    1.28    0.00    0.00    0.00    0.00    0.00    0.00   56.78
20:16:56     all   33.16    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   64.81
20:16:57     all   27.46    0.00    2.02    0.00    0.00    0.50    0.00    0.00    0.00   70.03
20:16:58     all   35.53    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   62.69
20:16:59     all   36.48    0.00    1.53    0.00    0.00    0.51    0.00    0.00    0.00   61.48
20:17:00     all   44.19    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   53.79
20:17:01     all   34.43    0.00    2.03    0.00    0.00    0.25    0.00    0.00    0.00   63.29
20:17:02     all   31.57    0.00    2.27    0.00    0.00    0.51    0.00    0.00    0.00   65.66
20:17:03     all   38.07    0.00    1.78    0.00    0.00    1.02    0.00    0.00    0.00   59.14
20:17:04     all   43.54    0.00    1.77    0.00    0.00    0.51    0.00    0.00    0.00   54.18
20:17:05     all   38.68    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   60.31
20:17:06     all   30.71    0.00    2.28    0.00    0.00    0.51    0.00    0.00    0.00   66.50
20:17:07     all   29.80    0.00    1.26    0.00    0.00    0.51    0.00    0.00    0.00   68.43
20:17:08     all   53.81    0.00    1.52    0.25    0.00    0.51    0.00    0.00    0.00   43.91
20:17:09     all   32.49    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   65.48
20:17:10     all   30.10    0.00    1.28    0.00    0.00    0.26    0.00    0.00    0.00   68.37
20:17:11     all   34.68    0.00    1.77    0.00    0.00    0.25    0.00    0.00    0.00   63.29
20:17:12     all   35.10    0.00    1.77    0.00    0.00    0.76    0.00    0.00    0.00   62.37
20:17:13     all   33.92    0.00    1.52    0.25    0.00    0.76    0.00    0.00    0.00   63.54
20:17:14     all   35.90    0.00    1.54    0.00    0.00    0.26    0.00    0.00    0.00   62.31
20:17:15     all   36.02    0.00    1.51    0.00    0.00    0.76    0.00    0.00    0.00   61.71
20:17:16     all   36.87    0.00    2.02    0.00    0.00    0.76    0.00    0.00    0.00   60.35
20:17:17     all   39.95    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   58.52
20:17:18     all   41.71    0.00    1.76    0.00    0.00    0.50    0.00    0.00    0.00   56.03
20:17:19     all   40.20    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   58.02
20:17:20     all   27.48    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   70.99
20:17:21     all   38.07    0.00    2.28    0.00    0.00    0.76    0.00    0.00    0.00   58.88
20:17:22     all   42.64    0.00    2.03    0.00    0.00    0.51    0.00    0.00    0.00   54.82
20:17:23     all   37.97    0.00    1.27    0.25    0.00    0.51    0.00    0.00    0.00   60.00
20:17:24     all   30.46    0.00    1.78    0.00    0.00    0.25    0.00    0.00    0.00   67.51
20:17:25     all   35.71    0.00    1.28    0.00    0.00    0.51    0.00    0.00    0.00   62.50
20:17:26     all   27.62    0.00    1.53    0.00    0.00    0.26    0.00    0.00    0.00   70.59
20:17:27     all   43.61    0.00    1.75    0.00    0.00    1.00    0.00    0.00    0.00   53.63
20:17:28     all   41.48    0.00    1.78    0.00    0.00    0.25    0.00    0.00    0.00   56.49
20:17:29     all   30.87    0.00    1.53    0.51    0.00    0.77    0.00    0.00    0.00   66.33
20:17:30     all   33.84    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   64.38
20:17:31     all   34.35    0.00    1.53    0.00    0.00    0.25    0.00    0.00    0.00   63.87
20:17:32     all   47.36    0.00    1.26    0.00    0.00    0.50    0.00    0.00    0.00   50.88
20:17:33     all   41.27    0.00    1.52    0.00    0.00    1.01    0.00    0.00    0.00   56.20
20:17:34     all   44.90    0.00    1.28    0.00    0.00    0.26    0.00    0.00    0.00   53.57
20:17:35     all   46.85    0.00    1.51    0.00    0.00    1.01    0.00    0.00    0.00   50.63
20:17:36     all   53.69    0.00    1.53    0.00    0.00    0.25    0.00    0.00    0.00   44.53
20:17:37     all   37.06    0.00    1.78    0.00    0.00    0.25    0.00    0.00    0.00   60.91
20:17:38     all   31.22    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   66.75
20:17:39     all   35.19    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   62.78
20:17:40     all   38.83    0.00    2.03    0.25    0.00    0.51    0.00    0.00    0.00   58.38
20:17:41     all   30.03    0.00    1.53    0.00    0.00    0.25    0.00    0.00    0.00   68.19
20:17:42     all   44.67    0.00    1.78    0.00    0.00    0.76    0.00    0.00    0.00   52.79
20:17:43     all   34.69    0.00    1.53    0.00    0.00    0.26    0.00    0.00    0.00   63.52
20:17:44     all   28.03    0.00    2.02    0.00    0.00    0.25    0.00    0.00    0.00   69.70
20:17:45     all   31.65    0.00    1.77    0.00    0.00    0.51    0.00    0.00    0.00   66.08
20:17:46     all   37.15    0.00    1.78    0.00    0.00    0.51    0.00    0.00    0.00   60.56
20:17:47     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
20:17:48     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
20:17:49     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:17:50     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:17:51     all    1.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.49
20:17:52     all   29.52    0.00    2.54    0.00    0.00    0.00    0.00    0.00    0.00   67.94
20:17:53     all   33.84    0.00    1.77    0.00    0.00    0.76    0.00    0.00    0.00   63.64
20:17:54     all   36.67    0.00    1.28    0.00    0.00    0.26    0.00    0.00    0.00   61.79
20:17:55     all   37.78    0.00    1.51    0.00    0.00    0.50    0.00    0.00    0.00   60.20
20:17:56     all   50.89    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   47.58
20:17:57     all   60.35    0.00    1.26    0.00    0.00    1.01    0.00    0.00    0.00   37.37
20:17:58     all   42.20    0.00    1.53    0.00    0.00    0.26    0.00    0.00    0.00   56.01
20:17:59     all   38.48    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   59.49
20:18:00     all   44.02    0.00    1.53    0.00    0.00    0.51    0.00    0.00    0.00   53.94
20:18:01     all   37.22    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   60.76
20:18:02     all   34.60    0.00    1.26    0.76    0.00    0.51    0.00    0.00    0.00   62.88
20:18:03     all   28.24    0.00    1.53    0.00    0.00    0.51    0.00    0.00    0.00   69.72
20:18:04     all   34.10    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   64.12
20:18:05     all   42.28    0.00    1.77    0.00    0.00    0.25    0.00    0.00    0.00   55.70
20:18:06     all   30.38    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   67.59
20:18:07     all   39.39    0.00    1.02    0.00    0.00    0.26    0.00    0.00    0.00   59.34
20:18:08     all   34.61    0.00    1.78    0.00    0.00    0.51    0.00    0.00    0.00   63.10
20:18:09     all   36.90    0.00    2.29    0.00    0.00    0.51    0.00    0.00    0.00   60.31
20:18:10     all   47.46    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   50.51
20:18:11     all   33.16    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   65.06
20:18:12     all   34.09    0.00    1.77    0.00    0.00    0.76    0.00    0.00    0.00   63.38
20:18:13     all   29.95    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   68.02
20:18:14     all   38.82    0.00    1.54    0.00    0.00    0.00    0.00    0.00    0.00   59.64
20:18:15     all   35.84    0.00    2.01    0.00    0.00    0.75    0.00    0.00    0.00   61.40
20:18:16     all   28.42    0.00    1.55    0.00    0.00    0.26    0.00    0.00    0.00   69.77
20:18:17     all   31.47    0.00    1.78    0.00    0.00    0.51    0.00    0.00    0.00   66.24
20:18:18     all   31.30    0.00    2.04    0.25    0.00    0.25    0.00    0.00    0.00   66.16
20:18:19     all   31.65    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   66.33
