Linux 6.8.0-1062-azure (csb-bench-host-azure) 	08/04/26 	_x86_64_	(4 CPU)

23:19:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:19:10     all   47.25    0.00    3.25    0.00    0.00    1.00    0.00    0.00    0.00   48.50
23:19:11     all   23.54    0.00    2.28    0.25    0.00    0.51    0.00    0.00    0.00   73.42
23:19:12     all   27.55    0.00    2.04    0.00    0.00    0.77    0.00    0.00    0.00   69.64
23:19:13     all   28.17    0.00    2.28    0.00    0.00    1.27    0.00    0.00    0.00   68.27
23:19:14     all   24.43    0.00    2.29    0.00    0.00    1.02    0.00    0.00    0.00   72.26
23:19:15     all   25.45    0.00    1.53    0.00    0.00    0.25    0.00    0.00    0.00   72.77
23:19:16     all   27.23    0.00    1.78    0.00    0.00    0.51    0.00    0.00    0.00   70.48
23:19:17     all   24.87    0.00    2.31    0.00    0.00    0.77    0.00    0.00    0.00   72.05
23:19:18     all   30.28    0.00    2.04    0.25    0.00    1.02    0.00    0.00    0.00   66.41
23:19:19     all   24.94    0.00    1.76    0.00    0.00    0.50    0.00    0.00    0.00   72.80
23:19:20     all   28.86    0.00    2.28    0.00    0.00    1.01    0.00    0.00    0.00   67.85
23:19:21     all   28.83    0.00    2.30    0.00    0.00    1.02    0.00    0.00    0.00   67.86
23:19:22     all   25.57    0.00    2.53    0.00    0.00    0.76    0.00    0.00    0.00   71.14
23:19:23     all   24.94    0.00    1.53    0.00    0.00    0.76    0.00    0.00    0.00   72.77
23:19:24     all   25.57    0.00    2.28    0.00    0.00    1.01    0.00    0.00    0.00   71.14
23:19:25     all   25.45    0.00    1.54    0.00    0.00    0.51    0.00    0.00    0.00   72.49
23:19:26     all   23.74    0.00    2.78    0.00    0.00    1.01    0.00    0.00    0.00   72.47
23:19:27     all   29.62    0.00    2.53    0.00    0.00    1.01    0.00    0.00    0.00   66.84
23:19:28     all   22.65    0.00    2.29    0.00    0.00    0.76    0.00    0.00    0.00   74.30
23:19:29     all   28.57    0.00    1.28    0.00    0.00    0.77    0.00    0.00    0.00   69.39
23:19:30     all   22.45    0.00    2.30    0.00    0.00    1.02    0.00    0.00    0.00   74.23
23:19:31     all   26.01    0.00    3.03    0.00    0.00    0.76    0.00    0.00    0.00   70.20
23:19:32     all   23.35    0.00    1.52    0.00    0.00    1.02    0.00    0.00    0.00   74.11
23:19:33     all   24.81    0.00    2.30    0.00    0.00    0.26    0.00    0.00    0.00   72.63
23:19:34     all   24.30    0.00    2.53    0.00    0.00    1.01    0.00    0.00    0.00   72.15
23:19:35     all   27.30    0.00    2.30    0.26    0.00    0.77    0.00    0.00    0.00   69.39
23:19:36     all   24.87    0.00    2.03    0.00    0.00    0.76    0.00    0.00    0.00   72.34
23:19:37     all   22.90    0.00    2.29    0.00    0.00    0.51    0.00    0.00    0.00   74.30
23:19:38     all   25.38    0.00    2.54    0.00    0.00    0.76    0.00    0.00    0.00   71.32
23:19:39     all   25.51    0.00    2.27    0.00    0.00    1.01    0.00    0.00    0.00   71.21
23:19:40     all   24.81    0.00    2.03    0.00    0.00    0.25    0.00    0.00    0.00   72.91
23:19:41     all   28.72    0.00    2.77    0.50    0.00    0.76    0.00    0.00    0.00   67.25
23:19:42     all   24.30    0.00    1.52    0.00    0.00    1.01    0.00    0.00    0.00   73.16
23:19:43     all   23.41    0.00    2.54    0.00    0.00    0.51    0.00    0.00    0.00   73.54
23:19:44     all   26.02    0.00    1.79    0.00    0.00    0.77    0.00    0.00    0.00   71.43
23:19:45     all   26.85    0.00    2.05    0.00    0.00    0.51    0.00    0.00    0.00   70.59
23:19:46     all   27.30    0.00    2.55    0.26    0.00    1.02    0.00    0.00    0.00   68.88
23:19:47     all   25.51    0.00    1.79    0.00    0.00    0.51    0.00    0.00    0.00   72.19
23:19:48     all   25.63    0.00    2.54    0.00    0.00    0.76    0.00    0.00    0.00   71.07
23:19:49     all   23.47    0.00    2.30    0.00    0.00    1.02    0.00    0.00    0.00   73.21
23:19:50     all   26.65    0.00    2.79    0.00    0.00    0.76    0.00    0.00    0.00   69.80
23:19:51     all   26.79    0.00    1.53    0.00    0.00    1.02    0.00    0.00    0.00   70.66
23:19:52     all   23.10    0.00    2.28    0.00    0.00    1.02    0.00    0.00    0.00   73.60
23:19:53     all   25.26    0.00    2.30    0.00    0.00    0.51    0.00    0.00    0.00   71.94
23:19:54     all   22.76    0.00    1.79    0.00    0.00    0.77    0.00    0.00    0.00   74.68
23:19:55     all   36.39    0.00    1.53    0.00    0.00    0.76    0.00    0.00    0.00   61.32
23:19:56     all   26.77    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   69.19
23:19:57     all   29.67    0.00    2.05    0.00    0.00    0.51    0.00    0.00    0.00   67.77
23:19:58     all   22.84    0.00    2.28    0.00    0.00    1.02    0.00    0.00    0.00   73.86
23:19:59     all   27.81    0.00    2.30    0.00    0.00    1.02    0.00    0.00    0.00   68.88
23:20:00     all   27.20    0.00    1.76    0.00    0.00    0.50    0.00    0.00    0.00   70.53
23:20:01     all   22.78    0.00    2.53    0.00    0.00    0.76    0.00    0.00    0.00   73.92
23:20:02     all   27.95    0.00    2.31    0.00    0.00    0.77    0.00    0.00    0.00   68.97
23:20:03     all   27.81    0.00    1.53    0.00    0.00    0.51    0.00    0.00    0.00   70.15
23:20:04     all   28.72    0.00    1.76    0.00    0.00    1.01    0.00    0.00    0.00   68.51
23:20:05     all   33.76    0.00    2.54    0.00    0.00    0.00    0.00    0.00    0.00   63.71
23:20:06     all   22.65    0.00    3.56    0.25    0.00    1.53    0.00    0.00    0.00   72.01
23:20:07     all   28.46    0.00    2.31    0.26    0.00    0.26    0.00    0.00    0.00   68.72
23:20:08     all   25.25    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   71.72
23:20:09     all   25.38    0.00    1.79    0.00    0.00    0.26    0.00    0.00    0.00   72.56
23:20:10     all   25.26    0.00    1.79    0.00    0.00    1.02    0.00    0.00    0.00   71.94
23:20:11     all   22.08    0.00    1.78    0.00    0.00    1.27    0.00    0.00    0.00   74.87
23:20:12     all   26.58    0.00    2.03    0.00    0.00    0.51    0.00    0.00    0.00   70.89
23:20:13     all   30.03    0.00    1.78    0.00    0.00    0.76    0.00    0.00    0.00   67.43
23:20:14     all   28.10    0.00    2.28    0.00    0.00    0.51    0.00    0.00    0.00   69.11
23:20:15     all   24.43    0.00    2.29    0.00    0.00    1.27    0.00    0.00    0.00   72.01
23:20:16     all   22.05    0.00    2.05    0.00    0.00    0.51    0.00    0.00    0.00   75.38
23:20:17     all   26.40    0.00    2.28    0.00    0.00    0.76    0.00    0.00    0.00   70.56
23:20:18     all   26.82    0.00    2.51    0.00    0.00    0.50    0.00    0.00    0.00   70.18
23:20:19     all   29.62    0.00    1.52    0.00    0.00    1.27    0.00    0.00    0.00   67.59
23:20:20     all    9.11    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   89.62
23:20:21     all   12.85    0.00    2.27    0.00    0.00    0.50    0.00    0.00    0.00   84.38
23:20:22     all   24.17    0.00    2.54    0.25    0.00    0.76    0.00    0.00    0.00   72.26
23:20:23     all   21.72    0.00    2.27    0.00    0.00    0.76    0.00    0.00    0.00   75.25
23:20:24     all   23.60    0.00    2.03    0.00    0.00    1.02    0.00    0.00    0.00   73.35
23:20:25     all   24.74    0.00    1.79    0.00    0.00    1.02    0.00    0.00    0.00   72.45
23:20:26     all   28.54    0.00    2.53    0.00    0.00    0.76    0.00    0.00    0.00   68.18
23:20:27     all   29.59    0.00    1.79    0.00    0.00    0.26    0.00    0.00    0.00   68.37
23:20:28     all   24.49    0.00    2.81    0.26    0.00    1.02    0.00    0.00    0.00   71.43
23:20:29     all   24.81    0.00    2.03    0.00    0.00    0.76    0.00    0.00    0.00   72.41
23:20:30     all   28.86    0.00    2.03    0.00    0.00    0.51    0.00    0.00    0.00   68.61
23:20:31     all   22.82    0.00    1.79    0.00    0.00    0.77    0.00    0.00    0.00   74.62
23:20:32     all   24.81    0.00    2.28    0.00    0.00    0.76    0.00    0.00    0.00   72.15
23:20:33     all   25.76    0.00    2.53    0.51    0.00    0.76    0.00    0.00    0.00   70.45
23:20:34     all   28.17    0.00    2.03    0.00    0.00    1.02    0.00    0.00    0.00   68.78
23:20:35     all   24.17    0.00    1.78    0.00    0.00    0.25    0.00    0.00    0.00   73.79
23:20:36     all   27.04    0.00    1.28    0.00    0.00    1.02    0.00    0.00    0.00   70.66
23:20:37     all   25.26    0.00    2.30    0.00    0.00    0.51    0.00    0.00    0.00   71.94
23:20:38     all   25.38    0.00    2.79    0.25    0.00    0.76    0.00    0.00    0.00   70.81
23:20:39     all   29.85    0.00    1.28    0.00    0.00    0.51    0.00    0.00    0.00   68.37
23:20:40     all   22.59    0.00    2.28    0.00    0.00    1.27    0.00    0.00    0.00   73.86
23:20:41     all   24.43    0.00    2.27    0.00    0.00    0.76    0.00    0.00    0.00   72.54
23:20:42     all   24.49    0.00    1.79    0.00    0.00    0.51    0.00    0.00    0.00   73.21
23:20:43     all   22.51    0.00    1.79    0.00    0.00    0.77    0.00    0.00    0.00   74.94
23:20:44     all   27.16    0.00    1.78    0.00    0.00    1.02    0.00    0.00    0.00   70.05
23:20:45     all   24.62    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   73.35
23:20:46     all   29.62    0.00    2.78    0.00    0.00    0.76    0.00    0.00    0.00   66.84
23:20:47     all   24.55    0.00    2.81    0.00    0.00    0.51    0.00    0.00    0.00   72.12
23:20:48     all   22.19    0.00    2.30    0.00    0.00    1.02    0.00    0.00    0.00   74.49
23:20:49     all   23.54    0.00    2.03    0.00    0.00    1.01    0.00    0.00    0.00   73.42
23:20:50     all   24.23    0.00    3.32    0.00    0.00    0.77    0.00    0.00    0.00   71.68
23:20:51     all   26.90    0.00    2.28    0.00    0.00    0.51    0.00    0.00    0.00   70.30
23:20:52     all   23.72    0.00    1.28    0.00    0.00    1.02    0.00    0.00    0.00   73.98
23:20:53     all   22.67    0.00    2.77    0.00    0.00    1.26    0.00    0.00    0.00   73.30
23:20:54     all   30.28    0.00    2.04    0.00    0.00    0.25    0.00    0.00    0.00   67.43
23:20:55     all   23.31    0.00    2.51    0.25    0.00    1.00    0.00    0.00    0.00   72.93
23:20:56     all   28.39    0.00    2.05    0.00    0.00    0.51    0.00    0.00    0.00   69.05
23:20:57     all   22.70    0.00    2.04    0.00    0.00    0.51    0.00    0.00    0.00   74.74
23:20:58     all   28.54    0.00    2.53    0.00    0.00    1.26    0.00    0.00    0.00   67.68
23:20:59     all   24.62    0.00    2.28    0.00    0.00    1.02    0.00    0.00    0.00   72.08
