run_id,timestamp_utc,provider,region,paradigm,workload,rep,concurrency,tool,block_size,dataset_size_gb,warmup_s,duration_s,read_throughput_mbps,write_throughput_mbps,total_throughput_mbps,read_iops,write_iops,total_iops,lat_mean_ms,lat_p95_ms,lat_p99_ms,metadata_ops_per_s,cpu_util_pct,raw_artifact_path,raw_sha256,capacity_cost_usd_per_basis,egress_cost_usd_per_basis,total_cost_usd_per_basis,cost_basis_gb
gcp-file-write-c16-r1,2026-08-03T20:01:32.983021+00:00,gcp,,file,write,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-file-balanced-c16-r1,2026-08-03T20:01:37.555358+00:00,gcp,,file,balanced,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-object-balanced-c16-r1,2026-08-03T20:01:42.929715+00:00,gcp,,object,balanced,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-block-metadata-c16-r2,2026-08-03T20:01:46.936934+00:00,gcp,,block,metadata,2,16,,4k,2,,,,,,,,,,,,,,,,,,,
gcp-file-balanced-c16-r3,2026-08-03T20:01:51.458294+00:00,gcp,,file,balanced,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-block-metadata-c16-r1,2026-08-03T20:01:55.841193+00:00,gcp,,block,metadata,1,16,,4k,2,,,,,,,,,,,,,,,,,,,
gcp-file-largeobj-c16-r2,2026-08-03T20:02:00.216317+00:00,gcp,,file,largeobj,2,16,,16m,40,,,,,,,,,,,,,,,,,,,
gcp-object-read-c16-r3,2026-08-03T20:02:05.225887+00:00,gcp,,object,read,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-block-largeobj-c16-r1,2026-08-03T20:02:09.905657+00:00,gcp,,block,largeobj,1,16,,16m,40,,,,,,,,,,,,,,,,,,,
gcp-block-write-c16-r1,2026-08-03T20:02:14.255475+00:00,gcp,,block,write,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-object-write-c16-r1,2026-08-03T20:02:19.949664+00:00,gcp,,object,write,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-block-write-c16-r2,2026-08-03T20:02:24.830560+00:00,gcp,,block,write,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-object-largeobj-c16-r3,2026-08-03T20:02:30.333240+00:00,gcp,,object,largeobj,3,16,,16m,40,,,,,,,,,,,,,,,,,,,
gcp-file-metadata-c16-r1,2026-08-03T20:02:34.806934+00:00,gcp,,file,metadata,1,16,,4k,2,,,,,,,,,,,,,,,,,,,
gcp-block-metadata-c16-r3,2026-08-03T20:02:38.663336+00:00,gcp,,block,metadata,3,16,,4k,2,,,,,,,,,,,,,,,,,,,
gcp-object-read-c16-r2,2026-08-03T20:02:44.236714+00:00,gcp,,object,read,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-file-metadata-c16-r3,2026-08-03T20:02:48.873031+00:00,gcp,,file,metadata,3,16,,4k,2,,,,,,,,,,,,,,,,,,,
gcp-object-balanced-c16-r3,2026-08-03T20:02:54.099842+00:00,gcp,,object,balanced,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-object-metadata-c16-r1,2026-08-03T20:02:59.993175+00:00,gcp,,object,metadata,1,16,,4k,2,,,,,,,,,,,,,,,,,,,
gcp-file-largeobj-c16-r3,2026-08-03T20:03:03.892786+00:00,gcp,,file,largeobj,3,16,,16m,40,,,,,,,,,,,,,,,,,,,
gcp-block-largeobj-c16-r2,2026-08-03T20:03:08.462985+00:00,gcp,,block,largeobj,2,16,,16m,40,,,,,,,,,,,,,,,,,,,
gcp-file-metadata-c16-r2,2026-08-03T20:03:12.777757+00:00,gcp,,file,metadata,2,16,,4k,2,,,,,,,,,,,,,,,,,,,
gcp-file-write-c16-r3,2026-08-03T20:03:17.276267+00:00,gcp,,file,write,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-file-balanced-c16-r2,2026-08-03T20:03:21.881457+00:00,gcp,,file,balanced,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-object-read-c16-r1,2026-08-03T20:03:26.454740+00:00,gcp,,object,read,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-object-metadata-c16-r3,2026-08-03T20:03:29.434192+00:00,gcp,,object,metadata,3,16,,4k,2,,,,,,,,,,,,,,,,,,,
gcp-block-read-c16-r1,2026-08-03T20:03:31.704968+00:00,gcp,,block,read,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-file-write-c16-r2,2026-08-03T20:03:33.292148+00:00,gcp,,file,write,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-file-read-c16-r2,2026-08-03T20:03:35.849255+00:00,gcp,,file,read,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-object-largeobj-c16-r2,2026-08-03T20:03:39.443823+00:00,gcp,,object,largeobj,2,16,,16m,40,,,,,,,,,,,,,,,,,,,
gcp-object-balanced-c16-r2,2026-08-03T20:03:43.119600+00:00,gcp,,object,balanced,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-object-write-c16-r3,2026-08-03T20:03:47.147750+00:00,gcp,,object,write,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-object-largeobj-c16-r1,2026-08-03T20:03:50.283262+00:00,gcp,,object,largeobj,1,16,,16m,40,,,,,,,,,,,,,,,,,,,
gcp-block-read-c16-r3,2026-08-03T20:03:52.765478+00:00,gcp,,block,read,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-file-largeobj-c16-r1,2026-08-03T20:03:55.018771+00:00,gcp,,file,largeobj,1,16,,16m,40,,,,,,,,,,,,,,,,,,,
gcp-block-write-c16-r3,2026-08-03T20:03:56.656279+00:00,gcp,,block,write,3,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-object-write-c16-r2,2026-08-03T20:04:01.912057+00:00,gcp,,object,write,2,16,,64k,20,,,,,,,,,,,,,,,,,,,
gcp-block-balanced-c16-r1,2026-08-03T20:04:05.809563+00:00,gcp,,block,balanced,1,16,,64k,20,,,,,,,,,,,,,,,,,,,
