gcp-file-write-c16-r1: no billing row for ('gcp', 'file', '') -> cost blank
gcp-file-balanced-c16-r1: no billing row for ('gcp', 'file', '') -> cost blank
gcp-object-balanced-c16-r1: no billing row for ('gcp', 'object', '') -> cost blank
gcp-block-metadata-c16-r2: no billing row for ('gcp', 'block', '') -> cost blank
gcp-file-balanced-c16-r3: no billing row for ('gcp', 'file', '') -> cost blank
gcp-block-metadata-c16-r1: no billing row for ('gcp', 'block', '') -> cost blank
gcp-file-largeobj-c16-r2: no billing row for ('gcp', 'file', '') -> cost blank
gcp-object-read-c16-r3: no billing row for ('gcp', 'object', '') -> cost blank
gcp-block-largeobj-c16-r1: no billing row for ('gcp', 'block', '') -> cost blank
gcp-block-write-c16-r1: no billing row for ('gcp', 'block', '') -> cost blank
gcp-object-write-c16-r1: no billing row for ('gcp', 'object', '') -> cost blank
gcp-block-write-c16-r2: no billing row for ('gcp', 'block', '') -> cost blank
gcp-object-largeobj-c16-r3: no billing row for ('gcp', 'object', '') -> cost blank
gcp-file-metadata-c16-r1: no billing row for ('gcp', 'file', '') -> cost blank
gcp-block-metadata-c16-r3: no billing row for ('gcp', 'block', '') -> cost blank
gcp-object-read-c16-r2: no billing row for ('gcp', 'object', '') -> cost blank
gcp-file-metadata-c16-r3: no billing row for ('gcp', 'file', '') -> cost blank
gcp-object-balanced-c16-r3: no billing row for ('gcp', 'object', '') -> cost blank
gcp-object-metadata-c16-r1: no billing row for ('gcp', 'object', '') -> cost blank
gcp-file-largeobj-c16-r3: no billing row for ('gcp', 'file', '') -> cost blank
gcp-block-largeobj-c16-r2: no billing row for ('gcp', 'block', '') -> cost blank
gcp-file-metadata-c16-r2: no billing row for ('gcp', 'file', '') -> cost blank
gcp-file-write-c16-r3: no billing row for ('gcp', 'file', '') -> cost blank
gcp-file-balanced-c16-r2: no billing row for ('gcp', 'file', '') -> cost blank
gcp-object-read-c16-r1: no billing row for ('gcp', 'object', '') -> cost blank
gcp-object-metadata-c16-r3: no billing row for ('gcp', 'object', '') -> cost blank
gcp-block-read-c16-r1: no billing row for ('gcp', 'block', '') -> cost blank
gcp-file-write-c16-r2: no billing row for ('gcp', 'file', '') -> cost blank
gcp-file-read-c16-r2: no billing row for ('gcp', 'file', '') -> cost blank
gcp-object-largeobj-c16-r2: no billing row for ('gcp', 'object', '') -> cost blank
gcp-object-balanced-c16-r2: no billing row for ('gcp', 'object', '') -> cost blank
gcp-object-write-c16-r3: no billing row for ('gcp', 'object', '') -> cost blank
gcp-object-largeobj-c16-r1: no billing row for ('gcp', 'object', '') -> cost blank
gcp-block-read-c16-r3: no billing row for ('gcp', 'block', '') -> cost blank
gcp-file-largeobj-c16-r1: no billing row for ('gcp', 'file', '') -> cost blank
