Linux 6.8.0-1063-gcp (csb-bench-host-gcp) 	08/05/26 	_x86_64_	(4 CPU)

04:03:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:03:21     all    6.11    0.00    3.05   90.08    0.00    0.25    0.00    0.00    0.00    0.51
04:03:22     all    6.48    0.00    2.49   90.77    0.00    0.25    0.00    0.00    0.00    0.00
04:03:23     all    4.35    0.00    2.81   92.84    0.00    0.00    0.00    0.00    0.00    0.00
04:03:24     all    5.56    0.00    2.53   91.67    0.00    0.25    0.00    0.00    0.00    0.00
04:03:25     all    3.83    0.00    2.30   93.62    0.00    0.26    0.00    0.00    0.00    0.00
04:03:26     all    5.34    0.00    2.54   92.11    0.00    0.00    0.00    0.00    0.00    0.00
04:03:27     all    5.30    0.00    2.78   91.67    0.00    0.25    0.00    0.00    0.00    0.00
04:03:28     all    5.57    0.00    2.53   91.90    0.00    0.00    0.00    0.00    0.00    0.00
04:03:29     all    6.05    0.00    2.27   91.69    0.00    0.00    0.00    0.00    0.00    0.00
04:03:30     all    4.83    0.00    2.04   92.88    0.00    0.25    0.00    0.00    0.00    0.00
04:03:31     all    5.51    0.00    2.51   91.98    0.00    0.00    0.00    0.00    0.00    0.00
04:03:32     all    4.56    0.00    2.53   92.66    0.00    0.25    0.00    0.00    0.00    0.00
04:03:33     all    5.03    0.00    2.76   91.71    0.00    0.25    0.25    0.00    0.00    0.00
04:03:34     all    4.07    0.00    2.80   93.13    0.00    0.00    0.00    0.00    0.00    0.00
04:03:35     all    5.79    0.00    2.52   91.44    0.00    0.25    0.00    0.00    0.00    0.00
04:03:36     all    6.57    0.00    2.27   90.66    0.00    0.25    0.00    0.00    0.00    0.25
04:03:37     all    6.53    0.00    2.76   90.45    0.00    0.25    0.00    0.00    0.00    0.00
04:03:38     all    7.04    0.00    2.51   90.20    0.00    0.00    0.25    0.00    0.00    0.00
04:03:39     all    7.04    0.00    2.76   89.95    0.00    0.25    0.00    0.00    0.00    0.00
04:03:40     all    6.36    0.00    2.04   91.60    0.00    0.00    0.00    0.00    0.00    0.00
04:03:41     all    6.12    0.00    2.55   91.33    0.00    0.00    0.00    0.00    0.00    0.00
04:03:42     all    6.30    0.00    2.77   90.68    0.00    0.25    0.00    0.00    0.00    0.00
04:03:43     all    5.68    0.00    1.81   92.51    0.00    0.00    0.00    0.00    0.00    0.00
04:03:44     all    6.09    0.00    2.28   91.62    0.00    0.00    0.00    0.00    0.00    0.00
04:03:45     all    6.27    0.00    3.26   90.23    0.00    0.25    0.00    0.00    0.00    0.00
04:03:46     all    7.25    0.00    2.50   89.75    0.00    0.25    0.25    0.00    0.00    0.00
04:03:47     all    6.75    0.00    2.50   90.25    0.00    0.25    0.25    0.00    0.00    0.00
04:03:48     all    5.57    0.00    3.04   91.39    0.00    0.00    0.00    0.00    0.00    0.00
04:03:49     all    5.05    0.00    3.28   91.67    0.00    0.00    0.00    0.00    0.00    0.00
04:03:50     all    5.57    0.00    2.53   91.90    0.00    0.00    0.00    0.00    0.00    0.00
04:03:51     all    7.05    0.00    2.77   90.18    0.00    0.00    0.00    0.00    0.00    0.00
04:03:52     all    5.88    0.00    2.05   92.07    0.00    0.00    0.00    0.00    0.00    0.00
04:03:53     all    5.84    0.00    2.79   91.12    0.00    0.25    0.00    0.00    0.00    0.00
04:03:54     all    5.60    0.00    2.29   91.86    0.00    0.25    0.00    0.00    0.00    0.00
